module,age_num,time_num,interaction,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEgreen,0.2830837201120967,-0.1960655643196737,0.18784194425937606,-0.00675294636583171,0.16686066489366325,-0.10797264154981136,0.24444485091974855,-0.03646842922730381,-0.14067350735829373
MEpink,-0.056620132602530716,0.11363026294848598,-0.015502075207976602,0.06801795066196697,0.1343672004235365,-0.13223089208227656,0.11744412655636735,0.15111348893356552,0.054108342051304416
MEturquoise,0.7039119016422378,-0.06029179184091157,0.3693182182832389,-0.27871321975557195,0.01770667310651198,0.2730292964324116,0.008906506062693283,-0.35989541737787384,-0.3127338398611646
MEbrown,-0.050703485380153006,-0.11500513936062683,-0.11741628763256644,0.02754202478205702,0.005836140575027871,0.28535661674308155,-0.08886562668787543,0.04028495422287633,0.12520927716349764
MEyellow,-0.4355587473398734,-0.10720078480613797,-0.23359438602175642,0.3814230488048737,0.09684264678110921,-0.14146263725581398,0.14358363931007062,0.3797968505802581,0.21474674487360265
MEmagenta,-0.2703409194438573,0.1784428362437634,0.015003472483781753,0.08105213808941696,0.07381622648914746,-0.08630858374243665,-0.045674980237389654,0.02537381712564368,-0.09862698863343546
MEred,-0.34205810057256275,0.13807746086196124,-0.09315242149377692,0.23524392322712176,-0.03541065077937678,-0.23029713563708984,-0.10798920099626448,0.08643418766747975,0.01757465275009796
MEblack,-0.7260425542557601,0.02171499702463336,-0.46915019250572443,0.18892423815116438,0.020503657892402972,-0.3446750804312414,0.11283390704242088,0.43019824240791765,0.23748667656812866
MEblue,-0.4777281351858857,0.4268394928801159,-0.13808605361719298,0.07934781625159362,-0.044481307516807435,-0.3370178505444622,-0.19631644807557042,0.07001655434508026,0.16806135374853515
MEgrey,0.2117008665977375,-0.30500562300151585,-0.054478966645932395,-0.24578123944361124,-0.2739608663375448,-0.034958343364557165,0.042017145283061504,-0.16823301431417234,-0.07897802561297158
