module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,-0.10797264154981094,0.06405377679921959,0.24777999261330302
MEpink,-0.13223089208227606,-0.004239730387845959,0.03505930526039323
MEturquoise,0.27302929643241086,-0.2086508399765408,-0.010653009424724962
MEbrown,0.28535661674308094,0.07885815500737356,0.13732038673595606
MEyellow,-0.14146263725581354,0.35946768398976214,0.1891499959772516
MEmagenta,-0.0863085837424366,0.02789188198854309,0.12855971731816773
MEred,-0.23029713563709023,0.23254006973974353,-0.02849961052209235
MEblack,-0.3446750804312411,0.13561183852340572,0.036299977953234884
MEblue,-0.33701785054446143,-0.1496905976498372,-0.32597229471518524
MEgrey,-0.03495834336455731,-0.10271435304189533,-0.1277608558279263
