age_group,module,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
Young,MEgreen,-0.10718,0.03749,15.19,-2.8586,0.011841878277519082,-0.5914,FALSE,0.07894585518346055
Young,MEpink,0.048,0.03244,15.33,1.4799,0.15917284096148454,0.3536,FALSE,0.39793210240371135
Young,MEturquoise,-0.01254,0.02731,15.34,-0.4591,0.6526204393659812,-0.1164,FALSE,0.7677887521952721
Young,MEbrown,-0.01355,0.0292,14.73,-0.4642,0.649276511865702,-0.1201,FALSE,0.7677887521952721
Young,MEyellow,-0.06756,0.03662,15.13,-1.845,0.08469585870460362,-0.4285,FALSE,0.2823195290153454
Young,MEmagenta,0.01531,0.02823,15.42,0.5424,0.5952675211627988,0.1369,FALSE,0.7677887521952721
Young,MEred,0.0222,0.03637,15.37,0.6103,0.5505517658968939,0.1539,FALSE,0.7677887521952721
Young,MEblack,0.02994,0.02884,15.41,1.0383,0.31516935557790415,0.2557,FALSE,0.6141399951330727
Young,MEblue,0.15252,0.03587,15.27,4.2515,6.70645407233044e-4,0.7362,FALSE,0.013412908144660882
Young,MEgrey,-0.07364,0.02991,14.65,-2.4618,0.026752813884964425,-0.5409,FALSE,0.13376406942482214
Old,MEgreen,0.01019,0.03943,14,0.2586,0.7997415481378886,0.0689,FALSE,0.8418332085661985
Old,MEpink,0.00788,0.05074,14,0.1554,0.8787606678773394,0.0415,FALSE,0.8787606678773394
Old,MEturquoise,-0.01861,0.0351,14,-0.5302,0.6042935370600953,-0.1403,FALSE,0.7677887521952721
Old,MEbrown,-0.03949,0.03979,14,-0.9925,0.33777699732319,-0.2564,FALSE,0.6141399951330727
Old,MEyellow,0.00923,0.03236,14,0.2853,0.7795936941895285,0.076,FALSE,0.8418332085661985
Old,MEmagenta,0.07766,0.04636,14,1.6754,0.11604095112763162,0.4087,FALSE,0.33154557465037604
Old,MEred,0.04785,0.04095,14,1.1686,0.2620838991422657,0.2981,FALSE,0.5824086647605905
Old,MEblack,-0.02047,0.03109,14,-0.6585,0.5208783464715009,-0.1733,FALSE,0.7677887521952721
Old,MEblue,0.06324,0.03064,14,2.0642,0.058047473879402185,0.483,TRUE,0.23218989551760874
Old,MEgrey,-0.08003,0.02713,14,-2.9502,0.010542602812076302,-0.6192,FALSE,0.07894585518346055
