module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8941944154213971,0.6871743115754657,0.3652962866203544
MEpink,0.9730073531225918,0.966867934761886,0.7197212374363573
MEturquoise,0.554458059220868,0.6871743115754657,0.9433866869339171
MEbrown,0.554458059220868,0.6871743115754657,0.7197212374363573
MEyellow,0.554458059220868,0.4448252615119598,0.7197212374363573
MEmagenta,0.554458059220868,0.4448252615119598,0.7197212374363573
MEred,0.554458059220868,0.6871743115754657,0.7197212374363573
MEblack,0.8767004080093421,0.6871743115754657,0.8870844292987733
MEblue,0.30069469400405435,0.4448252615119598,0.29437889401051515
MEgrey,0.554458059220868,0.6871743115754657,0.7197212374363573
