module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.42020081181858915,0.9988552609602039,0.9054187261276411
MEpink,0.42020081181858915,0.9988552609602039,0.9054187261276411
MEturquoise,0.2994094615833339,0.9988552609602039,0.9054187261276411
MEbrown,0.2994094615833339,0.9988552609602039,0.9054187261276411
MEyellow,0.42020081181858915,0.9988552609602039,0.9054187261276411
MEmagenta,0.42020081181858915,0.9988552609602039,0.9054187261276411
MEred,0.5307170234175395,0.9988552609602039,0.9054187261276411
MEblack,0.43436886104867595,0.9988552609602039,0.9054187261276411
MEblue,0.2994094615833339,0.9988552609602039,0.9054187261276411
MEgrey,0.9547815961148065,0.9988552609602039,0.9054187261276411
