module,delta_VL,delta_LBM
MEgreen,0.3405663627345413,0.1588005244903517
MEpink,0.28340676423663685,0.1200442742423211
MEturquoise,0.2672335528299192,0.20207146265884304
MEbrown,-0.3351996070999204,-0.3897313856385814
MEyellow,-0.07259539895297885,0.19095870028795484
MEmagenta,0.13199512295974603,-0.40683085300336314
MEred,0.06744942555195067,0.1815526019893063
MEblack,-0.2520230929375964,-0.29558598999823155
MEblue,-0.10406329005139169,-0.08302496981543353
MEgrey,-0.5482530474105556,-0.08380324252782469
