module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8590555466285975,0.9341058269050685,0.6194857774196191
MEpink,0.8445881091383349,0.9819407797522919,0.9341058269050685
MEturquoise,0.4941145622734205,0.6658903591830736,0.9653691018507028
MEbrown,0.4763657690010883,0.8945691819081673,0.8445881091383349
MEyellow,0.8445881091383349,0.302260360228184,0.7298403414378075
MEmagenta,0.8945691819081673,0.9341058269050685,0.8445881091383349
MEred,0.6378715235751996,0.6378715235751996,0.9341058269050685
MEblack,0.3048516254803123,0.8445881091383349,0.9341058269050685
MEblue,0.3187081232629063,0.8445881091383349,0.34824759935934635
MEgrey,0.9341058269050685,0.8736377718726017,0.8445881091383349
