ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,quadrant,pathway_label
GOBP_CELL_CELL_RECOGNITION,GOBP_CELL_CELL_RECOGNITION,9/184,13/2051,0.6923076923076923,7.716973244147157,7.625299175936154,1.6291086319472615e-7,2.367094842219371e-4,2.2653184240024556e-4,MSN/CCT5/CCT8/CCT7/LGALS3/CCT4/CCT2/TCP1/CCT3,9,Concordant Up,Cell Cell Recognition
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,8/184,12/2051,0.6666666666666666,7.4311594202898545,7.012695287171075,1.3124739911396884e-6,5.7244113362155e-4,5.478282591473667e-4,CCT6A/CCT5/CCT8/CCT7/CCT4/CCT2/TCP1/CCT3,8,Concordant Up,Positive Regulation Of DNA Biosynthetic Pr...
GOBP_PROTEIN_MATURATION,GOBP_PROTEIN_MATURATION,30/184,138/2051,0.21739130434782608,2.42320415879017,5.433290743335193,1.6451907026578874e-6,5.7244113362155e-4,5.478282591473667e-4,CCT6A/CCT5/CCT8/CAPN2/HSPB6/HSPB1/CCT7/SERPINH1/CCT4/PDIA3/TXNDC5/CCT2/TCP1/GSN/BOLA2/FLNA/CCT3/DNAJA2/HSP90B1/HYOU1/UNC45B/ANXA2/HSPB2/HSP90AB1/CRYAB/F13A1/DNAJA4/CANX/HSPA5/ERO1A,30,Concordant Up,Protein Maturation
GOBP_PROTEIN_FOLDING,GOBP_PROTEIN_FOLDING,23/184,90/2051,0.25555555555555554,2.848611111111111,5.629135463908654,1.6484194463590966e-6,5.7244113362155e-4,5.478282591473667e-4,CCT6A/CCT5/CCT8/HSPB6/HSPB1/CCT7/CCT4/PDIA3/TXNDC5/CCT2/TCP1/CCT3/DNAJA2/HSP90B1/HYOU1/UNC45B/HSPB2/HSP90AB1/CRYAB/DNAJA4/CANX/HSPA5/ERO1A,23,Concordant Up,Protein Folding
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,9/184,16/2051,0.5625,6.270040760869565,6.642100489973015,2.049861300674782e-6,5.7244113362155e-4,5.478282591473667e-4,CCT6A/CCT5/CCT8/CCT7/CCT4/CCT2/TCP1/CCT3/HSP90AB1,9,Concordant Up,RNA Templated DNA Biosynthetic Process
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,25/328,52/2051,0.4807692307692308,3.0062734521575987,6.392292139917471,4.0506719471985095e-8,6.752470135979915e-5,6.310520507214519e-5,PARK7/GSS/PANK4/GSTP1/CKM/SLC25A42/GSTO1/ASS1/CKB/AASDHPPT/SOD1/SULT1A1/GSTZ1/SHMT1/PCYOX1/GAMT/CPT2/CPT1A/OPLAH/ALDH9A1/IDH1/CPT1B/GLO1/HAGH/GPX1,25,Concordant Down,Modified Amino Acid Metabolic Process
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,41/328,126/2051,0.3253968253968254,2.0347222222222223,5.22955693526959,1.4722246169020528e-6,0.001227099218187861,0.0011467854910605464,PARK7/GCSH/PLIN5/GSK3A/ACAA2/GLUL/TST/BCKDHA/MPI/AASDHPPT/OXCT1/SULT1A1/ADH5/DCXR/MCCC1/GSTZ1/ACADS/SHMT1/ACADVL/ACAT1/GPD2/SORD/CPT2/HADHB/ALDH6A1/GNPDA1/NUDT3/RBKS/CPT1A/GOT1/MTAP/HADH/CPT1B/ECHDC2/QDPR/GPT/HAGH/KYAT1/RIDA/ECI1/ACSS2,41,Concordant Down,Small Molecule Catabolic Process
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,10/328,15/2051,0.6666666666666666,4.168699186991869,5.372902612727002,1.36474032315862e-5,0.007583407062351398,0.007087072555350027,PANK4/MMAB/PDXK/SLC25A42/GSTO1/PNPO/AASDHPPT/MCCC1/SHMT1/PLPBP,10,Concordant Down,Water Soluble Vitamin Metabolic Process
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,29/328,86/2051,0.3372093023255814,2.10858621667612,4.581509975687758,2.687429733509177e-5,0.010487348790558315,0.009800951100322867,GCSH/PLIN5/ACAA2/GLUL/TST/BCKDHA/AASDHPPT/DCXR/MCCC1/GSTZ1/ACADS/SHMT1/ACADVL/ACAT1/SORD/CPT2/HADHB/ALDH6A1/GNPDA1/CPT1A/GOT1/HADH/CPT1B/ECHDC2/QDPR/GPT/KYAT1/RIDA/ECI1,29,Concordant Down,Organic Acid Catabolic Process
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,106/328,479/2051,0.22129436325678498,1.3837644482916647,4.18482632503969,3.145575522063082e-5,0.010487348790558315,0.009800951100322867,PARK7/PANK4/HSPA1A/GCSH/GSTP1/FBP1/FDX1/KARS1/MMAB/RBP4/PLIN5/PRKG1/PDXK/GSK3A/ACAA2/NDUFA11/NT5C3A/GLUL/SLC25A42/OLA1/GSTO1/TST/DPYSL3/PDHX/BCKDHA/ACO1/MPI/PNPO/ASS1/STAT5B/AASDHPPT/IDI1/MECP2/OXCT1/ME1/SULT1A1/ADH5/DCXR/MCCC1/GSTZ1/FIS1/ACADS/ATP5MF/SHMT1/ACADVL/H6PD/MAT2A/ACAT1/ECHDC3/IMPA1/GPD2/GPD1L/ABHD14B/GAMT/PLPBP/APOD/SORD/PCBD1/CPT2/HADHB/ALDH6A1/GLRX/COQ8A/COQ7/GNPDA1/NUDT3/NAXD/TALDO1/RBKS/ADSL/CPT1A/GOT1/MTAP/DBI/MDH1/FABP5/IDH1/ENOPH1/IMPA2/HADH/CPT1B/ALDH1A1/ACSF2/SORBS1/MACROD1/ECHDC2/COQ9/QDPR/GPT/PCBD2/MYH3/NUDT16/HAGH/GPX1/KYAT1/MT-ND3/PTGR2/RIDA/ECI1/MT-ND4/HMGB1/FBN1/ADH1B/ACSS2/VDAC1/MGST3,106,Concordant Down,Small Molecule Metabolic Process
