pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,significance,set_size
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-0.595,0.85,0.9767,0.7971,NS,31
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,2.156,-1.184,1.868e-5,0.429,Sig Aging only,83
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.855,-1.112,7.596e-4,0.4764,Sig Aging only,103
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,-2.057,0.904,3.288e-6,0.7854,Sig Aging only,135
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,1.744,-1.116,0.01229,0.4903,Sig Aging only,48
HALLMARK_PEROXISOME,Peroxisome,Hallmark,1.949,-0.857,0.003143,0.7971,Sig Aging only,38
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,1.968,-0.619,1.868e-5,0.9998,Sig Aging only,155
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,-2.877,2.584,3.484e-17,3.092e-12,Sig Both,115
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,-2.32,2.212,2.831e-6,1.485e-5,Sig Both,56
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,2.062,-1.606,8.733e-6,0.009379,Sig Both,99
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.844,-1.704,5.181e-4,0.006821,Sig Both,109
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,1.856,-1.656,0.00563,0.03367,Sig Both,50
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,-1.572,1.951,0.0843,0.006821,Sig Training only,35
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,1.252,1.789,0.3455,0.001629,Sig Training only,87
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,1.433,-1.589,0.1619,0.03108,Sig Training only,51
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-1.305,1.698,0.1206,0.007309,Sig Training only,128
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.991,1.999,0.685,0.006821,Sig Training only,32
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,0.975,-1.834,0.685,0.04618,Sig Training only,12
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,-0.987,1.693,0.7911,0.01569,Sig Training only,67
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,0.799,1.828,0.8733,0.009379,Sig Training only,40
