pathway,database,set_size,n_sig_contrasts,NES_Aging,NES_Training_Young,NES_Training_Old,NES_Interaction,NES_Reversal,padj_Aging,padj_Training_Young,padj_Training_Old,padj_Interaction,padj_Reversal,survives_J03,survives_J05,survives_J07
GOSLIM_CYTOPLASMIC_TRANSLATION,GO Slim,115,4,-2.877,1.385,2.584,1.637,3.09,3.484e-17,0.07914,3.092e-12,0.01109,9.309e-23,FALSE,TRUE,TRUE
GOSLIM_RIBOSOME_BIOGENESIS,GO Slim,56,4,-2.32,0.641,2.212,1.839,2.525,2.831e-6,0.979,1.485e-5,0.002058,4.062e-8,TRUE,TRUE,TRUE
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,GO Slim,99,4,2.062,1.166,-1.606,-1.519,-2.13,8.733e-6,0.306,0.009379,0.01668,7.546e-6,FALSE,TRUE,TRUE
GOSLIM_KETONE_METABOLIC_PROCESS,GO Slim,50,3,1.856,-1.002,-1.656,-0.918,-1.924,0.00563,0.592,0.03367,0.6913,0.00147,TRUE,TRUE,TRUE
GOSLIM_PROTEIN_FOLDING,GO Slim,87,3,1.252,2.344,1.789,-1.806,0.698,0.3455,4.396e-8,0.001629,0.00199,0.9985,TRUE,TRUE,TRUE
GOSLIM_MUSCLE_SYSTEM_PROCESS,GO Slim,135,2,-2.057,0.965,0.904,1.243,1.865,3.288e-6,0.6875,0.7854,0.1852,1.451e-4,TRUE,TRUE,TRUE
GOSLIM_DETOXIFICATION,GO Slim,51,2,1.433,-0.897,-1.589,-0.944,-1.697,0.1619,0.7224,0.03108,0.6563,0.01512,TRUE,TRUE,TRUE
GOSLIM_MITOCHONDRION_ORGANIZATION,GO Slim,163,2,1.09,-2.203,0.687,2.145,-0.817,0.4996,7.596e-9,0.9944,1.187e-7,0.9985,TRUE,TRUE,TRUE
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,GO Slim,39,2,-0.953,-1.893,1.378,2.28,1.117,0.7995,0.005274,0.1654,1.989e-5,0.5934,TRUE,TRUE,TRUE
GOSLIM_MICROTUBULE-BASED_MOVEMENT,GO Slim,48,2,-0.898,1.842,0.879,-1.9,0.995,0.8616,0.004103,0.7854,0.00199,0.8526,TRUE,TRUE,TRUE
