gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
GPT2,-2.464,2.5061,1e-6,0.470615,Down
SSU72,0.9478,5.0168,1.8e-5,0.020329,Up
XIRP1,1.3053,3.5501,2.3e-5,0.198449,Up
FLT1,1.7056,2.0819,2.81e-4,0.500648,Up
PREX1,1.028,3.3151,3.91e-4,0.204566,Up
COL3A1,1.5135,2.1644,5.3e-4,0.500648,Up
COPS7B,-1.2835,2.5441,5.43e-4,0.464338,Down
PLEKHF1,0.8518,3.8095,5.69e-4,0.163837,Up
SLC25A46,-0.9317,3.3316,7.87e-4,0.204566,Down
TOMM22,0.9434,3.1596,0.001045,0.24386,Up
CTSG,2.1956,1.333,0.001184,0.543636,Up
COL4A1,1.3565,2.0801,0.001508,0.500648,Up
MYL2,1.168,2.357,0.001766,0.484905,Up
CCDC137,1.4618,1.8706,0.001843,0.500648,Up
RPA2,0.9819,2.4021,0.00438,0.484905,Up
CAV2,1.3071,1.6543,0.006882,0.5053,Up
MSRB3,1.1952,1.7901,0.007252,0.500648,Up
UBN2,1.2378,1.717,0.007495,0.5053,Up
COL1A1,1.2248000000000001,1.6066,0.010773,0.5053,Up
CHDH,0.8504,2.259,0.011995,0.484905,Up
ACTN2,1.3772,1.3876,0.012272,0.527741,Up
DCTN5,-0.6838,2.7276,0.013644,0.460401,Down
COL4A2,1.0269,1.7916,0.014462,0.500648,Up
IFT81,1.2096,1.5087,0.014964,0.5053,Up
COL1A2,1.2759,1.3413,0.01944,0.543636,Up
NDUFA6,0.6505,2.5826,0.020899,0.460401,Up
RPL24,0.6018,2.7062,0.023523,0.460401,Up
ACTN1,1.3217,1.2199,0.024408,0.571349,Up
NID1,0.8804,1.7845,0.026852,0.500648,Up
ACTN4,1.1565,1.3538,0.027183,0.543332,Up
LAMC1,0.8633,1.8131,0.027207,0.500648,Up
MYH7,0.9489,1.6096,0.029698,0.5053,Up
CAPRIN1,0.8456,1.7991,0.030104,0.500648,Up
ALDH1B1,-0.8491,1.7561,0.032277,0.5053,Down
MYL3,0.9368,1.589,0.032469,0.5053,Up
CILP,1.0401,1.4101,0.034154,0.510494,Up
DHRS11,0.7748,1.8852,0.034626,0.500648,Up
TPM3,0.9482,1.4972,0.038052,0.5053,Up
TES,0.9606,1.4568,0.039862,0.505543,Up
UCHL1,-0.778,1.7803,0.041209,0.500648,Down
ACTA1,0.8317,1.6092,0.045885,0.5053,Up
