gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
S100A9,0.15310000000000001,0.3432,0.926832,0.631173,0.923044,NS,Concordant Up,TRUE
ETFRF1,-0.2941,-0.2016,0.56963,0.776837,0.97207,NS,Concordant Down,TRUE
NDUFS2,-0.375,0.1194,0.152268,0.893502,0.113842,NS,Discordant (Young Down / Old Up),FALSE
CLIC4,0.2424,0.2519,0.531792,0.508084,0.999615,NS,Concordant Up,TRUE
ZNF33A,-0.2555,-0.2386,0.828977,0.856594,0.999558,NS,Concordant Down,FALSE
MRPL47,-0.3337,-0.1593,0.244341,0.727763,0.812072,NS,Concordant Down,TRUE
COX6C,-0.3935,0.0982,0.135291,0.933433,0.133106,NS,Discordant (Young Down / Old Up),FALSE
MRPL9,-0.1779,0.3138,0.879091,0.652451,0.445251,NS,Discordant (Young Down / Old Up),TRUE
MYOM1,-0.3936,-0.0976,0.147148,0.936472,0.575414,NS,Concordant Down,FALSE
AKR1C1,0.4018,0.0889,0.138759,0.949003,0.538185,NS,Concordant Up,TRUE
MMP24OS,-0.2726,-0.218,0.813786,0.769715,0.994214,NS,Concordant Down,TRUE
IDH3G,0.2522,0.2377,0.422662,0.492502,0.998962,NS,Concordant Up,FALSE
PLIN5,-0.0979,-0.3906,0.968174,0.361019,0.764516,NS,Concordant Down,TRUE
PPID,-0.279,-0.2093,0.736836,0.810945,0.988718,NS,Concordant Down,TRUE
DRG2,-0.0266,0.4616,0.996383,0.282005,0.33149,NS,Discordant (Young Down / Old Up),TRUE
NME2,0.2909,0.1973,0.123168,0.475563,0.924052,NS,Concordant Up,FALSE
MYL6,-0.2279,0.26,0.767371,0.708171,0.376082,NS,Discordant (Young Down / Old Up),FALSE
NEXN,-0.2088,0.279,0.784095,0.61119,0.316714,NS,Discordant (Young Down / Old Up),TRUE
USP24,0.2377,-0.25,0.671226,0.461772,0.17592,NS,Discordant (Young Up / Old Down),TRUE
NLN,0.2909,0.1967,0.549922,0.716286,0.965997,NS,Concordant Up,TRUE
HHATL,-0.3236,-0.1637,0.316919,0.810461,0.878293,NS,Concordant Down,FALSE
TIMM8A,-0.4024,0.0849,0.385678,0.966133,0.352909,NS,Discordant (Young Down / Old Up),TRUE
APMAP,0.3374,0.1496,0.224374,0.750611,0.773765,NS,Concordant Up,TRUE
NUBPL,-0.2872,0.1982,0.686878,0.729143,0.347851,NS,Discordant (Young Down / Old Up),TRUE
PFKFB1,-0.1273,0.3577,0.934995,0.281547,0.317341,NS,Discordant (Young Down / Old Up),TRUE
UBE2F,0.2265,-0.258,0.813899,0.611226,0.384691,NS,Discordant (Young Up / Old Down),TRUE
PYURF,-0.3442,0.1396,0.526711,0.910312,0.379451,NS,Discordant (Young Down / Old Up),TRUE
CNIH4,0.3327,-0.1511,0.284651,0.849513,0.172691,NS,Discordant (Young Up / Old Down),TRUE
ERMP1,-0.4138,-0.0691,0.75238,0.980753,0.83806,NS,Concordant Down,TRUE
DBNL,0.464,0.0184,0.346275,0.998159,0.4505,NS,Concordant Up,TRUE
DCTN3,-0.1944,0.2874,0.820761,0.440028,0.274991,NS,Discordant (Young Down / Old Up),TRUE
RNPEP,-0.2575,-0.223,0.341932,0.490409,0.993064,NS,Concordant Down,FALSE
PTGR2,-0.3334,-0.1444,0.161687,0.802401,0.767146,NS,Concordant Down,FALSE
C11orf54,-0.2116,-0.2661,0.448799,0.256311,0.978959,NS,Concordant Down,FALSE
GLUD1,0.3171,0.1605,0.137106,0.708494,0.814416,NS,Concordant Up,FALSE
MAP1LC3B2,-0.4443,0.033,0.354579,0.992046,0.341145,NS,Discordant (Young Down / Old Up),TRUE
BLMH,-0.3759,-0.1009,0.175489,0.921079,0.601338,NS,Concordant Down,TRUE
SCARB2,0.2967,-0.1801,0.312534,0.671577,0.085781,NS,Discordant (Young Up / Old Down),TRUE
ELMOD2,-0.3735,-0.103,0.680217,0.934037,0.843247,NS,Concordant Down,TRUE
AP2A1,0.2709,0.2051,0.440147,0.573822,0.977321,NS,Concordant Up,TRUE
A2M,0.4083,0.0677,0.293256,0.980614,0.623304,NS,Concordant Up,FALSE
TIGAR,0.2252,-0.2496,0.843129,0.713787,0.483982,NS,Discordant (Young Up / Old Down),TRUE
MOB4,0.4073,-0.0674,0.113484,0.958648,0.108019,NS,Discordant (Young Up / Old Down),TRUE
NDUFB5,-0.3754,0.0991,0.115887,0.921154,0.107199,NS,Discordant (Young Down / Old Up),FALSE
TCEA3,-0.3774,0.0961,0.416278,0.921511,0.281501,NS,Discordant (Young Down / Old Up),TRUE
LRRC20,-0.3268,-0.1465,0.087207,0.733045,0.725314,NS,Concordant Down,FALSE
LANCL2,-0.2993,-0.1739,0.23106,0.656376,0.890854,NS,Concordant Down,TRUE
MT-ND5,-0.2345,0.2361,0.745193,0.751168,0.393186,NS,Discordant (Young Down / Old Up),FALSE
LAMA2,-0.3881,0.0821,0.351626,0.968763,0.349979,NS,Discordant (Young Down / Old Up),TRUE
PTGR1,0.1967,0.2734,0.826616,0.651039,0.983507,NS,Concordant Up,TRUE
SYNPO,-0.3188,-0.1513,0.38695,0.843717,0.875224,NS,Concordant Down,TRUE
ACSF2,-0.288,-0.1812,0.326384,0.711197,0.936637,NS,Concordant Down,FALSE
MICOS10,-0.307,0.1616,0.521873,0.868863,0.337018,NS,Discordant (Young Down / Old Up),TRUE
MRRF,-0.466,-0.0018,0.106973,0.99998,0.213089,NS,Concordant Down,TRUE
AP1M1,0.4531,0.014,0.059172,0.998644,0.180317,NS,Concordant Up,TRUE
RPL12,0.1437,0.3215,0.9055,0.540961,0.902819,NS,Concordant Up,FALSE
DHRS4,0.1153,0.3495,0.937544,0.213153,0.775769,NS,Concordant Up,TRUE
SORD,-0.2465,-0.2179,0.658336,0.669081,0.997146,NS,Concordant Down,TRUE
MTAP,-0.2988,-0.1653,0.441191,0.800699,0.920485,NS,Concordant Down,TRUE
RPL38,-0.339,0.1241,0.149006,0.851114,0.085975,NS,Discordant (Young Down / Old Up),TRUE
MRPL53,-0.3484,0.1145,0.482026,0.923713,0.350295,NS,Discordant (Young Down / Old Up),TRUE
DES,-0.253,0.2096,0.753748,0.838427,0.489853,NS,Discordant (Young Down / Old Up),FALSE
LYPLAL1,-0.4248,-0.0372,0.520085,0.991777,0.625031,NS,Concordant Down,TRUE
RPL11,0.1826,0.2788,0.806931,0.580007,0.967699,NS,Concordant Up,TRUE
GGCT,-0.2806,-0.1806,0.175021,0.579404,0.918461,NS,Concordant Down,FALSE
DBI,-0.2247,-0.2359,0.519923,0.494963,0.999383,NS,Concordant Down,FALSE
UNC45B,0.2513,0.2084,0.295051,0.484563,0.987428,NS,Concordant Up,FALSE
COX6A2,-0.2852,0.1738,0.639865,0.85404,0.403084,NS,Discordant (Young Down / Old Up),TRUE
NDUFB9,-0.4101,0.0487,0.072335,0.983198,0.135848,NS,Discordant (Young Down / Old Up),FALSE
CLEC3B,0.3855,-0.0723,0.350282,0.969205,0.319907,NS,Discordant (Young Up / Old Down),TRUE
CORO1B,-0.1315,0.3256,0.964054,0.286171,0.585539,NS,Discordant (Young Down / Old Up),TRUE
TUBA1B,0.3018,0.1549,0.126709,0.691964,0.815513,NS,Concordant Up,FALSE
PRKAG1,0.3209,0.135,0.059794,0.738302,0.662635,NS,Concordant Up,FALSE
NDUFS5,-0.4252,0.0301,0.100069,0.99477,0.207537,NS,Discordant (Young Down / Old Up),FALSE
AAMP,0.214,0.2409,0.815347,0.642581,0.997998,NS,Concordant Up,TRUE
EIF4H,-0.2626,-0.192,0.222282,0.522954,0.960912,NS,Concordant Down,FALSE
CARM1,0.0458,0.4087,0.989301,0.334342,0.55634,NS,Concordant Up,TRUE
MT-ND1,-0.4364,0.018,0.067143,0.998064,0.180144,NS,Discordant (Young Down / Old Up),FALSE
RPS13,0.147,0.3074,0.844128,0.384963,0.87838,NS,Concordant Up,FALSE
JUP,0.2024,0.2511,0.85972,0.666393,0.994154,NS,Concordant Up,TRUE
IGHG3,0.4013,0.0521,0.447155,0.991536,0.701533,NS,Concordant Up,FALSE
NGLY1,0.1723,0.2806,0.733399,0.29213,0.929898,NS,Concordant Up,TRUE
EPM2A,-0.4296,-0.0231,0.14064,0.997236,0.361651,NS,Concordant Down,TRUE
KIF5B,0.2392,0.2132,0.321357,0.445323,0.995457,NS,Concordant Up,FALSE
UQCR11,-0.4138,0.0382,0.169275,0.992392,0.272794,NS,Discordant (Young Down / Old Up),TRUE
TLN2,-0.0895,-0.3625,0.916643,0.074952,0.469019,NS,Concordant Down,TRUE
MYOZ3,-0.083,0.3686,0.96608,0.685845,0.589791,NS,Discordant (Young Down / Old Up),TRUE
VPS13A,-0.3297,-0.121,0.772419,0.908613,0.915874,NS,Concordant Down,TRUE
ACTR2,0.2713,0.1792,0.165518,0.549412,0.925179,NS,Concordant Up,FALSE
IFITM1,-0.3348,-0.1153,0.326523,0.890893,0.754963,NS,Concordant Down,TRUE
SHMT1,-0.2041,-0.2459,0.777761,0.677469,0.994597,NS,Concordant Down,TRUE
IGHA1,0.3668,0.0829,0.406552,0.97135,0.742874,NS,Concordant Up,FALSE
RPL10,0.0956,0.3537,0.939569,0.267692,0.684334,NS,Concordant Up,FALSE
SAE1,0.1216,-0.3277,0.966566,0.295291,0.568793,NS,Discordant (Young Up / Old Down),TRUE
NDUFS6,-0.4116,0.0375,0.074861,0.990482,0.157278,NS,Discordant (Young Down / Old Up),FALSE
AHCYL1,0.2973,0.1513,0.177885,0.736979,0.836948,NS,Concordant Up,FALSE
CLUH,0.429,0.0196,0.465038,0.998296,0.574704,NS,Concordant Up,TRUE
NDUFAF4,-0.262,0.1859,0.656634,0.789703,0.350826,NS,Discordant (Young Down / Old Up),TRUE
KRT2,-0.3285,0.1192,0.628351,0.95511,0.55474,NS,Discordant (Young Down / Old Up),FALSE
EHBP1L1,0.3424,0.1051,0.095189,0.873791,0.565442,NS,Concordant Up,TRUE
NDUFB10,-0.4267,-0.0197,0.061236,0.997529,0.241678,NS,Concordant Down,FALSE
YBX1,0.3635,0.0829,0.072018,0.933247,0.45539,NS,Concordant Up,FALSE
RPL7,0.2318,0.2143,0.679547,0.735887,0.998998,NS,Concordant Up,FALSE
GPC1,-0.1623,-0.2837,0.781741,0.357767,0.920371,NS,Concordant Down,TRUE
MRPS36,0.227,-0.2186,0.692623,0.704083,0.308973,NS,Discordant (Young Up / Old Down),TRUE
NDUFA7,-0.3635,0.0811,0.208268,0.95737,0.222635,NS,Discordant (Young Down / Old Up),FALSE
COX6B1,-0.3442,0.1004,0.178495,0.918916,0.151155,NS,Discordant (Young Down / Old Up),FALSE
SYPL1,-0.3808,-0.0637,0.077823,0.966464,0.396566,NS,Concordant Down,FALSE
TWF2,-0.1797,0.264,0.745395,0.48249,0.200997,NS,Discordant (Young Down / Old Up),TRUE
SSR4,-0.2135,0.2301,0.860885,0.690374,0.513039,NS,Discordant (Young Down / Old Up),TRUE
ERP44,0.0833,-0.36,0.976985,0.516578,0.524288,NS,Discordant (Young Up / Old Down),TRUE
MYH9,0.1138,0.3294,0.910692,0.324788,0.776148,NS,Concordant Up,FALSE
COX5B,-0.3133,0.1298,0.244087,0.854406,0.142914,NS,Discordant (Young Down / Old Up),FALSE
NDUFAB1,-0.3537,-0.0872,0.17683,0.943192,0.605452,NS,Concordant Down,FALSE
IDI1,-0.0989,-0.3417,0.927673,0.22587,0.681379,NS,Concordant Down,TRUE
VDAC1,-0.3063,-0.1341,0.100879,0.759155,0.729116,NS,Concordant Down,FALSE
ERAP1,0.3002,0.14,0.39356,0.860226,0.87713699999999994,NS,Concordant Up,TRUE
SCO1,-0.1692,0.2707,0.826935,0.516845,0.295145,NS,Discordant (Young Down / Old Up),TRUE
NAA10,0.266,0.1733,0.531294,0.688838,0.957569,NS,Concordant Up,TRUE
CUTA,-0.148,-0.2912,0.840522,0.430095,0.903482,NS,Concordant Down,FALSE
BANF1,-0.2353,0.2038,0.619117,0.72267,0.27059,NS,Discordant (Young Down / Old Up),FALSE
RPS15,-0.0646,0.3738,0.965132,0.108179,0.134935,NS,Discordant (Young Down / Old Up),FALSE
RNF7,-0.2785,-0.1595,0.179665,0.66828,0.880727,NS,Concordant Down,FALSE
HSPB3,0.3072,0.1306,0.360341,0.881571,0.848705,NS,Concordant Up,FALSE
ANK1,0.1903,0.2473,0.858942,0.696856,0.991465,NS,Concordant Up,TRUE
PPIB,0.1373,0.3002,0.843596,0.331176,0.853485,NS,Concordant Up,TRUE
MPP1,-0.3465,0.0908,0.450122,0.953899,0.379332,NS,Discordant (Young Down / Old Up),TRUE
KRT19,-0.2561,0.1809,0.778628,0.895818,0.585953,NS,Discordant (Young Down / Old Up),FALSE
MYBPC2,-0.3247,0.111,0.675174,0.965583,0.617926,NS,Discordant (Young Down / Old Up),FALSE
RBP4,-0.1665,-0.2672,0.950958,0.699803,0.984421,NS,Concordant Down,TRUE
FKBP2,-0.3309,-0.1026,0.413824,0.942464,0.795074,NS,Concordant Down,TRUE
NT5C1A,0.1714,0.2613,0.832068,0.622135,0.971871,NS,Concordant Up,FALSE
CCT5,0.2696,0.1614,0.057014,0.478285,0.843326,NS,Concordant Up,FALSE
CHCHD2,-0.1933,0.2374,0.786032,0.688294,0.373652,NS,Discordant (Young Down / Old Up),FALSE
TUFM,0.1854,0.2451,0.505559,0.268154,0.970797,NS,Concordant Up,FALSE
PTCD3,0.1904,0.2393,0.68193,0.504952,0.988045,NS,Concordant Up,TRUE
JPH2,-0.3361,-0.0918,0.086797,0.907728,0.532727,NS,Concordant Down,FALSE
DCTN6,0.3187,0.1087,0.470551,0.911941,0.809359,NS,Concordant Up,TRUE
KPNA1,0.2734,0.154,0.252617,0.719315,0.892932,NS,Concordant Up,TRUE
MRPL21,0.1303,-0.2971,0.952798,0.630405,0.59107,NS,Discordant (Young Up / Old Down),TRUE
NDUFS3,-0.3821,-0.0452,0.064839,0.983153,0.320112,NS,Concordant Down,FALSE
TUBB2A,0.3039,0.1216,0.102159,0.802252,0.69246,NS,Concordant Up,FALSE
GSTZ1,-0.1582,-0.2655,0.846872,0.617082,0.958102,NS,Concordant Down,TRUE
HNRNPH2,-0.3233,-0.1004,0.589425,0.926993,0.829026,NS,Concordant Down,TRUE
UBQLN1,-0.1239,-0.2996,0.941519,0.526254,0.90624,NS,Concordant Down,TRUE
GLRX5,-0.2719,-0.1515,0.590578,0.850595,0.94423,NS,Concordant Down,TRUE
SSPN,-0.1086,-0.3142,0.844267,0.104061,0.62312,NS,Concordant Down,FALSE
SLK,0.2271,0.1953,0.601079,0.605129,0.995095,NS,Concordant Up,TRUE
DCN,-0.3644,-0.0567,0.331729,0.984771,0.645742,NS,Concordant Down,FALSE
NDUFA12,-0.4008,0.0201,0.122562,0.997633,0.254833,NS,Discordant (Young Down / Old Up),FALSE
UBE2D1,-0.1128,-0.3069,0.856703,0.176229,0.710912,NS,Concordant Down,FALSE
NDUFA8,-0.4061,-0.0135,0.07084,0.998802,0.248493,NS,Concordant Down,FALSE
MAP3K20,0.2887,-0.1309,0.5458,0.910427,0.405036,NS,Discordant (Young Up / Old Down),TRUE
PADI2,0.3116,0.108,0.129256,0.866656,0.66405,NS,Concordant Up,FALSE
JCHAIN,-0.1421,-0.2772,0.961443,0.757368,0.97152,NS,Concordant Down,TRUE
MIEN1,-0.1019,0.3171,0.939016,0.259992,0.281814,NS,Discordant (Young Down / Old Up),TRUE
COQ10A,-0.2983,0.1206,0.398351,0.902732,0.287062,NS,Discordant (Young Down / Old Up),FALSE
NDUFB4,-0.4127,-0.006,0.111337,0.999803,0.295241,NS,Concordant Down,FALSE
GLRX,-0.2461,-0.1726,0.618669,0.823313,0.980083,NS,Concordant Down,TRUE
DNAJA3,-0.3026,-0.1155,0.46208,0.915773,0.850168,NS,Concordant Down,TRUE
HNRNPH1,-0.2368,0.1811,0.346812,0.597471,0.077028,NS,Discordant (Young Down / Old Up),FALSE
ANXA2,0.2737,0.1432,0.268688,0.77682,0.877923,NS,Concordant Up,FALSE
HNRNPH3,-0.2894,-0.1275,0.447137,0.893535,0.881437,NS,Concordant Down,TRUE
BGN,-0.392,-0.0247,0.241145,0.996983,0.478469,NS,Concordant Down,TRUE
EPB41,0.1515,0.2651,0.910646,0.652235,0.963834,NS,Concordant Up,TRUE
PHKA1,0.1892,0.2272,0.541932,0.397201,0.990102,NS,Concordant Up,FALSE
SELENBP1,-0.1642,-0.2522,0.716539,0.400293,0.951923,NS,Concordant Down,FALSE
NDUFA10,-0.3098,0.1063,0.273344,0.909501,0.207726,NS,Discordant (Young Down / Old Up),FALSE
LYRM7,-0.2052,-0.2109,0.662409,0.637314,0.999862,NS,Concordant Down,TRUE
CZIB,-0.2752,-0.1403,0.244522,0.776653,0.863022,NS,Concordant Down,FALSE
IDH3A,0.1896,0.2251,0.52929,0.393847,0.991237,NS,Concordant Up,FALSE
RPL22,-0.0288,0.3841,0.994398,0.131427,0.229878,NS,Discordant (Young Down / Old Up),FALSE
NDUFA9,-0.3739,-0.0386,0.114312,0.989383,0.386719,NS,Concordant Down,FALSE
GCN1,0.2925,0.1199,0.474121,0.851372,0.844634,NS,Concordant Up,TRUE
LASP1,-0.2687,0.1434,0.728455,0.901134,0.535029,NS,Discordant (Young Down / Old Up),TRUE
EEF1G,0.2467,0.1649,0.121669,0.487478,0.92079,NS,Concordant Up,FALSE
AKR1C2,0.2116,0.1998,0.747549,0.811032,0.999601,NS,Concordant Up,TRUE
FABP5,-0.2527,-0.1587,0.466114,0.789693,0.953907,NS,Concordant Down,FALSE
COX7A2,-0.2711,0.1397,0.426464,0.847947,0.247363,NS,Discordant (Young Down / Old Up),FALSE
MAPT,0.3397,0.0706,0.083587,0.948579,0.453513,NS,Concordant Up,FALSE
IMPA2,-0.2487,-0.1611,0.434976,0.759774,0.956192,NS,Concordant Down,FALSE
ARIH1,0.1247,-0.2847,0.91757,0.389428,0.352324,NS,Discordant (Young Up / Old Down),TRUE
PMPCA,-0.0964,0.3123,0.96354,0.362788,0.453323,NS,Discordant (Young Down / Old Up),TRUE
DPP7,-0.3963,-0.0123,0.487383,0.99922,0.576986,NS,Concordant Down,TRUE
ASPSCR1,-0.203,-0.2052,0.694012,0.578694,0.999978,NS,Concordant Down,TRUE
EEFSEC,0.0415,0.3665,0.993144,0.249675,0.616522,NS,Concordant Up,TRUE
MAN2C1,0.2893,-0.1183,0.403893,0.902001,0.289827,NS,Discordant (Young Up / Old Down),TRUE
NDUFS4,-0.3616,-0.0459,0.199405,0.986876,0.510934,NS,Concordant Down,FALSE
DNAJB2,-0.197,-0.2103,0.680394,0.590206,0.999182,NS,Concordant Down,TRUE
ETF1,0.2559,0.1513,0.476402,0.807532,0.942874,NS,Concordant Up,TRUE
TSG101,0.2098,-0.1968,0.537499,0.521112,0.119198,NS,Discordant (Young Up / Old Down),TRUE
PHKA2,0.0468,0.3587,0.981957,0.122632,0.409298,NS,Concordant Up,FALSE
RPL29,0.2193,0.1858,0.765134,0.839306,0.996888,NS,Concordant Up,FALSE
MRPL37,-0.3613,0.0426,0.37073,0.990415,0.419362,NS,Discordant (Young Down / Old Up),TRUE
PPME1,0.242,0.1616,0.765172,0.868284,0.982168,NS,Concordant Up,TRUE
RPL31,-0.2865,0.1167,0.334953,0.886885,0.225208,NS,Discordant (Young Down / Old Up),FALSE
MYO6,0.1388,0.2643,0.865073,0.527124,0.929234,NS,Concordant Up,FALSE
CCT4,0.2307,0.172,0.232475,0.517073,0.967157,NS,Concordant Up,FALSE
ARHGDIB,0.2533,-0.1492,0.529238,0.832776,0.297709,NS,Discordant (Young Up / Old Down),TRUE
NAPRT,-0.3915,0.0106,0.406707,0.999606,0.548918,NS,Discordant (Young Down / Old Up),TRUE
RDH11,0.2787,0.1234,0.702155,0.912184,0.92724,NS,Concordant Up,TRUE
PFDN5,-0.2473,-0.1543,0.293199,0.672944,0.929105,NS,Concordant Down,TRUE
MCU,-0.3145,-0.0867,0.325348,0.948616,0.734519,NS,Concordant Down,TRUE
SCRN3,-0.2322,-0.1685,0.687954,0.806146,0.984955,NS,Concordant Down,TRUE
FLG2,-0.176,0.2243,0.928772,0.871194,0.732319,NS,Discordant (Young Down / Old Up),TRUE
AGK,0.0891,0.3111,0.952784,0.3626,0.770968,NS,Concordant Up,TRUE
RPL13,0.2476,0.1515,0.635821,0.871479,0.966675,NS,Concordant Up,FALSE
RPL36AL,0.1486,0.2501,0.853094,0.594243,0.957479,NS,Concordant Up,FALSE
TMEM63A,0.3081,0.0893,0.401594,0.947684,0.774453,NS,Concordant Up,TRUE
HAGH,-0.2136,-0.1828,0.368259,0.526012,0.992716,NS,Concordant Down,FALSE
FAM98A,0.3386,0.0575,0.363447,0.98388,0.686832,NS,Concordant Up,TRUE
RAP1A,0.3428,-0.0528,0.558823,0.984955,0.527083,NS,Discordant (Young Up / Old Down),TRUE
DARS1,0.3409,0.0547,0.086486,0.971074,0.405642,NS,Concordant Up,FALSE
RNF181,-0.2193,-0.176,0.796568,0.811493,0.994541,NS,Concordant Down,TRUE
G3BP1,-0.1286,0.2663,0.924871,0.586445,0.480253,NS,Discordant (Young Down / Old Up),TRUE
EEF2K,-0.287,-0.1077,0.509169,0.919342,0.85699,NS,Concordant Down,TRUE
KRT10,-0.258,0.1367,0.761819,0.938658,0.636576,NS,Discordant (Young Down / Old Up),FALSE
LAMTOR1,0.3945,1e-4,0.124177,1,0.226141,NS,Concordant Up,TRUE
STK38,-0.2829,-0.1104,0.645753,0.931188,0.900295,NS,Concordant Down,TRUE
DAD1,0.2202,-0.173,0.902462,0.813444,0.709643,NS,Discordant (Young Up / Old Down),TRUE
RPL14,0.2886,0.1045,0.597879,0.950495,0.890056,NS,Concordant Up,TRUE
SND1,-0.116,0.2764,0.89283,0.361424,0.255146,NS,Discordant (Young Down / Old Up),TRUE
HMGB1,-0.2727,-0.1195,0.176239,0.808839,0.78445,NS,Concordant Down,FALSE
CAST,0.2016,0.1904,0.569713,0.627343,0.999326,NS,Concordant Up,FALSE
NDUFA5,-0.3563,-0.0349,0.123443,0.990846,0.394901,NS,Concordant Down,FALSE
RASA4,-0.2545,-0.1361,0.659225,0.876405,0.94737,NS,Concordant Down,TRUE
PLEC,0.2317,-0.1588,0.579913,0.810029,0.313885,NS,Discordant (Young Up / Old Down),FALSE
ARMT1,-0.1288,-0.2612,0.881604,0.482558,0.914305,NS,Concordant Down,TRUE
NDUFB3,-0.3864,0.0026,0.127004,0.999962,0.298628,NS,Discordant (Young Down / Old Up),FALSE
MOGS,-0.2843,-0.1044,0.742881,0.942383,0.915335,NS,Concordant Down,TRUE
STXBP3,-0.247,0.1416,0.407087,0.779091,0.177209,NS,Discordant (Young Down / Old Up),TRUE
RPS7,0.1083,0.2795,0.931437,0.532816,0.880442,NS,Concordant Up,TRUE
COX7A1,-0.3673,0.0202,0.174643,0.99756,0.315686,NS,Discordant (Young Down / Old Up),FALSE
IMPACT,0.2977,-0.0897,0.593434,0.960096,0.516534,NS,Discordant (Young Up / Old Down),TRUE
HINT2,-0.2165,-0.1696,0.68208,0.813965,0.99161,NS,Concordant Down,FALSE
BAG3,0.2245,0.1615,0.548089,0.772201,0.979402,NS,Concordant Up,FALSE
LRRC40,-0.3657,-0.0194,0.709354,0.997556,0.750561,NS,Concordant Down,TRUE
NDUFS8,-0.3796,-0.0048,0.136092,0.999864,0.32818,NS,Concordant Down,FALSE
AP2M1,0.3026,0.0814,0.22736,0.93759,0.661725,NS,Concordant Up,TRUE
SRSF3,0.1555,0.228,0.895364,0.676123,0.983596,NS,Concordant Up,TRUE
SNRPA,-0.3142,0.0692,0.29328,0.957118,0.257969,NS,Discordant (Young Down / Old Up),TRUE
NDUFV1,-0.3706,-0.0127,0.105972,0.998888,0.307287,NS,Concordant Down,FALSE
HNRNPL,-0.2386,0.1438,0.428015,0.786749,0.197316,NS,Discordant (Young Down / Old Up),TRUE
FAM120A,0.2126,0.1695,0.64739,0.696169,0.990684,NS,Concordant Up,TRUE
SARS1,0.2789,0.103,0.333933,0.901137,0.799915,NS,Concordant Up,TRUE
GLUL,-0.1226,-0.2587,0.95218,0.607322,0.95014,NS,Concordant Down,TRUE
MTIF2,0.2375,0.1437,0.596195,0.712461,0.950043,NS,Concordant Up,TRUE
HNRNPM,-0.1723,0.2085,0.804002,0.582922,0.336841,NS,Discordant (Young Down / Old Up),TRUE
CLIC5,-0.2092,-0.1708,0.490353,0.662883,0.99058,NS,Concordant Down,FALSE
MRPS35,0.2941,-0.085,0.556885,0.944302,0.434212,NS,Discordant (Young Up / Old Down),TRUE
TMX3,-0.2239,0.155,0.919761,0.908883,0.790168,NS,Discordant (Young Down / Old Up),TRUE
GLO1,-0.2073,-0.1713,0.41892,0.598101,0.990337,NS,Concordant Down,FALSE
QDPR,-0.2289,-0.1494,0.388447,0.731009,0.953884,NS,Concordant Down,FALSE
PDPR,-0.2857,0.092,0.529233,0.9454,0.430279,NS,Discordant (Young Down / Old Up),TRUE
NDUFA2,-0.3016,-0.0758,0.261614,0.953022,0.679814,NS,Concordant Down,FALSE
CAP2,-0.3289,0.0484,0.147269,0.980142,0.211573,NS,Discordant (Young Down / Old Up),FALSE
RTCB,0.24,0.1368,0.205769,0.694079,0.889052,NS,Concordant Up,FALSE
SGCD,-0.1682,-0.2078,0.598963,0.436612,0.988245,NS,Concordant Down,FALSE
PUF60,-0.2726,-0.1021,0.48601,0.873749,0.826717,NS,Concordant Down,TRUE
FGGY,-0.3304,0.044,0.658372,0.98952,0.623187,NS,Discordant (Young Down / Old Up),TRUE
SELENOF,-0.2433,0.1311,0.906382,0.910267,0.789439,NS,Discordant (Young Down / Old Up),TRUE
NIF3L1,-0.2601,-0.1139,0.257925,0.844562,0.823294,NS,Concordant Down,FALSE
DCTN1,0.2897,0.0831,0.115738,0.909171,0.588838,NS,Concordant Up,FALSE
SLC27A1,0.0199,-0.3523,0.998172,0.157857,0.41222,NS,Discordant (Young Up / Old Down),TRUE
PPP3CB,-0.1944,-0.1777,0.561639,0.643806,0.998336,NS,Concordant Down,FALSE
ARPC5,0.2417,0.1295,0.703119,0.903301,0.956445,NS,Concordant Up,TRUE
RIDA,-0.2081,-0.1625,0.291718,0.534706,0.979499,NS,Concordant Down,FALSE
COX5A,-0.3216,0.0489,0.20621,0.981651,0.272986,NS,Discordant (Young Down / Old Up),FALSE
SNCA,0.2179,0.1522,0.922585,0.944744,0.994633,NS,Concordant Up,TRUE
OBSCN,0.3245,0.0452,0.311376,0.987801,0.620487,NS,Concordant Up,FALSE
NDUFS1,-0.3603,0.0091,0.103481,0.999409,0.250666,NS,Discordant (Young Down / Old Up),FALSE
EIF2S3,0.3087,-0.0604,0.221149,0.969815,0.256014,NS,Discordant (Young Up / Old Down),FALSE
CMBL,-0.1623,-0.2065,0.768104,0.637715,0.990514,NS,Concordant Down,FALSE
ADK,0.0692,0.2996,0.963604,0.311374,0.690388,NS,Concordant Up,TRUE
CELF1,-0.2998,0.0687,0.416013,0.968581,0.396854,NS,Discordant (Young Down / Old Up),TRUE
TPPP3,0.297,0.0705,0.653041,0.978527,0.849607,NS,Concordant Up,TRUE
TNS1,-0.3015,-0.0655,0.31828,0.968485,0.684111,NS,Concordant Down,TRUE
REEP5,0.3514,-0.0155,0.078012,0.998014,0.196991,NS,Discordant (Young Up / Old Down),FALSE
COX7C,-0.3346,0.0322,0.297321,0.994123,0.410511,NS,Discordant (Young Down / Old Up),FALSE
ARL3,0.2781,0.0882,0.511137,0.922779,0.807874,NS,Concordant Up,TRUE
NMT1,-0.2363,-0.1296,0.706243,0.827948,0.952109,NS,Concordant Down,TRUE
CAVIN2,-0.1632,-0.2023,0.661418,0.511065,0.989681,NS,Concordant Down,FALSE
