LV,mean_young,mean_old,diff,cohens_d,pvalue,padj,stars,pathway_label,label
LV7,-0.3722850315523537,0.6105249874228836,-0.9828100189752373,-3.538871847405208,2.0075666137917292e-10,2.0075666137917293e-9,***,NA,LV7
LV6,0.3696378853155925,-0.2479032148219371,0.6175411001375296,1.1112294489851462,0.0050650922118966775,0.025325461059483387,*,Striated Muscle Contraction,Striated Muscle Contraction
LV5,0.1471946941202084,-0.34857271070699863,0.49576740482720705,0.9905947418576154,0.010115401005669862,0.03371800335223287,*,Beta Catenin Independent Wnt Signaling,Beta Catenin Independent Wnt Signaling
LV10,0.11234061262922039,-0.4134592244226646,0.5257998370518849,0.93924512806966,0.018685829226061993,0.04671457306515498,*,Reference Translation Initiation,Reference Translation Initiation
LV8,-0.1590639778368329,0.11213472171710569,-0.2711986995539386,-0.8420968727637428,0.025909669002687367,0.051819338005374735,,Complement Cascade,Complement Cascade
LV1,-0.2968094248804921,0.29809652335629827,-0.5949059482367904,-0.7337147853566903,0.05596297488612883,0.09327162481021471,,Citric Acid Cycle Tca Cycle,Citric Acid Cycle Tca Cycle
LV4,0.31862838302451507,-0.08826134911867779,0.40688973214319285,0.6020691485668479,0.10364785924916228,0.14514967459895498,,NA,LV4
LV2,-0.03868799421059371,0.2574054745934332,-0.2960934688040269,-0.5837370341455167,0.11611973967916397,0.14514967459895498,,NA,LV2
LV9,0.19266789663591652,0.03781990432345472,0.1548479923124618,0.4356785631344196,0.24201068635520148,0.26890076261689055,,Reference Electron Transfer In Complex I,Reference Electron Transfer In Complex I
LV3,-0.23318408342039298,-0.33216414062615535,0.09898005720576236,0.275478502843759,0.45079805217477054,0.45079805217477054,,NA,LV3
