pathway,LV,AUC,pval,FDR,pathway_clean
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,2,0.992515877407964,1.44859960756147e-20,1.593459568317617e-19,Respiratory Electron Transport
REACTOME_STRIATED_MUSCLE_CONTRACTION,4,0.990434782608696,1.3729472074482e-5,3.356093173762267e-5,Striated Muscle Contraction
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,5,0.944157002676182,1.08198550438036e-13,7.934560365455973e-13,Eukaryotic Translation Initiation
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,6,0.648855553617458,0.00183057091512614,0.00287661143805536,Transport Of Small Molecules
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,7,0.694605009633911,0.0147244440288069,0.01905516286080892,Intra Golgi And Retrograde Golgi To Er Tra...
