gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
MMP24OS,0,0.4983683278731574,0,0.05833272613644613,0,0,0,0
ESYT2,0.11701398891592779,0,0,0,0.03633552844496174,0.07445765466470998,0.29242574934748655,0
ILVBL,0,0,0,0.13135441755798036,0,0.1425103541512214,0.23709221600851263,0
FSD2,0.2815450513678973,0,0,0.22490805509171732,0.2317815586117251,0,0,0
TARS3,0,0.3309653599919815,0,0,0.14130460682705792,0,0.008865573052633515,0.045112249471269496
VWA8,0,0.42008480658422215,0.0736496487072777,0.031135384162753424,0,0,0,0.11047917757363537
CARNS1,0,0.013739589103940112,0,0.06079352116205429,0.08990952572178242,0,0.3100340316656126,0
MAP1LC3B2,0.06371930838082254,0,0,0.27093708881279405,0.27992263838426545,0.09574217939829546,0,0
PGP,0.012907935193327932,0.0066255692309231656,0.01435361600302705,0.11383402258437572,0,0.04777456672850027,0,0.12136096912614286
DHRS7C,0.15029909971615057,0,0.06069728886908716,0.07135307706410854,0.060660882835804675,0.2037748835988621,0,0
SMTNL1,0,0,0.1081800945025976,0,0.12370139853943157,0.19051564786405498,0,0
NUDT19,0.26721325477539776,0.3246041566148548,0,0.07644797560862877,0.12146940292608653,0,0.14718715706822813,0
NACA,0.3103998810599244,0,0,0,0.2028742394573832,0,0.32760450573530886,0
SLC35A4,0.27144938673291313,0.14426501156217852,0,0.19394481121553597,0,0,0,0.0289120340997466
PDLIM1,0,0.20071725671037416,0.25664989797823445,0,0.05280199905391668,0,0,0.1415053864400743
MYO1C,0.12372255489801356,0.1571900844886233,0.1358856344008893,0,0.06779011225586938,0,0.06362694813320027,0.24078817725196605
FXYD1,0.2837345428383441,0.01744913122632739,0,0.05309038631117743,0.10538346861367047,0,0.1139443783465485,0
STXBP3,0,0,0.39034597610024324,0.021420360757459095,0.08933374923618313,0,0,0
NDUFS8,0.06304509565314584,0.5637426312292264,0,0.13259544203423923,0.0071639488519419795,0,0,0
PSMD11,0,0,0,0,0.29704349107938516,0.4486836648201875,0.18313344920696817,0
PSMD12,0.0950081604714223,0,0,0,0.046942362740188405,0.4334970882106774,0.22207916627668153,0
PSMD9,0.028824565435089114,0,0.04862878374805692,0.1069644346593998,0,0.11497595318416899,0.03241237426033528,0
PGRMC1,0.2539177536434248,0,0.41051176673602824,0,0,0,0.034549737630948256,0.039786403550953864
CLIC1,0.06260476857573019,0,0,0.022759334991442764,0.14992520164279696,0,0.30375548367526795,0.1368140985057451
EIF3F,0,0,0.10129860126476903,0,0.3730357858712148,0,0.08260272780639717,0
PDHX,0.2783871343103167,0.48841522123887526,0,0,0,0,0,0
DCTN6,0.4358140535696713,0,0,0.015784949331067853,0.01704086264719122,0,0.27975020726983624,0
IPO5,0.13312270067609758,0,0,0,0.011262180964316387,0.14641189033039756,0.2820942690206779,0
