gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
EEF2K,0.30320906446263385,0,0.154809286359804,0.0895493810139798,0.002090874614290805,0,0,0
EML1,0.05482262961523936,0,0.005696177538676846,0.10757494995707732,0,0.317736020349122,0,0
DNM1L,0,0.262137087722055,0,0,0,0.035808721148626384,0.11914408545564936,0.045562146457034866
RTCA,0,0.11674675748319102,0.19370166386249377,0,0,0.11187626925882721,0,0
NDUFA4,0.21123197926071433,0.7156976991621681,0,3.8829612627842055e-4,0.05352730513549816,0,0.0710087604184054,0
PSMD14,0.3687801130342511,0,0,0,0.19219441306759577,0.23744642897277765,0.18084540258420867,0
BIN1,0.06654804976448764,0,0.014569864385923274,0,0.23213398842928215,0,0.3202847775826678,0
KPNA3,0.21938802815267822,0,0.065107392338286,0.018394006123034393,0.21156025273968002,0,0.17846378214862046,0
DDX3X,0,0,0,0.03922599059657336,0.3592643546852251,0.28163522329455565,0,0
KPNA4,0,0,0,0,0.18433789863288297,0.11836242150931378,0.21438957257249341,0.03066236441220975
CES2,0,0.2653647059626867,0,0,0,0,0.15562242608654003,0.15544786833993138
FBP2,0.028481935274214616,0,0,0.1585964664931136,0,0.29143983464704215,0,0
PDXK,0.27028688118159283,0.11107720158704014,0,0.05292374027365817,0,0,0.01765574043590635,0.021207227286686864
SDHD,0.0168216480907824,0.6021823012379895,0,0,0,0.1504191709172308,0.21806510823945094,0
COX7A2L,0.09703482620998267,0.6759276980151581,0,0.21322525976057227,0.21719474084581644,0,0,0
GAPDHS,0.1763412702043003,0.07552415438363717,0.0858484841488858,0.2588794691494178,0,0,0,0.18618616921050568
HSPB6,0,0.06989152310711085,0.012248144694770357,0,0.1706483002900212,0,0.29690265202364297,0.09803098488898342
NDUFAB1,0.3490312883475452,0.5162120722926798,0,0.043949383871770005,0.054499248291565154,0,0,0
IMPA2,0.14475622799160826,0,0.04841151234399357,0.07374727641134408,0,0.3540072587378374,0,0
PDCD5,0.032865149191792946,0.004913042633877915,0,0,0,0.03101143459218687,0.07494257106819582,0.01826867055385698
PRMT5,0.14898216759372518,0,0.09386327485422763,0,0,0.16790830421091296,0.22225400518963018,0.06497441013227089
PSMA7,0.038084325544415445,0,0.009324830773133041,0,0.2993576634573943,0.27341579507184927,0.1511059797482659,0
OPLAH,0,0.29536735072245507,0.16429606772731312,0,0,0,0,0.2225095510003952
MGST3,0.13670048209945873,0.09313632590369658,0.10359051514235704,0.010288954569150516,0.2059077025966689,0,0,0
RGS12,0.34350140033364723,0.021714710070079555,0.06375633901132241,0.08210029862916685,0,0,0,0.022020719619084923
HAT1,0.12431647797755767,0,0,0.04816657663342703,0.22694448832065175,0,0.11982545771945032,0
UQCRQ,0.01881546745961817,0.8866936835724456,0,0.21192818917854292,0.12474524718891322,0,0,0
MYL12B,0,0.17266581754660934,0.13088593692508071,0,0.24098388928665607,0,0,0.23452958301070273
UQCR11,0.20745932707237102,0.6133538976667439,0.04600781577463383,0.09813162574149187,0.1926867574268023,0,0,0
CASQ2,0,0.1364929632817964,8.490295043159196e-4,0,0.20893121969347286,0,0.20571456549410594,0.02951632513251069
HGS,0.17247238621074462,0,0,0.0924704092034564,0.21263755876032062,0,0.043677966537248494,0.004824505259083147
HNRNPDL,0.39003846738342696,0,0.07337681024240787,0.20731308332337647,0,0,0.022284832515733214,0
XPO1,0,0,0.16315446209131765,0,0,0.24123177135737092,0,0.14155072554418974
ATP2A1,0,0,0.05459574538398791,0.17093579295964392,0.08911854847429002,0.46261345214878896,0,0
SYNJ2,0.02715108618447365,0,0,0,0,0.06995045776303721,0,0.41652523395940255
SYNM,0.11868381783359519,0,0,0.374732602819042,0,0.13742936678596424,0.039636248162885745,0
ARPC1B,0,0.0169125534862861,0,0,0.12569504715754812,0,0.335256507254343,0.2424189516555405
ARPC2,0,0.07225579211829518,0.3937607676584309,0,0.15350616451989482,0,0,0.14098543646391018
PGRMC2,0.06131763810036405,0.10909713327428519,0,0,0,0.055924965394468194,0.19596839258228343,0
PFDN6,0,0,0.1478634516634539,0,0,0.29697172404121297,0,0.01595269676963258
NDUFA1,0,0.5858182708686892,0,0.12020409721397296,0.10773030712942427,0.17803853533609226,0,0
SURF4,0,0,0.010524794794606752,0,0.002900596162121662,0.05414962885091835,0.2366794878924378,0
MAPK13,0.37752900551661434,0,0.26282138128134985,0.0035468582550375384,0.03957776617201684,0,0,0.13080562852606523
TCAP,0.18627804450261934,0,0,0.45436840902535247,0.13719296513277884,0,0,0
PMM2,0,0,0.011133363094124379,0.12979124158464247,0,0.10867414696836367,0.07085484066877883,0
EIF3D,0,0,0,0.08527263347016827,0.6897245068395392,0.19977080519038581,0,0
EIF3H,0.27054824525215593,0,0,0,0.5543213450953908,0,0.006228997156544285,0
BCAT2,0,0.3539420642745761,0.026917555770392197,0,0.03838689730183939,0,0,0
STX7,0.20061331012529032,0,0.1479028433358659,0,0.08757683387387132,0,0.25061595650698726,0.09433765262795384
SLC16A3,0.1690254921756483,0,0.142249650905459,0.0539508640121924,0,0.1643302751799519,0,0.08084002679765241
YKT6,0,0,0.13039284941073306,0,0.022158236931424546,0.10276632364752494,0.05925831721847334,0
ARPC5,0.3744390864041892,0,0,0.21076607725798607,0,0,0.04626709394862319,0.17960454253417765
TAPBP,0.0012033803943577843,0.08354153658925578,0.22814747777281252,0.1033911202373266,0.14095880386957058,0,0.004075224081189226,0
DHX15,0.21669750947736544,0,0.1026594456012494,0,0,0,0.19282128769206736,0.06910037901627708
CYB5B,0,0.004365677063370573,0,0.024064994049486546,0,0.38577389301090687,0.029980819843955495,0
NDUFS4,0.16854787845752842,0.6370595549724732,0,0.22491063902714273,0.06423718108248705,0,0,0
DYNC1LI2,0.49020627648992665,0.033359969130326274,0,0,0.08642065178360622,0,0.05400010225059345,0
PSMD3,0.15137450544862463,0,0,0.013208737201782466,0.0944066466897158,0.4316380715690667,0.16820732407742298,0
RASA4,0,0.019451750038064198,0.33198113699311366,0.05467762703604132,0.15692025400630036,0,0,0.10587927379561106
HNRNPR,0.18097500490055393,0,0,0.038506795539074296,0.29425062970390065,0,0.06410462719912934,0
TXNL1,0.3346679697413583,0,0.013293043795226157,0,0.09508302903710418,0,0.16960979972023216,0
TPD52L2,0.00986447990032666,0,0.1430648670822905,0,0,0.15677386123011486,0.02596144296972573,0.05362864569937058
ERI3,0.07546748565192063,0,0.2757362038691094,0.11040717454364334,0,0.09846693544844143,0,0
AKR7A2,0,0.24312747512006785,0.30936888547759983,0,0,0,0,0.1861848019950118
LAT,0,0,0.12754084284774586,0.058098441687903124,0,0.3041510001215888,0,0
DENR,0,0,0,0.0908717152513309,0.02537283816424726,0.31739435367582397,0,0
DNPH1,0.2301388590199006,0.07735705155069585,0,0.12559576548387869,0,0,0,0.17191078726683895
TIMM44,0,0.44786183462578455,0.06823772141857924,0,0,0,0.035415567699451846,0.10320694353967906
TRAPPC3,0.47843805697620895,0,0.1483259717628863,0,0,0,0.04434301362685615,0.1340296101699646
CHMP2A,0,0.03265545012436556,0.27426635689785317,0,0,0,0.06863915953042775,0
NDUFB5,0,0.57411541887704,0,0.19681458444112035,0,0.057864487974405444,0,0
NDUFB3,0.12505575864121693,0.6965558954472865,0.02043951129288166,0.16120422521212122,0.1123202360111131,0,0,0
NDUFA2,0.17166218262392527,0.7829128851951502,0,0.18553181513289732,0.10753701030956059,0,0,0
BUB3,0.1094027920146366,0.06566017055643099,0.21965283074089442,0,0.011450130074850616,0,0,0.31710767044171084
ACTN4,0.08356527271996853,0,0,0.5363188874039003,0,0.05319790836137859,0,0
GSTZ1,0.19326021735213814,0,0,0,0,0.18648935355787905,0,0
PRKAB2,0,0.18981707469397466,0,0,0.1215535008163617,0.28693827368313013,0,0.04763584808188577
AP1G1,0.027064035848990965,0,0.23255372383941628,0,0.1353489060581842,0,0.12208519404919714,0.12124761812056359
SYNGR2,0.11804159749289989,0,0.07871203085038364,0.18955947179272795,0,0.16708607458545108,0.019874327369507862,0
SGTA,0,0.10297821669672694,0.21724555642365304,0,0,0.1805753838703613,0.013571624702549417,0.05126809701878445
ENSA,0,0,0.1079617054407803,0.06105613205660744,0.02213138593131049,0.0021956703121205987,0,0
SLC25A20,0,0.5384369559367301,0.0348344250884946,0,0,0,0,0.004121258822096045
NARS1,0.31294238081299647,0,0,0.17124329080618578,0.06639522197467032,0,0.18801574889065403,0
LANCL1,0.1388117972455675,0.02883132282185703,0.04043733847329854,0.047031600736961623,0,0.15102569110545158,0,0
SLC37A4,0,0,0,0.019155930182284238,0,0.5219873966669608,0,0
IDH3B,0,0.47688083984518215,0,0.054169249349687504,0.09371526162988822,0.053445491801733164,0.027141193064804826,0.13327394500321452
CALU,0,0,0,0,0.1800274548796463,0.19208022638925798,0.2483018011114746,0
AHCYL1,0,0,0,0,0,0.06846884106881727,0.3294972848215173,0
NDUFS5,0,0.7128498516526987,0.054410256191472516,0.1758893787954059,0.0567621364084113,0.02054652632246555,0,0
TIMM8A,0,0.34262493156250495,0.08375710283861705,0.07629578215567856,0.05149918143427049,0,0,0.07227086555629841
PPP1R12B,0.30722220619273255,0,0,0,0.06123525906746369,0,0.1681545085566628,0
PRPSAP2,0.035111396896636234,0,0,0.12154203953343275,0.09002117941401311,0.24607578755643786,0,0
SPAG9,0.11296980539524035,0,0,0,0.14687498595482956,0,0.3360605856631026,0
OPA1,0,0.3902268053572791,0,0,0.044435179594738236,0.032645798341982085,0,0.07112968236436118
TBC1D4,0.4173881904347945,0.11982860549725814,0,0.05966654876602791,0.007388757587513427,0,0,0
SNX3,0.11093326936954896,0,0,0,0,0,0,0.0026954169627627853
SYNCRIP,0.037855770022687,0,0,0,0.3576336410473571,0,0.09608246275418722,0
SELENOF,0.36618779611064106,0,0,0.2293091927637982,0.1572594655957909,0,0,0
KLHL41,0.051978208651286543,0,0,0.1355831841432312,0.24723350413856526,0,0.22191823364042534,0
PLIN3,0,0,0.011022676221640442,0,0,0.07717440334766447,0.29066725487564693,0.21495942570465496
KPNA6,0.06254891958763768,0,0,0,0.1473335266006539,0.11313649619553945,0.10366579191712925,0
SNX2,0,0,0.0014896082855707243,0,0,0.2335909283793255,0.035741119205157254,0.06721679656300256
USO1,0,0,0.21353097863720008,0,0,0.3929143267120366,0,0.017788539614696612
TOM1,0.16703987271454818,0.018198346973015016,0.12718248738036692,0,0,0.0598339927942249,0,6.412353350822522e-5
PFKFB2,0.007008519550256308,0.23441281884731274,0,0,0,0.09005276432750545,0,0
EDF1,0.12587352574437813,0,0.07007154542117554,0,0.26520814923018293,0,0,0
DNAJA2,0.14578492349134678,0,0,0,0.2911450551279123,0,0.23193498206430094,0
CUTA,0.31144040873103895,0,0.24672254904931493,0,0,0,0,0
PFDN1,0,0,0.1796615443701093,0.2728571338215899,0,0.1897826567190092,0,0
NOL3,0.21849715377455883,0.07902077959957987,0.06621862319658464,0,0,0,0.01775624151897532,0.14853023398527138
WDR1,0.04211578540244146,0,0.026727664113376605,0.06666870930810335,0.20070964017217816,0.1907137957085427,0.09523400010149921,0
LDB3,0,0,0.15238253629610418,0.18883323205193123,0.4013630931905856,0,0,0
CLASP2,0,0.20860004936095802,0.19218100095209284,0,0.1074692858562005,0,0,0.013702421195916805
COBL,0.2850775709887471,0,0.15658872104854196,0.028329438263009304,0.09387551992606014,0,0,0.11337851569097149
CPNE3,0,0,0.2212912310819136,0,0,0.2329066053275101,0.20651083322615355,0
CLUH,0,0.22503192834747698,0,0,0,0.30175313058929387,0.10693406361962426,0
CAND2,0.1252395525361716,0,0,0.03390771588559067,0,0,0.18921508669786755,0
COQ9,0,0.2652723819993435,0.20387144793596756,0,0,0,0,0.06610333901302494
GGCT,0.4258425538567811,0.02310042874075054,0.05237248911276281,0.04847287137127336,0,0.009823173543544991,0,0
NDUFS7,0.015553056591308418,0.6658162921324505,0.07520786563589008,0.22692691625550201,0.16830993195575908,0,0,0
RTN2,0.053343919891059514,0,0.09148588577968325,0,0,0.3477602168957597,0.08768997175207234,0
NDUFS2,0,0.5411420723674303,0,0.12411317999337809,0.15797016008330964,0,0,0
NIPSNAP2,0.1777582732002129,0.2453589643092487,0.2860989518666634,0,0,0,0,0.046287557039006215
CILP,0.05442347875139424,0,0.03693530626159889,0.3072976370383466,0.13566811557587174,0,0.03006121471975922,0
TBCA,0.04357090577717527,0,0.2510000659478412,0,0,0,0.11610702822363075,0.25529850533756787
ATP6V1G1,0.42199627279394974,0,0.027269650981575445,0,0,0,0.0934936649836549,0
VPS4B,0.14374393896735452,0,0.3227259947511267,0.0982886223138371,0.03142526487145019,0,0,0.04937334235537339
SH3BGRL,0,0.014611352610746463,0,0.011751765142643396,0,0.09117316457384403,0.09590850092587347,0.22648218513357618
FLNB,0.11452719302593072,0,0,0,0.3371962087321566,0.0882278263475123,0.2022463765140882,0
NDUFS6,0,0.6972590805180434,0.013881386857720139,0.14494399748366732,0.0989379233622441,0.048485289142077746,0,0
CS,0.05440650356083535,0.7864673372145179,0.07564627597148336,0,0,0,0.06132839703504939,0.07668348566795184
SEC22B,0,0,0.10302030088184284,0,0.0869519260407009,0.025576552068281008,0.23705536691287205,0.0014981362139016776
MTX2,0,0.4328021777435287,0,0.0673105636056704,0.1166962809248581,0,0,0.0016829848933404105
VPS26A,0,0,0.029106424040222144,0,0,0.21324419622282445,0.11169235299236696,0
NDUFB1,0.2174407577503766,0.6558852779648716,0,0.15872533196070035,0.09681253369396982,0,0,0
PMPCB,0,0.2828860004542899,0.147381442109586,0.07102788275914336,0,0,0,0.049480805515877524
NDUFS3,0.067087970310533,0.6869185011289014,0.0665203665576398,0.17961876117712208,0.09509760313814222,0,0,0
ECI2,0,0.46770749734143025,0,0,0,0.1299838908075781,0,0.03801314618647785
BANF1,0,0,0,0.40956903693942825,0,0.22677699041412766,0,0
CSDE1,0,0,0,0,0.33319903405517215,0.20958581411239385,0.06605770472739811,0
PRKRA,0,0,0,0.0302244492942654,0.5261689046597797,0,0,0
LYPLA1,0.11154267030235683,0.23973103727355882,0,0.010165855118908496,0,0,0,0.1902190719808034
TIPRL,0,0,0,0,0.01120884959521511,0.25384947073436326,0.10407216587166401,0.010537470861082938
PPM1B,0,0,0.21753029709781518,0,0,0.20647457256495375,0,0
SLC25A12,0.09627844989239968,0.6575697990148663,0.12305320286724568,0.1873552295913595,0.039902647039250456,0,0,0
TCEA3,0,0,0.4101313740309306,0,0.10564282006437786,0,0,0.10708087793278777
EIF3G,0.4138997153155888,0.04976887946180981,0.03515626614166899,0,0.5630578932961852,0,0.052394937856616655,0
EIF3J,0,0,0,0,0.5162531047471239,0.285446036121213,0.07488695234804124,0
PSMD10,0,0,0.29719127900796216,0,0,0.21014602336234764,0,0.014440913019099987
IDH1,0,0.02652897777592927,0.08706903932060563,0.017565831054896234,0,0.4657532996795447,0,0.1559965765488889
SCO1,0.16960077590971168,0.5596862475950024,0,0.02369419911851687,0.02617663729628835,0.230408220597569,0,0
ALDH1L1,0.09870384959194173,0,0,0.11686852115241866,0,0.13607823092816315,0,0
ARL6IP5,0.014356747427106516,0,0.2631048425647411,0,0.05092596950627143,0,0.23044632641570978,0.012342425427295802
DYSF,0.19221196666627705,0,0,0.016679929909098827,0.21041523844934504,0,0.39586557577811893,0
PIAS2,0,0,0.07323542998743002,0.14190348627201,0.07554947614048872,0.03126701165076328,0,0
DCTN3,0.13893205986799262,0,0,0.043715559588300694,0.11991285614248318,0.304352777647598,0,0.03791188237634724
ATP5PD,0,0.5696824332001547,0,0,0,0.03730098753525324,0.07727141637805358,0.019185607687131217
FLOT1,0,0,0,0.013382288478540647,0,0.28078001631664234,0.0473782903569977,0.042386633685349215
ATP5MG,0.0999644559063804,0.7365913337940857,0,0,0.05339908915027472,0,0.0969818813937903,0
GLRX3,0,0,0,0,0.11577361574158605,0.18512609469323837,0.2792452575295171,0
SNCG,0.4190791784088431,0,0,0.2800446344142701,0,0,0,0
DDAH1,0.10506099050242815,0,0.14832217786223856,0,0,0.17244165929441854,0.05093341780008282,0
TPPP,0.5633827720418979,0.024674785785407598,0.008595521025707768,0.11583477363506038,0,0,0,0
BAIAP3,0,0.24962957922631163,0,0,0,0.05906996965916544,0.062003862275727906,0
TOMM70,0,0.11445369562076313,0,0,0,0.22294566801001633,0.18800637821571597,0
UFL1,0,0.0021419100014529006,0.07285312319002248,0.003372714957913261,0.1526954927978376,0.0065652516483576,0,0
TMEM63A,0,0,0,0.0038218218715604124,0.044230311864285526,0,0.369878434714488,0.04239230397957989
PLPBP,0.008202415639196168,0,0.21595278902195222,0.036300718798946405,0,0.21026703622656626,0,0.15577881165240867
ERLIN2,0,0,0,0.11704470793322229,0.40915935767576916,0.12226334892220295,0,0
ENDOD1,0.07248779844330488,0,0,0,0.21650124826267178,0.08591341559044512,0.0679752263663393,0
SEC31A,0,0,0.10357197951491656,0,0.14047258855348585,0,0.3111825634892786,0
NDUFB6,0.1681515462145199,0.8230440985985035,0,0.2297979041403987,0.06958550146542954,0,0,0
MFN2,0,0.24156046858816357,0,0,0,0.01329392593546629,0,0
NDUFA3,0.10586782723243324,0.7024096522260832,0.06966431400194245,0.1536958758114497,0.07045603947378254,0,0,0
NDUFB4,0.0529852707975109,0.5146101806487777,0.09841138369893816,0.12732132203905627,0.05783526762794027,0,0,0
NDUFB8,0,0.7304101719356724,0,0.22311625577260752,0.06602850805323948,0,0,0
NDUFA7,0.004899422713923692,0.5312413331988697,0,0.19940644820884373,0.08960833827244276,0,0,0
RTN3,0.13570478352076418,0,0.01714375216113119,0,0,0,0.22823679134270142,0.05135554649342249
LETM1,0,0.5264654973629573,0,0,0,0,0.11818660797669635,0.1291122426909059
STBD1,0.20809786610787964,0,0,0.026128294306069128,0.14225363187534792,0.19550806057979098,0.11696207625825306,0
ZRANB2,0.15809294029115425,0.07881474107212036,0,0.03659311211779475,0,0,0,0.4149717864599617
EPM2A,0.29587994669852485,0.08718279473175734,0.14836578118741103,0.06878071509550658,0,0,0,0.07978686838646189
VAPB,0.07388837894891591,0,0,0.1427037726030695,0.22617724145810028,0.1779374854205149,0,0
NDUFC2,0.02274288992193741,0.7393873587174787,0.014630871145493793,0.18528519689847744,0.09956956377279867,0,0,0
NDUFA10,0,0.6672799337855856,0,0.22300701628999725,0.1675288674616282,0.08447384101294679,0,0
PGLS,0,0.08424355195705535,0.17055749471625115,0,0,0,0.12211882501981901,0.2688057868839448
TACC2,0,0.09089923356504906,0.07023240050440412,0,0,0,0.07645892723888448,0
LYPLA2,0.23565233953244255,0.10903405082768415,0.25330904193307235,0,0.04576237393277119,0,0.04880591914176224,0
IPO7,0,0,0,0,0,0.31787580605758364,0.19963786431448569,0
ARIH2,0,0,0.014600257996027145,0.36694307887782496,0.04165459731060856,0.049604646556673064,0,0
PGM3,0.17040053037481437,0,0.1988030161185166,0,0,0,0.05485152062423437,0.10582644206387191
SVIL,0.14959055518067182,0,0,0.23128027265197254,0.028593575942364332,0.05273612280583039,0.10783657490123003,0
AHSA1,0,0.01690760703304103,0.1587945609781309,0,0,0.06891731489973758,0.13994543855977887,0.08888367982344819
H6PD,0,0,0.3677700218782227,0,0,0.1731346729194743,0,0
MPC2,0.26509472424715697,0.4703739949651149,0,0,0,0,0.13556198332185906,0
ETHE1,0.2625001970934855,0.2601651666942154,0,0,0,0,0.016984502094554512,0
ACSL3,0.08526025381257914,0,0,0,0.08426262148985567,0.02869507115677254,0.310195433636406,0
ASMTL,0.17200356827743946,0,0,0.23986438318442163,0.11254459664931869,0.18515997388161304,0,0
CDS2,0,0,0.18557146501632904,0,0.05935381200535373,0,0.08163170637662821,0.18565384434476806
SNAP29,0.23422985038323224,0.058568529569906644,0.07524351419017718,0,0,0,0.09663427383039867,0.1953370064211983
OXSR1,0.20900216211376807,0,0.1572853264752764,0.08665743524650614,0,0.10965781810551316,0,0.13036344709217504
LSM8,0.26426260853729433,0,0.06407608501300746,0.3361583135450785,0.032626434852761586,0,0,0
AP2A1,0,0,0.02758260897722585,0,0.018494405975444553,0.002635333232063871,0.3949387773956855,0.13222143907113393
CAVIN2,0,0.16046696343744887,0,0,0,0.1297268213047457,0,0.13545318619363056
BAG2,0.5050591746276062,0,0.011703664378864841,0.09086891611823239,0.026939320003470664,0,0,0
BAG3,0.011190250757606612,0,0,0.07553978412889023,0.3652347762263031,0,0.13525416948564623,0
MLYCD,0,0.5426710624547149,0.13570753772490396,0,0,0,0,0.14859705828030703
AIFM1,0.15921567695723143,0.3688810454916257,0,0.008942092331522048,0,0,0.0573210642008578,0
EML2,0,0.0025607664787599075,0,0,0,0.026747607270928207,0.10657199109853234,0.09687132826146821
BPNT1,0,0,0.17770981435908167,0,0,0.20827562416861253,0,0.09168327203354411
DDAH2,0.037239112170734084,0,0.09172236085402356,0,0,0,0.29171893474235266,0.2923463800838292
ABHD16A,0.03493186355624889,0.18783717512440282,0.1588965692643565,0,0,0,0.03777736501368134,0
TXNDC12,0,0,0.27105233536288603,0,0,0.09885475781335987,0.20059332547532924,0.15727850791443151
NUDT3,0,0.0740169799313229,0.29298141959177626,0,0,0.020952076396222513,0,0
NDUFB10,0.1612027884690244,0.5750933571820355,0.02649422295200838,0.11641713457590473,0.07956347819814975,0,0,0
CLPTM1,0,0.06912766911888954,0.3238792302265922,0,0,0,0.21237499222273284,0
MOCS2,0.21627547365485572,0,0,0,0,0.20911528978752925,0.025881397503161516,0
TOMM40,0,0.3307759673469064,0.04525912459681186,0.08914529737266293,0.0034186992465632345,0,0,0
PEX11B,0,0.19075406469257467,0.08923494055467254,0,0,0,0.1217931893193367,0
CYB5A,0,0.1873544319053037,0.12635958745466924,0,0,0.11240862747611269,0.16177646646646607,0.08703236545680153
ADH1B,0.1619416579694843,0,0.3295572840122047,0.04632899675096729,0,0,0,0.16497635476801717
LDHA,0.23596114220966136,0,0,0.05991796420799114,0,0.27869638792039286,0.07509085714164597,0
ALDH1A1,0.022570986183734987,0,0.18637671694760566,0,0,0.11165440637153633,0,0.020287928881924985
GLUD1,0,0.36370884451499697,0,0,0,0,0.33568626204060054,0.019195179066653266
CYB5R3,0,0,0.2878328774806686,0,0.0191557955071002,0,0.3394826051698637,0
GSR,0.15987340131544292,0,0,0,0,0.2111421793877523,0.3210095287028365,0.03830253458113756
MT-CO1,0.06783444614136722,0.4828156502297798,0,0.17567462421620084,0.13867587255508243,0.12616027570270436,0,0
MT-CO2,0.2181572596659218,0.8068929426940615,0,0.16515578554322863,0.16528204908249516,0,0,0
MT-CO3,0.037995227802771585,0.5771131020930157,0,0.35427379203891946,0.003997717817696377,0,0,0
SOD1,0.1473192873784285,0,0.14104048660398258,0,0,0.11589330467384643,0,0.10745934119998508
CP,0,0,0.23072532810200247,0,0,0,0,0.4348230424617261
F13A1,0.10545952898159215,0,0.07774085105607079,0.020989456562445084,0.06365000564925472,0,0.096897383152604,0.25121060267956796
HPRT1,0,0,0,0,0.13766642096027973,0,0.35017611422758926,0.07876940261794779
GOT2,0,0.6315432064727172,0.017854121415033987,0,0,0,0,0.1666445275791299
PGK1,0.24100651014905283,0,0,0.10886295790226984,0,0.2507598231021456,0.013304031461677053,0
AK1,0.15486637200713477,0,0,0.14342640036117218,0,0.24036851595154118,0.10914489001119713,0
HP,0,0,0.14372304536487535,0,0,0,0,0.4040252538077567
CFB,0,0,0.060932351999023686,0,0,0.08066350874525566,0,0.42862449292608523
MT-ATP6,0,0.10569221245478666,0,0,0,0.32112612768553006,0.1383222247538892,0
CA2,0,0,0.09608369694151217,0,0,0.31987169532363646,0,0.2610109713612644
ASS1,0.19678112241911042,0.19525056717495737,0.04824024496222426,0.08613944968149927,0,0,0,0.03154795697079285
SERPINA1,0,0,0.1310487635690779,0,0.0035767535920916325,0,0,0.46255758136513814
SERPINA3,0.07162833087038323,0,0.0824232907086215,0,0,0,0,0.44519715515290303
AGT,0.15566634010412214,0,0.151378111231478,0,0,0,0,0.28961680203459744
A2M,0.1636091072280406,0,0,0,0,0,0,0.38140291700593065
C3,0,0,0.05097807228045696,0,0,0,0,0.5330978399988915
CST3,0,0,0.03696921902638192,0,0,0.0429597961398069,0.09115377331100499,0.03581469816116517
CSTA,0,0.05161940400379559,0,0,0,0.21906684274035876,0,0.07339215451383964
JCHAIN,0.32439811421981535,0.058015366890681486,0,0,0.04886248967065642,0,0,0.21745710125505432
IGKV3-20,0,0.03175399735328098,0.0259256264335168,0,0.024439464398037673,0,0,0.35296368185024996
IGHV3-7,0,0,0,0.01875114385992233,0,0.06646436325980479,0.06592209447813768,0.4026184713963556
IGKC,0,0,0,0,0,0.11875331185268233,0.032056034083403656,0.416843250607598
IGHG1,0,0,0,0,0,0.0587349684680252,0.05917024685384556,0.4316181075061889
IGHG2,0,0,0.005938428792335214,0.025486104190170108,0.04476976560513594,0.010843716569642092,0.046333662906054625,0.3747903334062048
IGHG3,0.010061418714750584,0,0,0.008238070106836344,0.12692530954284265,0.0027249199190917234,0,0.1706106466751289
