LV,mean_delta_young,mean_delta_old,diff,cohens_d,pvalue,padj,stars,pathway_label,label
LV9,-0.48441065640461656,0.023348853727891784,-0.5077595101325083,-1.0012249036795362,0.01098237547364462,0.10982375473644619,,Reference Electron Transfer In Complex I,Reference Electron Transfer In Complex I
LV5,0.39519660440381404,0.022492034414275792,0.37270456998953827,0.767675560873392,0.04541531730289497,0.15844183889768226,,Beta Catenin Independent Wnt Signaling,Beta Catenin Independent Wnt Signaling
LV6,-0.42735728559566655,0.041177747755617264,-0.4685350333512838,-0.7573205961183068,0.047532551669304673,0.15844183889768226,,Striated Muscle Contraction,Striated Muscle Contraction
LV3,0.7936136652081168,0.36762704327167844,0.4259866219364384,0.6204524969945722,0.10042190945429832,0.2510547736357458,,NA,LV3
LV4,-0.16187321706279953,-0.30692829384076264,0.14505507677796312,0.2645020771632464,0.47513520754556515,0.9056757840362738,,NA,LV4
LV10,0.20532479654337868,0.356154735599241,-0.1508299390558623,-0.22463316583042764,0.5434054704217642,0.9056757840362738,,Reference Translation Initiation,Reference Translation Initiation
LV7,-0.18791512493047738,-0.22887758593610402,0.040962461005626644,0.12605452236356102,0.7328992154427664,0.9663364987003162,,NA,LV7
LV2,-0.20633153017067546,-0.16414199207783864,-0.04218953809283682,-0.0827992023574151,0.8222631977949179,0.9663364987003162,,NA,LV2
LV1,-0.013863400026835422,0.022788857512889556,-0.03665225753972498,-0.03760902742363551,0.9188380919915559,0.9663364987003162,,Citric Acid Cycle Tca Cycle,Citric Acid Cycle Tca Cycle
LV8,0.05362477894785,0.045800094828238644,0.007824684119611354,0.015572163047113733,0.9663364987003162,0.9663364987003162,,Complement Cascade,Complement Cascade
