LV,phenotype,r,pvalue,n,padj,pathway_label,label,stars
LV1,delta_VL,0.011628944091447246,0.9513673311523497,30,0.9939701474895226,Citric Acid Cycle Tca Cycle,Citric Acid Cycle Tca Cycle,
LV1,delta_LBM,0.1136157380085956,0.54997505555203,30,0.9603944942501477,Citric Acid Cycle Tca Cycle,Citric Acid Cycle Tca Cycle,
LV2,delta_VL,0.014800538280187606,0.9381260759124399,30,0.9939701474895226,NA,LV2,
LV2,delta_LBM,-0.296712272231754,0.11134027945371187,30,0.3711342648457063,NA,LV2,
LV3,delta_VL,0.2973189394085894,0.11057613663877505,30,0.43616390628593815,NA,LV3,
LV3,delta_LBM,0.34041349174634017,0.06566456223515812,30,0.32832281117579065,NA,LV3,
LV4,delta_VL,-0.115769797477721,0.5423868690476363,30,0.903978115079394,NA,LV4,
LV4,delta_LBM,0.20719286555546199,0.27194438394294745,30,0.6798609598573686,NA,LV4,
LV5,delta_VL,0.28217606718725396,0.13084917188578143,30,0.43616390628593815,Beta Catenin Independent Wnt Signaling,Beta Catenin Independent Wnt Signaling,
LV5,delta_LBM,-0.006674057668073938,0.9720778790670153,30,0.9778543367493759,Beta Catenin Independent Wnt Signaling,Beta Catenin Independent Wnt Signaling,
LV6,delta_VL,-0.169516257991722,0.37050276659438486,30,0.903978115079394,Striated Muscle Contraction,Striated Muscle Contraction,
LV6,delta_LBM,-0.4330089906458067,0.016842512511588192,30,0.16842512511588192,Striated Muscle Contraction,Striated Muscle Contraction,
LV7,delta_VL,0.13249876170968122,0.4851926416387553,30,0.903978115079394,NA,LV7,
LV7,delta_LBM,0.06399519250482476,0.7368959276181919,30,0.9603944942501477,NA,LV7,
LV8,delta_VL,0.026956937172503612,0.8875533094254449,30,0.9939701474895226,Complement Cascade,Complement Cascade,
LV8,delta_LBM,0.00529296646262328,0.9778543367493759,30,0.9778543367493759,Complement Cascade,Complement Cascade,
LV9,delta_VL,-0.5571698463423995,0.001382381051477872,30,0.013823810514778719,Reference Electron Transfer In Complex I,Reference Electron Transfer In Complex I,*
LV9,delta_LBM,-0.05612494225611319,0.7683155954001182,30,0.9603944942501477,Reference Electron Transfer In Complex I,Reference Electron Transfer In Complex I,
LV10,delta_VL,0.0014410144189611633,0.9939701474895226,30,0.9939701474895226,Reference Translation Initiation,Reference Translation Initiation,
LV10,delta_LBM,-0.09475170745251153,0.6184506580167602,30,0.9603944942501477,Reference Translation Initiation,Reference Translation Initiation,
