norm,PCV,PMAD,COR,PCV_rank,PMAD_rank,COR_rank,composite
cycloess,0.0178,0.2137,0.9768,1,1,4.5,2.1666666666666665
rlr,0.0179,0.2159,0.9768,2,2,4.5,2.8333333333333335
vsn,0.0181,0.221,0.9768,3,3,4.5,3.5
log2,0.0186,0.2217,0.9768,4,4,4.5,4.166666666666667
gi,0.0218,0.2655,0.9768,5,5,4.5,4.833333333333333
quantile,0.0226,0.2745,0.9768,7,6,4.5,5.833333333333333
median,0.0226,0.2774,0.9768,7,7,4.5,6.166666666666667
mean,0.0226,0.2813,0.9768,7,8,4.5,6.5
