method,predictor,r,p,ci_lo,ci_hi,n,type
Age Gap (delta_VL),Mahalanobis ME dist.,-0.19811851882873496,0.2939580556689694,-0.5211874626119457,0.17461394988502227,30,nominal
Age Gap (delta_LBM),Mahalanobis ME dist.,-0.20198797000974955,0.2844368399606341,-0.52411716114428,0.1707033432246264,30,nominal
Within-Old ME (delta_LBM),MEred,-0.44443371757442746,0.09696130999493517,-0.7792802567298772,0.0878236665110189,15,nominal (within-group)
Within-Old ME (delta_VL),MEbrown,0.49231333049509834,0.06228380390001644,-0.026677385332002063,0.8022529363573542,15,nominal (within-group)
Within-Young ME (delta_LBM),MEpink,-0.43611103992152567,0.10414204037871388,-0.7751930562010464,0.09805838965777486,15,nominal (within-group)
Within-Young ME (delta_VL),MEturquoise,0.5960105205501224,0.019037267763729018,0.12055472825923007,0.8490472996491784,15,nominal (within-group)
Within-Old LV (delta_LBM),LV5,0.5203392718923134,0.04675833364146814,0.011011566151365441,0.8152869830452957,15,nominal (within-group)
Within-Old LV (delta_VL),LV4,0.5090996716597685,0.05259525200626206,-0.004279141852485787,0.8100954245703696,15,nominal (within-group)
Within-Young LV (delta_LBM),LV2,0.38881926919724036,0.1520456927186677,-0.1541460187607375,0.7514166913862627,15,nominal (within-group)
Within-Young LV (delta_VL),LV1,0.5308311322724872,0.04175493470523258,0.025503265474654035,0.8200907463227597,15,nominal (within-group)
