outcome,distance,r,p,ci_lo,ci_hi,n
delta_VL,Mahalanobis,-0.19811851882873496,0.2939580556689694,-0.5211874626119457,0.17461394988502227,30
delta_LBM,Mahalanobis,-0.20198797000974955,0.2844368399606341,-0.52411716114428,0.1707033432246264,30
delta_VL,Euclidean,-0.2867540132102017,0.12445306406397341,-0.5864390154961223,0.08198496507130809,30
delta_LBM,Euclidean,-0.1899387605563948,0.3147419696163436,-0.5149691154090928,0.1828421863958869,30
