gene,pattern,sort_key,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Reversal
SCRN3,Aging Down,0.6109,-0.6109,-0.1686,0.036622,0.427171
LRMDA,Aging Down,0.5984,-0.5984,0.0067,0.006928,0.079767
PDLIM5,Aging Down,0.5685,-0.5685,-0.2513,0.012752,0.596433
RPS24,Aging Down,0.5584,-0.5584,0.0366,0.043509,0.158685
CAPN3,Aging Down,0.5182,-0.5182,0.1161,0.028201,0.053016
RPL17,Aging Down,0.4782,-0.4782,0.1414,0.048692,0.055698
NARS1,Aging Down,0.4408,-0.4408,0.016,0.036394,0.159731
STBD1,Aging Down,0.4302,-0.4302,-0.0319,0.012994,0.171364
VAPB,Aging Down,0.4004,-0.4004,-0.0973,0.024209,0.401068
PSMD14,Aging Down,0.3411,-0.3411,0.0498,0.036384,0.098958
GPT2,Rev. (Age Up),1.6806,1.6806,-0.5923,6.86e-4,2e-6
PLIN2,Rev. (Age Up),1.1231,1.1231,-0.4257,6.6e-5,6e-6
LRG1,Rev. (Age Up),1.0799,1.0799,-0.4153,5.6e-5,2e-6
CTSZ,Rev. (Age Up),1.0448,1.0448,-0.0079,0,8.6e-5
COPS7B,Rev. (Age Up),1.0128,1.0128,-0.4562,0.012182,5.76e-4
PDLIM1,Rev. (Age Up),0.9982,0.9982,-0.1297,9e-6,3.89e-4
SLC25A46,Rev. (Age Up),0.9425,0.9425,-0.0505,2.64e-4,0.001199
IDI1,Rev. (Age Up),0.88,0.88,-0.3417,4e-6,0
MCEE,Rev. (Age Up),0.8341,0.8341,-0.1314,0.024329,0.031169
SOD2,Rev. (Age Up),0.8101,0.8101,-0.0623,1.65e-4,0.005557
MAOA,Rev. (Age Up),0.7807,0.7807,-0.1942,8.4e-5,2.79e-4
ALDH6A1,Rev. (Age Up),0.774,0.774,-0.5215,8.46e-4,2e-6
HMGB2,Rev. (Age Up),0.7508,0.7508,-0.2047,3.5e-5,6e-5
ARHGDIB,Rev. (Age Up),0.7363,0.7363,-0.1493,6.12e-4,0.002544
EPDR1,Rev. (Age Up),0.73,0.73,-0.0906,4.32e-4,0.004862
DCXR,Rev. (Age Up),0.7189,0.7189,-0.1385,2.7e-4,0.001718
MT2A,Rev. (Age Up),0.7149,0.7149,-0.5349,0.010841,9.4e-5
MAPK13,Rev. (Age Up),0.6963,0.6963,-0.2489,0.045257,0.016857
