gene,pathway,go_slim_id,classification,logFC_Aging,logFC_Training_Old
ETFA,Amino Acid & Cofactor Metabolism,GO:0006520,Rev. (Age Up),0.479,-0.1005
GPT2,Amino Acid & Cofactor Metabolism,GO:0006520,Rev. (Age Up),1.683,-0.592
GPX3,Amino Acid & Cofactor Metabolism,GO:0098754,Rev. (Age Up),0.3691,-0.4114
GSTO1,Amino Acid & Cofactor Metabolism,GO:0006766,Rev. (Age Up),0.3674,-0.2644
HMGCL,Amino Acid & Cofactor Metabolism,GO:0006520,Rev. (Age Up),0.6639,0.0062
MCCC1,Amino Acid & Cofactor Metabolism,GO:0006766,Rev. (Age Up),0.6282,-0.1374
MCEE,Amino Acid & Cofactor Metabolism,GO:0055086,Rev. (Age Up),0.8339,-0.1316
MPST,Amino Acid & Cofactor Metabolism,GO:0006520,Rev. (Age Up),0.4218,-0.2658
MT2A,Amino Acid & Cofactor Metabolism,GO:0098754,Rev. (Age Up),0.7041,-0.5348
NXN,Amino Acid & Cofactor Metabolism,GO:0098754,Rev. (Age Up),0.5872,-0.0543
PNPO,Amino Acid & Cofactor Metabolism,GO:0006766,Rev. (Age Up),0.6635,-0.2009
SOD2,Amino Acid & Cofactor Metabolism,GO:0098754,Rev. (Age Up),0.8246,-0.0624
DCXR,Carbohydrate & Energy Metabolism,GO:0005975,Rev. (Age Up),0.71,-0.1383
FBN1,Carbohydrate & Energy Metabolism,GO:0005975,Rev. (Age Up),0.5843,-0.3809
GALK1,Carbohydrate & Energy Metabolism,GO:0005975,Rev. (Age Up),0.5164,-0.1872
GPD1L,Carbohydrate & Energy Metabolism,GO:0005975,Rev. (Age Up),0.3457,-0.1446
NAXD,Carbohydrate & Energy Metabolism,GO:1901135,Rev. (Age Up),0.653,-0.154
ARHGDIB,Cytoskeleton & Motility,GO:0048870,Rev. (Age Up),0.737,-0.1492
PDLIM1,Cytoskeleton & Motility,GO:0007163,Rev. (Age Up),1.0193,-0.1299
PHPT1,Cytoskeleton & Motility,GO:0048870,Rev. (Age Up),0.4379,-0.1652
SYNE2,Cytoskeleton & Motility,GO:0044782,Rev. (Age Up),0.2601,-0.43
HMGB1,DNA & Cell Cycle,GO:0006310,Rev. (Age Up),0.4126,-0.1195
HMGB2,DNA & Cell Cycle,GO:0006310,Rev. (Age Up),0.7617,-0.2048
NAE1,DNA & Cell Cycle,GO:0000278,Rev. (Age Up),0.377,-0.3245
OTUB1,DNA & Cell Cycle,GO:0006281,Rev. (Age Up),0.5169,-0.1224
MAOB,Development,GO:0048856,Rev. (Age Up),0.551,-0.1828
EPDR1,ECM & Adhesion,GO:0007155,Rev. (Age Up),0.729,-0.0909
LRG1,ECM & Adhesion,GO:0042060,Rev. (Age Up),1.0802,-0.4154
TLN2,ECM & Adhesion,GO:0034330,Rev. (Age Up),0.2236,-0.3625
ANXA3,Immune & Inflammation,GO:0098542,Rev. (Age Up),0.1996,-0.5736
MAPK13,Immune & Inflammation,GO:0006954,Rev. (Age Up),0.6965,-0.2492
UBE2K,Immune & Inflammation,GO:0098542,Rev. (Age Up),0.3462,-0.1826
ABHD16A,Lipid Metabolism,GO:0006629,Rev. (Age Up),0.5817,-0.4649
