boot,ari
1,0.967898892309452
2,0.9449971198874443
3,0.9654542354683756
4,0.945916469801246
5,0.9792497884229209
6,0.9488235168363929
7,0.9593236287359334
8,0.9738783750532327
9,0.9815070120657198
10,0.936839011400643
11,0.9682446457003513
12,0.9601504018106364
13,0.9671988669577796
14,0.9586732281796772
15,0.9437541335518247
16,0.9582107893173515
17,0.9636448825544697
18,0.9589667430459055
19,0.9660055888964763
20,0.9530989768132315
21,0.970006234482243
22,0.9569477888232605
23,0.9556594526171925
24,0.9636782300350784
25,0.9540856056635793
26,0.9402975354433913
27,0.9424224502128041
28,0.9650559751508244
29,0.9435253940664392
30,0.9438096393145438
31,0.9646404763170645
32,0.9361395773074488
33,0.9202488067328073
34,0.9244914246132081
35,0.9415886264059657
36,0.9659488505088198
37,0.9678387967924209
38,0.9709658576222638
39,0.9694837891581846
40,0.952531941972146
41,0.9515029040848093
42,0.9693552491257411
43,0.9564666972813844
44,0.9483975300070735
45,0.9595703100163376
46,0.9553569089517823
47,0.9646372274194104
48,0.9598323044107621
49,0.9272675188295352
50,0.9426988143349447
51,0.968283713324953
52,0.9488761675449605
53,0.9500854706060118
54,0.934896849882588
55,0.9380761185762004
56,0.9652251816464819
57,0.947975004956092
58,0.9714752222896262
59,0.9775023137414904
60,0.9370704883526011
61,0.9540023963309938
62,0.9620819769565966
63,0.9624489228755682
64,0.9442608828772067
65,0.9637947053706284
66,0.950532891971596
67,0.9706422853286413
68,0.9580243343757461
69,0.9532585347003808
70,0.9571356748823735
71,0.9498770568805225
72,0.9309033543425178
73,0.9661074870611017
74,0.9453690245599983
75,0.9619921020361184
76,0.9642740547876056
77,0.963173611628463
78,0.9590210504562235
79,0.9701431325718001
80,0.964009945395067
81,0.9626246557755642
82,0.9684303151310898
83,0.9677738762479084
84,0.9687652092578951
85,0.9522806365018239
86,0.9158741961845921
87,0.9591274095569822
88,0.968159325914214
89,0.9671390586093442
90,0.9603852424746393
91,0.9616684808200606
92,0.9700937688966073
93,0.9642605234354168
94,0.9357530737857623
95,0.9587020478289533
96,0.9536103395738897
97,0.9565088333938633
98,0.9523580598001504
99,0.9364280620886302
100,0.9684669494992338
