gene,cluster,membership
SCO1,C2,0.9911395807914383
ALDH1L1,C2,0.949527347582579
ARL6IP5,C3,0.9971122146129422
DYSF,C3,0.9999854055792428
PIAS2,C4,0.9500673407879922
DCTN3,C1,0.9996260671789989
ATP5PD,C2,0.9999924671983602
FLOT1,C1,0.9841791001987301
ATP5MG,C2,0.9999128487885248
GLRX3,C3,0.8173126791458409
SNCG,C4,0.5179850043794706
DDAH1,C1,0.8130462775969898
TPPP,C2,0.5831374722151231
BAIAP3,C2,0.9997505259685838
TOMM70,C2,0.9561802836763368
UFL1,C4,0.9782213914917824
TMEM63A,C3,0.999537180832255
PLPBP,C1,0.999969472924988
ERLIN2,C4,0.998350051101364
ENDOD1,C1,0.4945874149351955
SEC31A,C3,0.9979978995449391
NDUFB6,C2,0.9999215662267
MFN2,C3,0.6481874901505706
NDUFA3,C2,0.9991189256375449
NDUFB4,C2,0.9993862915887198
NDUFB8,C2,0.985194071018279
NDUFA7,C2,0.9904109889588826
RTN3,C3,0.987311348108366
LETM1,C2,0.9999857073624059
STBD1,C3,0.9708935202551999
ZRANB2,C1,0.9992649175066524
EPM2A,C4,0.4275133613603913
VAPB,C4,0.9851840439941262
NDUFC2,C2,0.9977835349316257
NDUFA10,C2,0.8419336984783269
PGLS,C2,0.7350743333609442
TACC2,C3,0.8771434372909662
LYPLA2,C3,0.9750705496366683
IPO7,C3,0.8995667799525335
ARIH2,C4,0.9997754520588609
PGM3,C1,0.9802483619822541
SVIL,C4,0.6103019151927125
AHSA1,C3,0.9494368127029255
H6PD,C1,0.998923794192054
MPC2,C2,0.9994303931578721
ETHE1,C2,0.9999858167171736
ACSL3,C3,0.9942290817249717
ASMTL,C4,0.8893525579790476
CDS2,C3,0.9710480897179301
SNAP29,C3,0.7391660791310226
OXSR1,C1,0.9987769695555673
LSM8,C4,0.8166799222199302
AP2A1,C3,0.9997829902053355
CAVIN2,C2,0.5315046155807256
BAG2,C1,0.6832019225048935
BAG3,C4,0.9659993882739831
MLYCD,C2,0.9999943347434492
AIFM1,C2,0.9999967746015501
EML2,C1,0.8087620786154208
BPNT1,C1,0.8007423778611801
DDAH2,C3,0.9996714914576992
ABHD16A,C3,0.8752520232671983
TXNDC12,C3,0.9562301503465827
NUDT3,C2,0.4748753486084716
NDUFB10,C2,0.9995141991750962
CLPTM1,C3,0.999859868338052
MOCS2,C1,0.9916888708683408
TOMM40,C2,0.969342443035796
PEX11B,C3,0.6156461503217961
CYB5A,C1,0.9017594288259085
ADH1B,C1,0.9939218520658031
LDHA,C1,0.8635643317501844
ALDH1A1,C1,0.738209632560503
GLUD1,C2,0.9978761140121295
CYB5R3,C3,0.9999591952217075
GSR,C3,0.9675208090335409
MT-CO1,C4,0.6229841610735771
MT-CO2,C2,0.9987563992231502
MT-CO3,C2,0.8386968064223655
SOD1,C1,0.9990904871289318
CP,C1,0.9929863126589773
F13A1,C3,0.997838999965468
HPRT1,C3,0.9475178200312501
GOT2,C2,0.9999999044638176
PGK1,C1,0.9997576461841914
AK1,C1,0.9622278644630077
HP,C1,0.999438619025891
CFB,C1,0.9944510534330815
MT-ATP6,C3,0.6559088665142802
CA2,C1,0.9979490141274798
ASS1,C2,0.8190333079898661
SERPINA1,C1,0.9509785392229421
SERPINA3,C1,0.9942048318095368
AGT,C1,0.734981555265815
A2M,C1,0.9390905164142735
C3,C1,0.9933843473973296
CST3,C3,0.5010870156794109
CSTA,C1,0.8846081137196775
JCHAIN,C1,0.761280169515863
IGKV3-20,C1,0.9697308644330774
IGHV3-7,C1,0.9863376398740027
IGKC,C1,0.9986305003946437
IGHG1,C1,0.9943265111978786
IGHG2,C1,0.9649690024770315
IGHG3,C1,0.5112414325909946
IGHM,C1,0.9682655179535946
IGHA1,C1,0.957654231614685
HLA-B,C4,0.9989979352196813
HLA-DRB1,C1,0.6670497430084796
MB,C3,0.9385531945219159
COL1A1,C4,0.9990197707974273
COL3A1,C4,0.9997921385933175
COL4A1,C4,0.9988341152618525
CRYAB,C3,0.9997373960380178
KRT14,C1,0.8411198946300905
LMNA,C4,0.9667352997882707
TNNC2,C4,0.9999893571937255
APOE,C1,0.7581382815431386
APOC2,C1,0.9527102596275571
LRG1,C1,0.9675766565244827
FN1,C2,0.9478488135447631
RBP4,C1,0.9803278079282378
ORM1,C1,0.9996005504446013
TTR,C1,0.997796613142996
ALB,C1,0.7912242575153107
TFRC,C3,0.9392970512389267
TF,C1,0.9959976556694862
FTL,C3,0.5511557024554962
FTH1,C1,0.8228238430268812
MT2A,C1,0.9507387049295964
MT-ND1,C2,0.9818031219531707
MT-ND2,C2,0.9468055056222057
MT-ND3,C2,0.9993290682550223
MT-ND4,C2,0.9881790614107494
MT-ND5,C2,0.7471027729208678
MT-ATP8,C2,0.9998553663349814
CAT,C1,0.9991887829282186
ALDOA,C1,0.9990670910487911
CSTB,C1,0.8894617747283794
ANXA1,C3,0.9984764899061662
SOD2,C2,0.9784163779945506
KRT1,C1,0.7580141868816803
VWF,C4,0.9608698672686466
GAPDH,C1,0.7706854723524954
HLA-A,C1,0.7296324726192767
CAPNS1,C3,0.7830220369187103
HSPB1,C3,0.9983022204987058
RPN1,C3,0.8507955393311885
RPN2,C3,0.6156113939313628
GNAI2,C3,0.9996529119525817
ATP1A1,C3,0.9716537796279705
ATP1B1,C3,0.9675845864715851
APOD,C1,0.9774802980601663
ALDH2,C1,0.8406368843686612
S100A8,C1,0.6994401681102747
SLC25A5,C2,0.9999993383913803
SERPING1,C1,0.9931785326597447
PCCA,C2,0.9999332457049587
PCCB,C2,0.999995983841935
EIF2S1,C4,0.9437169123794463
RPLP1,C4,0.9651869216995002
RPLP2,C4,0.9998739320885024
RPLP0,C4,0.999814124376538
FABP3,C2,0.9229391085893547
CLEC3B,C1,0.9740319475124001
SSB,C4,0.7030365932060839
ITGB1,C3,0.8305662608403791
KRT18,C4,0.980662657388892
KRT8,C1,0.7291432653243216
MYL1,C4,0.9999993341423896
GSN,C3,0.9995699812190154
PTMA,C3,0.984835245997826
ATP5F1B,C2,0.999999586585404
S100A9,C1,0.6304505853826355
S100A6,C3,0.9999070576540561
EIF4E,C1,0.6846590611861068
CKM,C1,0.7042789358916178
ENO1,C1,0.9385743823398592
PYGL,C4,0.6847552390180192
GPI,C1,0.9964586003681015
NPM1,C4,0.9746439481966872
TPM3,C4,0.9999980060859528
EPHX1,C3,0.99266641256274
DBI,C1,0.8145405353253632
LDHB,C3,0.9723177183190159
GPX1,C1,0.9183264959760853
P4HB,C3,0.9165489891287576
H1-0,C4,0.9492967137526573
CTSD,C1,0.9454016229160581
ANXA2,C3,0.9999919715915089
CAPN1,C3,0.8752266748824156
TUBB,C3,0.9996835850804835
CA3,C3,0.9991257675452135
DCN,C1,0.6458102874410317
