gene,pathway,database,cluster
CAST,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PTMS,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
CSRP1,Unmapped,NA,C3
FLNA,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
GART,GOBP_CEREBRAL_CORTEX_DEVELOPMENT,GO:BP,C3
PAICS,Unmapped,NA,C3
SCP2,GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO:BP,C3
PPIB,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
HRC,Unmapped,NA,C3
WARS1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
RPS3,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
AHCY,Unmapped,NA,C3
EIF4B,Unmapped,NA,C3
EEF1B2,Unmapped,NA,C3
DNAJB2,Unmapped,NA,C3
PSMA3,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
MSN,GOBP_CELL_CELL_RECOGNITION,GO:BP,C3
S100A4,Unmapped,NA,C3
TARS1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C3
VARS1,Unmapped,NA,C3
EEF1G,Unmapped,NA,C3
PLN,Unmapped,NA,C3
YWHAQ,Unmapped,NA,C3
CALR,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
MAP4,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
CANX,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
PSMB4,Unmapped,NA,C3
PSMB5,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
MAPK1,GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,GO:BP,C3
RBL1,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
TPP2,Unmapped,NA,C3
EEF1D,GOBP_CELLULAR_RESPONSE_TO_HEAT,GO:BP,C3
MARCKS,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
PRDX5,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
CMPK1,Unmapped,NA,C3
