gene,pathway,database,cluster
CNPY2,Unmapped,NA,C3
PADI2,Unmapped,NA,C3
SUGT1,Unmapped,NA,C3
MEMO1,Unmapped,NA,C3
LUC7L2,Unmapped,NA,C3
DHRS7,Unmapped,NA,C3
MOB4,Unmapped,NA,C3
SBDS,Unmapped,NA,C3
STRAP,Unmapped,NA,C3
SAMHD1,Unmapped,NA,C3
HBS1L,Unmapped,NA,C3
TLN1,Unmapped,NA,C3
HYOU1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
ARIH1,Unmapped,NA,C3
UCHL5,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
SRPRB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C3
HEBP2,Unmapped,NA,C3
CLIC4,Unmapped,NA,C3
