gene,pathway,database,cluster
COX7A2L,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFAB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
OPLAH,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
MGST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
RGS12,Unmapped,NA,C3
UQCRQ,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MYL12B,Unmapped,NA,C3
UQCR11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
BCAT2,Unmapped,NA,C3
NDUFS4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
AKR7A2,Unmapped,NA,C3
TIMM44,Unmapped,NA,C3
CHMP2A,Unmapped,NA,C3
NDUFB5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SGTA,Unmapped,NA,C3
SLC25A20,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
IDH3B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFS5,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
TIMM8A,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
OPA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PFKFB2,Unmapped,NA,C3
NOL3,Unmapped,NA,C3
CLASP2,Unmapped,NA,C3
CLUH,Unmapped,NA,C3
COQ9,HALLMARK_ADIPOGENESIS,Hallmark,C3
NDUFS7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFS2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NIPSNAP2,Unmapped,NA,C3
NDUFS6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MTX2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PMPCB,Unmapped,NA,C3
NDUFS3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ECI2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
LYPLA1,Unmapped,NA,C3
SLC25A12,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SCO1,Unmapped,NA,C3
ALDH1L1,Unmapped,NA,C3
ATP5PD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ATP5MG,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
TPPP,Unmapped,NA,C3
BAIAP3,Unmapped,NA,C3
TOMM70,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
LETM1,Unmapped,NA,C3
NDUFC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA10,Unmapped,NA,C3
PGLS,Unmapped,NA,C3
MPC2,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
ETHE1,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
CAVIN2,HALLMARK_ADIPOGENESIS,Hallmark,C3
MLYCD,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
AIFM1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFB10,Unmapped,NA,C3
TOMM40,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GO:CC,C3
GLUD1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
MT-CO2,Unmapped,NA,C3
MT-CO3,Unmapped,NA,C3
GOT2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ASS1,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
FN1,Unmapped,NA,C3
MT-ND1,Unmapped,NA,C3
MT-ND2,Unmapped,NA,C3
MT-ND3,Unmapped,NA,C3
MT-ND4,Unmapped,NA,C3
MT-ND5,Unmapped,NA,C3
MT-ATP8,Unmapped,NA,C3
SOD2,GOCC_NUCLEOID,GO:CC,C3
SLC25A5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PCCA,Unmapped,NA,C3
PCCB,Unmapped,NA,C3
FABP3,Unmapped,NA,C3
ATP5F1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
UQCRH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
SOD3,Unmapped,NA,C3
CTSG,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
PDHA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CYC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
ACAA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
