gene,cluster,membership
MMP24OS,C3,0.9999677999052509
ESYT2,C1,0.9932961448455553
ILVBL,C2,0.6825007241715059
FSD2,C2,0.9894543891728375
TARS3,C3,0.9998521383770373
VWA8,C3,0.9997885321848766
CARNS1,C1,0.9372188236738577
MAP1LC3B2,C2,0.9999457337682869
PGP,C3,0.7661115181055596
DHRS7C,C4,0.5772052634493917
SMTNL1,C4,0.8920819942189818
NUDT19,C3,0.9996558065434336
NACA,C1,0.999993646900853
SLC35A4,C2,0.9021623252759136
PDLIM1,C2,0.9270105712156368
MYO1C,C1,0.815746477144025
FXYD1,C1,0.6963069149612189
STXBP3,C2,0.7104911886729084
NDUFS8,C3,0.9999698387500591
PSMD11,C1,0.9597252437511093
PSMD12,C1,0.9943472351094423
PSMD9,C1,0.6414789696220016
PGRMC1,C1,0.5451106418968307
CLIC1,C1,0.9178106144842126
EIF3F,C1,0.9779464279056129
PDHX,C3,0.9999975154281806
DCTN6,C1,0.9998161274262719
IPO5,C1,0.9307115111145179
EEF2K,C4,0.4888314888894127
EML1,C4,0.9759160053874597
DNM1L,C3,0.9785056015714103
RTCA,C3,0.8483333187363152
NDUFA4,C3,0.999532309018085
PSMD14,C1,0.9978449572870107
BIN1,C1,0.9991637432421113
KPNA3,C1,0.9980011212530401
DDX3X,C2,0.9972210303737106
KPNA4,C4,0.8511959185868581
CES2,C3,0.7261684654440183
FBP2,C4,0.972098905455941
PDXK,C4,0.9712125313723752
SDHD,C3,0.9685543001031106
COX7A2L,C3,0.9974109774429698
GAPDHS,C4,0.7996559401108312
HSPB6,C1,0.6387006253821786
NDUFAB1,C3,0.9999315664601025
IMPA2,C4,0.9996157896378688
PDCD5,C4,0.8488538227730131
PRMT5,C1,0.9719694252013588
PSMA7,C1,0.7963104106117
OPLAH,C3,0.9592282754830853
MGST3,C3,0.9148775768787477
RGS12,C3,0.5044559236090488
HAT1,C2,0.7595573356884563
UQCRQ,C3,0.9999977895671596
MYL12B,C3,0.5537241932673925
UQCR11,C3,0.9999459748609982
CASQ2,C1,0.997621690769163
HGS,C1,0.6071908499859275
HNRNPDL,C2,0.5838895182919231
XPO1,C4,0.9975221455264695
ATP2A1,C4,0.9985986146365354
SYNJ2,C4,0.9967927252533823
SYNM,C2,0.9958666542814847
ARPC1B,C1,0.9948616196025758
ARPC2,C4,0.8850744668520981
PGRMC2,C1,0.963011959563907
PFDN6,C4,0.6268262050263002
NDUFA1,C3,0.9514344109523108
SURF4,C1,0.9984269181146449
MAPK13,C4,0.9984499226825972
TCAP,C2,0.9991693029722138
PMM2,C2,0.39263549171197065
EIF3D,C2,0.9990653309024059
EIF3H,C1,0.7705119755731714
BCAT2,C3,0.9985863406761643
STX7,C1,0.9999257207780945
SLC16A3,C4,0.563751076104246
YKT6,C4,0.5989850472519724
ARPC5,C4,0.5427819978928333
TAPBP,C2,0.9077947404378186
DHX15,C4,0.61651429464629
CYB5B,C4,0.554428813286516
NDUFS4,C3,0.82668897226264
DYNC1LI2,C1,0.9107590958402895
PSMD3,C1,0.5922044236089627
RASA4,C2,0.9795843670576021
HNRNPR,C4,0.4636934286221239
TXNL1,C1,0.7308069535634326
TPD52L2,C4,0.8753758471649052
ERI3,C1,0.740601587946179
AKR7A2,C3,0.9997438066001766
LAT,C4,0.9918362694711236
DENR,C2,0.9548779901138278
DNPH1,C4,0.800419108229446
TIMM44,C3,0.9999978298444161
TRAPPC3,C1,0.9745122905708526
CHMP2A,C3,0.5083767848657652
NDUFB5,C3,0.998540948094489
NDUFB3,C3,0.9997104424204946
NDUFA2,C3,0.9981485984099103
BUB3,C4,0.542203507530956
ACTN4,C2,0.9999834030481952
GSTZ1,C1,0.9200634810745643
PRKAB2,C4,0.7903945043859084
AP1G1,C1,0.9395795308346413
SYNGR2,C1,0.5246582826269259
SGTA,C3,0.7533272320164822
ENSA,C2,0.8292500667528032
SLC25A20,C3,0.9999979222132694
NARS1,C1,0.9899915938826278
LANCL1,C4,0.4587390884312359
SLC37A4,C4,0.9653301516392391
IDH3B,C3,0.9999366174700621
CALU,C1,0.974610644613078
AHCYL1,C1,0.9723712292820117
NDUFS5,C3,0.9907718360240547
TIMM8A,C3,0.8793809450802342
PPP1R12B,C1,0.9626938699951749
PRPSAP2,C4,0.5084779057712658
