PC1,PC2,gene,cluster,membership
0.020156320679218073,0.06002728183761277,MMP24OS,C3,0.9999677999052509
-0.018897359841359485,-0.009140383338589958,ESYT2,C1,0.9932961448455553
0.004195838741877003,-2.671426710328846e-4,ILVBL,C2,0.6825007241715059
0.014563853621661507,5.796708357818496e-4,FSD2,C2,0.9894543891728375
2.345584721242001e-4,0.035107257681643175,TARS3,C3,0.9998521383770373
0.011636837504191429,0.035134932162568695,VWA8,C3,0.9997885321848766
-0.01281508751515125,-0.003016669169852716,CARNS1,C1,0.9372188236738577
0.01893196262110741,-0.008777619736560672,MAP1LC3B2,C2,0.9999457337682869
-0.006775378142839005,0.005822829071463151,PGP,C3,0.7661115181055596
-0.016571573496946584,-0.0037726566952019183,DHRS7C,C4,0.5772052634493917
0.019131977401163243,-0.0249726009382385,SMTNL1,C4,0.8920819942189818
-3.4518791985282396e-4,0.04375611819580097,NUDT19,C3,0.9996558065434336
-0.010832739476360945,-0.016148081600733274,NACA,C1,0.999993646900853
0.01373510495015738,0.003739269735195647,SLC35A4,C2,0.9021623252759136
0.021191601508104736,0.01696171840396233,PDLIM1,C2,0.9270105712156368
-0.014131700263990975,0.006950186183500802,MYO1C,C1,0.815746477144025
-0.009227632210919968,-0.0032451117709993856,FXYD1,C1,0.6963069149612189
0.007800098893596386,-0.01633379588850113,STXBP3,C2,0.7104911886729084
0.010003246312693736,0.05016028798976111,NDUFS8,C3,0.9999698387500591
-0.004872912506944421,-0.013613801317440015,PSMD11,C1,0.9597252437511093
-0.011846077435381245,-0.017937036154375766,PSMD12,C1,0.9943472351094423
-2.2147548967393142e-4,-0.012645269950105916,PSMD9,C1,0.6414789696220016
-0.026121204823531974,-0.02961168871251939,PGRMC1,C1,0.5451106418968307
-0.004625810209790968,-0.012419535063057796,CLIC1,C1,0.9178106144842126
-0.007105652484332447,-0.00791213139838962,EIF3F,C1,0.9779464279056129
-0.0017649744560116374,0.02153514876848077,PDHX,C3,0.9999975154281806
-0.016092118890441362,-0.01963022500264413,DCTN6,C1,0.9998161274262719
-0.009269897990822501,-0.014679184185473777,IPO5,C1,0.9307115111145179
-0.0014291697572171756,-0.005111057465189387,EEF2K,NA,0
0.002385983035903959,5.71609168106726e-4,EML1,C4,0.9759160053874597
-0.0064802164033687095,0.015333858750966187,DNM1L,C3,0.9785056015714103
-0.005660723795751721,0.011272454445179462,RTCA,C3,0.8483333187363152
-0.0052386939064127626,0.02233350751875005,NDUFA4,C3,0.999532309018085
-0.006829344969607098,-0.012721499672798807,PSMD14,C1,0.9978449572870107
-0.007850449796096483,-0.023981630098780717,BIN1,C1,0.9991637432421113
-0.0029296246451652984,-0.02831033380742569,KPNA3,C1,0.9980011212530401
0.015576579134081553,-0.015280555628594735,DDX3X,C2,0.9972210303737106
-0.003614776553698901,-0.011080442018814788,KPNA4,C4,0.8511959185868581
0.0013986071749753275,0.012994511220727464,CES2,C3,0.7261684654440183
-0.005402713136840651,0.008677349732761097,FBP2,C4,0.972098905455941
-0.0035046309448888567,0.0027818889956810512,PDXK,C4,0.9712125313723752
-0.016507919682883853,0.019518046542084683,SDHD,C3,0.9685543001031106
0.02181288625815769,0.042350872509158255,COX7A2L,C3,0.9974109774429698
0.009451313757373089,0.028675392714276864,GAPDHS,C4,0.7996559401108312
-0.015786372858225085,0.014549450393744518,HSPB6,C1,0.6387006253821786
-0.001120694367559039,0.039608459796335684,NDUFAB1,C3,0.9999315664601025
0.005309909858651493,0.004118946591388726,IMPA2,C4,0.9996157896378688
-0.007294134282083011,0.0016091055924807218,PDCD5,C4,0.8488538227730131
-0.01390975164011348,-0.016822542737941818,PRMT5,C1,0.9719694252013588
-0.004252950338389189,-0.017883388727584732,PSMA7,C1,0.7963104106117
-0.001094448696680163,0.020615425265003484,OPLAH,C3,0.9592282754830853
0.004942159662732717,0.020154483799516145,MGST3,C3,0.9148775768787477
-0.0020018671635682462,0.010255771594973843,RGS12,C3,0.5044559236090488
0.008336067002317135,-0.02967158399776069,HAT1,C2,0.7595573356884563
0.005175891027300087,0.03728621519961324,UQCRQ,C3,0.9999977895671596
-0.0011088594671081337,0.01391221312000143,MYL12B,C3,0.5537241932673925
0.00817949423942743,0.05311380692518497,UQCR11,C3,0.9999459748609982
-0.009135827896355232,-0.011014304250494343,CASQ2,C1,0.997621690769163
0.006395690642237428,-0.031909535482014716,HGS,C1,0.6071908499859275
0.005528627436591789,-0.01105358923999076,HNRNPDL,C2,0.5838895182919231
-0.004714450505721952,-0.003999834145311784,XPO1,C4,0.9975221455264695
0.0010906155469660994,-0.03251967055000148,ATP2A1,C4,0.9985986146365354
0.009475513255562508,-0.011839112983871398,SYNJ2,C4,0.9967927252533823
0.04736637573629264,-0.02756705129486965,SYNM,C2,0.9958666542814847
-0.019504910257909257,-0.0014610282814109283,ARPC1B,C1,0.9948616196025758
0.002346867013238325,0.00485708001712683,ARPC2,C4,0.8850744668520981
-0.01730668324527842,0.0038151149552852867,PGRMC2,C1,0.963011959563907
0.0035538434434906835,-0.0025405583049439126,PFDN6,C4,0.6268262050263002
0.030273577484767677,0.062655265644544475,NDUFA1,C3,0.9514344109523108
-0.0162786300724379,-0.027374882437797225,SURF4,C1,0.9984269181146449
-0.002501913673164913,-0.01673104658944002,MAPK13,C4,0.9984499226825972
0.04442526060945718,-0.016630544499768054,TCAP,C2,0.9991693029722138
0.006436830107048145,-0.008405053017979275,PMM2,NA,0
0.01355852077511814,-0.008843048126782493,EIF3D,C2,0.9990653309024059
-0.007432258339638625,-0.024324220806823456,EIF3H,C1,0.7705119755731714
0.007675029683061521,0.02884320664043208,BCAT2,C3,0.9985863406761643
-0.0174374536964777,-0.023899106177426976,STX7,C1,0.9999257207780945
