gene,pathway,database,cluster,theme
SMTNL1,regulation of tube size,GO:BP,C1,Other
KPNA4,cell-cell signaling,GO:BP,C1,Intracellular Transport & Signaling
FBP2,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
PDXK,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
GAPDHS,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
IMPA2,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
XPO1,protein catabolic process,GO:BP,C1,Other
MAPK13,response to external stimulus,GO:BP,C1,Other
SLC16A3,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
YKT6,HALLMARK_PROTEIN_SECRETION,Hallmark,C1,Other
DHX15,response to external stimulus,GO:BP,C1,Other
CYB5B,cellular response to chemical stimulus,GO:BP,C1,Other
LAT,protein modification process,GO:BP,C1,Other
SLC37A4,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
TBC1D4,cellular response to chemical stimulus,GO:BP,C1,Other
SNX2,HALLMARK_PROTEIN_SECRETION,Hallmark,C1,Other
USO1,Golgi organization,GO:BP,C1,Intracellular Transport & Signaling
VPS4B,HALLMARK_PROTEIN_SECRETION,Hallmark,C1,Other
SH3BGRL,protein catabolic process,GO:BP,C1,Other
PSMD10,protein modification process,GO:BP,C1,Other
IDH1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
FLOT1,response to external stimulus,GO:BP,C1,Other
DDAH1,cellular response to chemical stimulus,GO:BP,C1,Other
PGM3,protein modification process,GO:BP,C1,Other
OXSR1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1,Metabolic & Redox Regulation
BAG2,protein modification process,GO:BP,C1,Other
BPNT1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
MOCS2,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
CYB5A,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
LDHA,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
ALDH1A1,aldehyde metabolic process,GO:BP,C1,Metabolic & Redox Regulation
SOD1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
CP,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
PGK1,HALLMARK_GLYCOLYSIS,Hallmark,C1,Metabolic & Redox Regulation
HP,response to external stimulus,GO:BP,C1,Other
CFB,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
CA2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
SERPINA1,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
SERPINA3,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1,Other
AGT,response to external stimulus,GO:BP,C1,Other
A2M,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
C3,HALLMARK_COMPLEMENT,Hallmark,C1,Immune & Complement
CSTA,protein modification process,GO:BP,C1,Other
JCHAIN,response to external stimulus,GO:BP,C1,Other
IGKV3-20,response to external stimulus,GO:BP,C1,Other
IGHV3-7,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
IGKC,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
IGHG1,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
IGHG2,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
IGHG3,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
IGHM,response to external stimulus,GO:BP,C1,Other
IGHA1,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1,Immune & Complement
HLA-DRB1,inflammatory response to antigenic stimulus,GO:BP,C1,Immune & Complement
APOE,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
APOC2,HALLMARK_COAGULATION,Hallmark,C1,Immune & Complement
LRG1,response to external stimulus,GO:BP,C1,Other
RBP4,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1,Metabolic & Redox Regulation
