gene,trait,cor,ci_lo,ci_hi,pval,padj,stars,module
A2M,Age,-0.0355638553399486,-0.39082560049636855,0.32891967110432424,0.8519954174107683,0.9403518546078622,,Red
IGLC3,Age,0.10647286619543896,-0.2639200378785488,0.44949977340212505,0.5754850917926673,0.7801458184332619,,Red
CAT,Age,0.14672945691065323,-0.22545794793686155,0.4815432865859309,0.43909466719129464,0.7153449167828029,,Red
PAK1,Age,0.4589207008856746,0.11819290227763016,0.7029651735940261,0.010745395315771122,0.08409439812342617,,Red
DEFA3,Age,0.39776645936854027,0.0437695443616307,0.6630225524504714,0.029495417926610795,0.16591172583718572,,Red
CDC34,Age,-0.0025897964761910793,-0.36252077849827374,0.35801346125786,0.9891633440727882,0.9979048393511973,,Red
PPIA,Age,0.6620935130348439,0.39637155709435806,0.8254633756800155,6.743829346285791e-5,0.0016833134653465446,**,Red
HP,Age,0.44816071805046204,0.10481472517321917,0.6960471951915738,0.013002836920104465,0.09362042582475215,,Red
SYNJ2,Age,0.0030133448276670072,-0.35764414175536163,0.3628886099603268,0.9873911924811614,0.9979048393511973,,Red
BLVRB,Age,0.30013683211800196,-0.0674228247808528,0.5959643878072656,0.1070780236914579,0.3903833157720591,,Red
KLHDC8B,Age,-0.04647356685508129,-0.400044840367708,0.31913899865526185,0.8073379166648325,0.9139674528281122,,Red
SERPINF2,Age,-0.1252534962943476,-0.46455948169178063,0.24612197545661058,0.5095776153654359,0.7501394908800083,,Red
CFH,Age,0.5458145444680713,0.230961665777535,0.7571898227914782,0.0018093757186682046,0.015508934731441753,*,Red
TF,Age,0.30202965582657926,-0.06535048280507691,0.5973049397102959,0.10477524611634764,0.3903833157720591,,Red
PAFAH2,Age,0.0041860861319098115,-0.3566209629558035,0.3639064947936467,0.9824847050960341,0.9979048393511973,,Red
LMOD2,Age,-0.7301861424762072,-0.8633416166360842,-0.5019658641079876,4.648771600357368e-6,2.789262960214421e-4,***,Yellow
NDRG2,Age,-0.40369709538423715,-0.6669634017858309,-0.050818964646957634,0.026945622558860023,0.15673559821043073,,Yellow
PDLIM5,Age,-0.5675876782000058,-0.7703353590038603,-0.26060890345572124,0.0010707255374112204,0.010707255374112204,*,Yellow
VIM,Age,-0.615450904332369,-0.7986393958998504,-0.3278823957655467,2.9474618882152794e-4,0.0035369542658583355,**,Yellow
RPL27,Age,-0.7748294414664384,-0.8873870525608275,-0.5750969118392193,5.00552377919317e-7,7.9021052733422e-5,***,Yellow
LMNA,Age,-0.4105546518421583,-0.6715018917950921,-0.0590142371808073,0.024224473110907602,0.1503587986194265,,Yellow
MYOM3,Age,-0.6312033897723571,-0.8077807268999383,-0.3506798775666959,1.8395104450091637e-4,0.0027592656675137456,**,Yellow
MYOM2,Age,-0.6170821852901855,-0.7995899852680916,-0.3302277916961557,2.8102937940965373e-4,0.0035369542658583355,**,Yellow
XPNPEP1,Age,-0.40358195818636383,-0.6668870341960665,-0.05068177188353631,0.026993353025129736,0.15673559821043073,,Yellow
DES,Age,-0.6740128879070878,-0.832201794936251,-0.414361436596699,4.438540714520167e-5,0.00159787465722726,**,Yellow
TTN,Age,-0.7110252778484576,-0.8528324842995378,-0.47154805117963927,1.0641680892538675e-5,4.788756401642404e-4,***,Yellow
NT5C1A,Age,-0.4348112994854523,-0.6873999229804845,-0.08838797639170144,0.016341584748634428,0.11313404825977681,,Yellow
TMOD4,Age,-0.5078261408039617,-0.7338368768042369,-0.1805980832150622,0.0041728013136806,0.03414110165738673,*,Yellow
CORO6,Age,-0.6526612936515749,-0.820097818718996,-0.3822787073327563,9.270879331870547e-5,0.0018541758663741094,**,Yellow
SYNPO2L,Age,-0.6683316186094849,-0.8289958018316562,-0.4057613302112556,5.430443747963047e-5,0.0016291331243889142,**,Yellow
NACA,Age,-0.6105434075680458,-0.7957741492460839,-0.3208478854791964,3.3964834410410704e-4,0.0038210438711712043,**,Blue
EIF2B1,Age,-0.5944599453539714,-0.7863253170358565,-0.2980153699393413,5.320364141899712e-4,0.005633326738482048,**,Blue
MOB4,Age,-0.202869173674526,-0.5247832875165749,0.16981112265761092,0.2822964448548239,0.6049209532603369,,Blue
S100A16,Age,-0.4210715918766136,-0.6784244171806212,-0.07167547717345125,0.020491672232431424,0.1366111482162095,,Blue
KPNB1,Age,-0.6590528557786915,-0.8237369039325193,-0.3918147374098573,7.481393179317975e-5,0.0016833134653465446,**,Blue
ARHGAP1,Age,-0.6357931135070402,-0.8104283094599208,-0.35738541031516413,1.595611474120869e-4,0.002611000594015967,**,Blue
SPAG9,Age,-0.6233245110664349,-0.8032191228796538,-0.33923561012514236,2.3360799034372759e-4,0.0032345721739900743,**,Blue
CCT6A,Age,0.16446920077729746,-0.20813253892218145,0.4953852655619432,0.3851244342529204,0.6796214813861629,,Blue
PSMD7,Age,-0.7644302178385581,-0.8818400819430399,-0.5577717012148005,8.780116970380222e-7,7.9021052733422e-5,***,Blue
HRC,Age,-0.5585225407081379,-0.7648831394297829,-0.2481946734265247,0.001337904864523093,0.012674888190218775,*,Blue
PSMD14,Age,-0.6363431439710076,-0.8107451166395216,-0.35819092899581606,1.5684025199409133e-4,0.002611000594015967,**,Blue
S100A6,Age,-0.32567365600013115,-0.6139124152796498,0.0391942336695444,0.07904922884674605,0.3387824093431973,,Blue
TNPO1,Age,-0.3705761266991238,-0.6447646443293913,-0.011894967601955405,0.043810332264867274,0.21313134615340837,,Blue
MAPT,Age,-0.5461580177545013,-0.7573985326729495,-0.23142485854666717,0.001794951047650896,0.015508934731441753,*,Blue
GCN1,Age,-0.2861674954675011,-0.5860196502733515,0.08261958685789139,0.12525939053103846,0.4175313017701282,,Blue
A2M,Baseline VL,-0.0987257887329025,-0.443230258159245,0.27118904884151673,0.6037346980733689,0.7952554764584101,,Red
IGLC3,Baseline VL,-0.18110320785420359,-0.5082135724722354,0.19167181724355964,0.33819124256576993,0.6420101398241834,,Red
CAT,Baseline VL,-0.14128759148762648,-0.4772633594280066,0.23072594407351335,0.4564353492882752,0.7172266113012962,,Red
PAK1,Baseline VL,0.17345076487732206,-0.19927067755225686,0.5023299078175205,0.3593337251267129,0.6668048507506013,,Red
DEFA3,Baseline VL,-0.03455837448441332,-0.3899723174399038,0.32981717708174096,0.8561360913372186,0.9403518546078622,,Red
CDC34,Baseline VL,-0.2541313105633492,-0.5628668687817799,0.1168348030012386,0.1753665040682678,0.4932182926920031,,Red
PPIA,Baseline VL,0.008140629492924819,-0.35316435998598306,0.3673325325300138,0.9659454178608458,0.9935438583711556,,Red
HP,Baseline VL,-0.2614300486771707,-0.5681846830366886,0.10911631600857598,0.16287276777782556,0.47285642258078386,,Red
SYNJ2,Baseline VL,-0.24147064337750457,-0.5535813646263933,0.13011813350203322,0.19861312203911669,0.5257406171623676,,Red
BLVRB,Baseline VL,-0.11507757373671997,-0.4564239574581103,0.2557967007491489,0.544820001775713,0.7801458184332619,,Red
KLHDC8B,Baseline VL,-0.1491367749251635,-0.4834315170223738,0.22312058034020313,0.43153943226152236,0.7126339248355416,,Red
SERPINF2,Baseline VL,-0.194023793896573,-0.5180788870995222,0.17873946020792758,0.3042509339414353,0.6125277841955334,,Red
CFH,Baseline VL,-0.0775977406924665,-0.42595882526574697,0.2908011412061056,0.6835849311398053,0.8466681660855591,,Red
TF,Baseline VL,-0.2423713884369138,-0.5542445573076163,0.1291774759398848,0.19689222854488386,0.5257406171623676,,Red
PAFAH2,Baseline VL,-0.10820599387007518,-0.45089773944775063,0.26228808085941,0.5692471070161583,0.7801458184332619,,Red
LMOD2,Baseline VL,0.2131332133709827,-0.1593735618982454,0.5325132282316514,0.25812739452373257,0.5855356061235923,,Yellow
NDRG2,Baseline VL,0.13464145295530475,-0.23713028926995997,0.47201458317405987,0.47809744908613117,0.7172266113012962,,Yellow
PDLIM5,Baseline VL,0.17377741437992414,-0.19894722851203409,0.5025816796587369,0.35841553820593475,0.6668048507506013,,Yellow
VIM,Baseline VL,0.22576493956288535,-0.1464129500570757,0.54195372746661,0.23030043821205512,0.5678640942215057,,Yellow
RPL27,Baseline VL,0.163185953701515,-0.2093937085932197,0.49438957949766654,0.3888945143487488,0.6796214813861629,,Yellow
LMNA,Baseline VL,0.09859382343185251,-0.27131250623798503,0.4431231692044561,0.6042209683083906,0.7952554764584101,,Yellow
MYOM3,Baseline VL,0.1435085437102166,-0.22857858282466767,0.47901202480469185,0.44931466002089804,0.7167734918870509,,Yellow
MYOM2,Baseline VL,0.3012405011188199,-0.06621486750485842,0.5967462382416184,0.1057307588248513,0.3903833157720591,,Yellow
XPNPEP1,Baseline VL,0.07719814039262426,-0.2911691107106027,0.4256297012057948,0.6851314146789438,0.8466681660855591,,Yellow
DES,Baseline VL,0.25469681039143266,-0.11623837862688866,0.5632798038322002,0.17437504006957666,0.4932182926920031,,Yellow
TTN,Baseline VL,0.2153052208651528,-0.1571541070772973,0.5341421854560181,0.25319242447679663,0.5855356061235923,,Yellow
NT5C1A,Baseline VL,0.07045267249686382,-0.29736422798415124,0.42005996271200197,0.7114208136317292,0.8652415300926436,,Yellow
TMOD4,Baseline VL,0.262364931545101,-0.10812442944334381,0.5688639867405194,0.16131955958091365,0.47285642258078386,,Yellow
CORO6,Baseline VL,0.16493175221241554,-0.20767764139147868,0.49574395143255023,0.38377069008710574,0.6796214813861629,,Yellow
SYNPO2L,Baseline VL,0.26573823965744103,-0.10453929359308571,0.5713116246954992,0.15580309148857818,0.46740927446573455,,Yellow
NACA,Baseline VL,0.13899041869593784,-0.23294319445169295,0.4754518781642091,0.46386303126589445,0.7172266113012962,,Blue
EIF2B1,Baseline VL,-0.19388617216943857,-0.5179742604732537,0.17887788931901322,0.30460075304543305,0.6125277841955334,,Blue
MOB4,Baseline VL,-0.3500322313219542,-0.6307590537002457,0.011714223232697439,0.057930419493971055,0.26068688772286974,,Blue
S100A16,Baseline VL,-0.035078332915215706,-0.3904136469337692,0.32935313729055826,0.8539943743486251,0.9403518546078622,,Blue
KPNB1,Baseline VL,0.2040499401806006,-0.16861463549879158,0.5256752441208805,0.2794446542793911,0.6049209532603369,,Blue
ARHGAP1,Baseline VL,0.012012519256181218,-0.3497704191136178,0.37067754545021864,0.9497651790752655,0.9881949840089467,,Blue
SPAG9,Baseline VL,-0.11304339814870101,-0.4547907852245512,0.2577218179383289,0.551999536805255,0.7801458184332619,,Blue
CCT6A,Baseline VL,-0.2965205897030731,-0.5933986688948085,0.07137323921433998,0.11158253484065336,0.3903833157720591,,Blue
PSMD7,Baseline VL,0.1346251973987634,-0.23714591391818465,0.47200171598817264,0.4781510742008641,0.7172266113012962,,Blue
HRC,Baseline VL,-0.009925323219063233,-0.3688755249618627,0.35160115072085324,0.9584853327228147,0.991536551092567,,Blue
PSMD14,Baseline VL,0.13893697117066137,-0.23299473646019073,0.4754096970647,0.4640366023397914,0.7172266113012962,,Blue
S100A6,Baseline VL,-0.0867237068246168,-0.4334502604401345,0.2823677815418062,0.6486188161064707,0.8260335536030408,,Blue
TNPO1,Baseline VL,-0.1530503240338208,-0.4864945664403242,0.21931159082370086,0.41941041206045016,0.7055502258960844,,Blue
MAPT,Baseline VL,0.06784511039146823,-0.29975077200072675,0.41789981460481757,0.7216729275152873,0.8718196439781994,,Blue
GCN1,Baseline VL,-0.06115644904518085,-0.41234065801749037,0.30585153507888446,0.74818385002468,0.8918747881088902,,Blue
A2M,Delta VL,0.3911849880358192,0.028809817497535847,0.6626810736076154,0.03587195812020693,0.1844843560467785,,Red
IGLC3,Delta VL,0.39865830152257875,0.03765431575167719,0.667617964105216,0.03218447555024352,0.17472667125964964,,Red
CAT,Delta VL,0.3656575647200775,-9.793630172752362e-4,0.6456377316112897,0.051097120158271545,0.2420389902233915,,Red
PAK1,Delta VL,-0.21465052964347725,-0.5387707675385488,0.16482178300014985,0.26349102275561653,0.5855356061235923,,Red
DEFA3,Delta VL,-0.09891693088314495,-0.4491396711933731,0.2776547353361576,0.609695865284781,0.7952554764584101,,Red
CDC34,Delta VL,0.24133734472369428,-0.13731395981045713,0.5584474995812414,0.20723117296315308,0.5328801590481079,,Red
PPIA,Delta VL,-0.10935854516415218,-0.4575263263958235,0.2678840674694412,0.5722729018238781,0.7801458184332619,,Red
HP,Delta VL,0.023720438391262127,-0.3457914379503422,0.38686285615519833,0.9027908950092205,0.9672759589384505,,Red
SYNJ2,Delta VL,0.2239032614205666,-0.15535078396205343,0.5456332810243523,0.24296190099871506,0.5817700559068056,,Red
BLVRB,Delta VL,-0.10920750127657111,-0.45740544860698984,0.2680259610259209,0.5728068276993757,0.7801458184332619,,Red
