uniprot_id,module_color,module_num,gene
A0A0U1RRL7,green,5,MMP24OS
A0FGR8,blue,2,ESYT2
A1L0T0,blue,2,ILVBL
A1L4K1,yellow,4,FSD2
A2RTX5,turquoise,1,TARS3
A3KMH1,turquoise,1,VWA8
A5YM72,blue,2,CARNS1
A6NCE7,black,7,MAP1LC3B2
A6NDG6,grey,0,PGP
A6NNS2,grey,0,DHRS7C
A8MU46,brown,3,SMTNL1
A8MXV4,pink,8,NUDT19
E9PAV3,blue,2,NACA
L0R6Q1,yellow,4,SLC35A4
O00151,turquoise,1,PDLIM1
O00159,turquoise,1,MYO1C
O00168,blue,2,FXYD1
O00186,grey,0,STXBP3
O00217,green,5,NDUFS8
O00231,blue,2,PSMD11
O00232,brown,3,PSMD12
O00233,brown,3,PSMD9
O00264,grey,0,PGRMC1
O00299,black,7,CLIC1
O00303,magenta,9,EIF3F
O00330,pink,8,PDHX
O00399,blue,2,DCTN6
O00410,blue,2,IPO5
O00418,grey,0,EEF2K
O00423,grey,0,EML1
O00429,turquoise,1,DNM1L
O00442,turquoise,1,RTCA
O00483,pink,8,NDUFA4
O00487,blue,2,PSMD14
O00499,blue,2,BIN1
O00505,black,7,KPNA3
O00571,magenta,9,DDX3X
O00629,blue,2,KPNA4
O00748,turquoise,1,CES2
O00757,brown,3,FBP2
O00764,pink,8,PDXK
O14521,pink,8,SDHD
O14548,green,5,COX7A2L
O14556,grey,0,GAPDHS
O14558,blue,2,HSPB6
O14561,green,5,NDUFAB1
O14732,brown,3,IMPA2
O14737,grey,0,PDCD5
O14744,blue,2,PRMT5
O14818,brown,3,PSMA7
O14841,turquoise,1,OPLAH
O14880,green,5,MGST3
O14924,green,5,RGS12
O14929,blue,2,HAT1
O14949,green,5,UQCRQ
O14950,turquoise,1,MYL12B
O14957,green,5,UQCR11
O14958,grey,0,CASQ2
O14964,black,7,HGS
O14979,yellow,4,HNRNPDL
O14980,brown,3,XPO1
O14983,brown,3,ATP2A1
O15056,red,6,SYNJ2
O15061,yellow,4,SYNM
O15143,blue,2,ARPC1B
O15144,green,5,ARPC2
O15173,pink,8,PGRMC2
O15212,brown,3,PFDN6
O15239,green,5,NDUFA1
O15260,blue,2,SURF4
O15264,red,6,MAPK13
O15273,yellow,4,TCAP
O15305,grey,0,PMM2
O15371,magenta,9,EIF3D
O15372,black,7,EIF3H
O15382,turquoise,1,BCAT2
O15400,blue,2,STX7
O15427,grey,0,SLC16A3
O15498,grey,0,YKT6
O15511,red,6,ARPC5
O15533,green,5,TAPBP
O43143,grey,0,DHX15
O43169,brown,3,CYB5B
O43181,green,5,NDUFS4
O43237,blue,2,DYNC1LI2
O43242,brown,3,PSMD3
O43374,grey,0,RASA4
O43390,black,7,HNRNPR
O43396,blue,2,TXNL1
O43399,brown,3,TPD52L2
O43414,grey,0,ERI3
O43488,turquoise,1,AKR7A2
O43561,brown,3,LAT
O43583,brown,3,DENR
O43598,grey,0,DNPH1
O43615,turquoise,1,TIMM44
O43617,red,6,TRAPPC3
O43633,grey,0,CHMP2A
O43674,green,5,NDUFB5
O43676,green,5,NDUFB3
O43678,green,5,NDUFA2
O43684,turquoise,1,BUB3
O43707,yellow,4,ACTN4
O43708,brown,3,GSTZ1
O43741,magenta,9,PRKAB2
O43747,grey,0,AP1G1
O43760,yellow,4,SYNGR2
O43765,turquoise,1,SGTA
O43768,grey,0,ENSA
O43772,turquoise,1,SLC25A20
O43776,yellow,4,NARS1
O43813,grey,0,LANCL1
O43826,brown,3,SLC37A4
O43837,turquoise,1,IDH3B
O43852,blue,2,CALU
O43865,blue,2,AHCYL1
O43920,green,5,NDUFS5
O60220,green,5,TIMM8A
O60237,blue,2,PPP1R12B
O60256,brown,3,PRPSAP2
O60271,blue,2,SPAG9
O60313,turquoise,1,OPA1
O60343,green,5,TBC1D4
O60493,grey,0,SNX3
O60506,black,7,SYNCRIP
O60613,grey,0,SELENOF
O60662,blue,2,KLHL41
O60664,grey,0,PLIN3
O60684,blue,2,KPNA6
O60749,grey,0,SNX2
O60763,brown,3,USO1
O60784,grey,0,TOM1
O60825,pink,8,PFKFB2
O60869,magenta,9,EDF1
O60884,blue,2,DNAJA2
O60888,grey,0,CUTA
O60925,yellow,4,PFDN1
O60936,grey,0,NOL3
O75083,brown,3,WDR1
O75112,black,7,LDB3
O75122,green,5,CLASP2
O75128,grey,0,COBL
O75131,brown,3,CPNE3
O75153,pink,8,CLUH
O75155,blue,2,CAND2
O75208,turquoise,1,COQ9
O75223,grey,0,GGCT
O75251,green,5,NDUFS7
O75298,brown,3,RTN2
O75306,green,5,NDUFS2
O75323,turquoise,1,NIPSNAP2
O75339,yellow,4,CILP
O75347,red,6,TBCA
O75348,grey,0,ATP6V1G1
O75351,green,5,VPS4B
O75367,yellow,4,MACROH2A1
O75368,grey,0,SH3BGRL
O75369,blue,2,FLNB
O75380,green,5,NDUFS6
O75390,turquoise,1,CS
O75396,blue,2,SEC22B
O75431,green,5,MTX2
O75436,brown,3,VPS26A
O75438,green,5,NDUFB1
O75439,green,5,PMPCB
O75489,green,5,NDUFS3
O75521,turquoise,1,ECI2
O75531,yellow,4,BANF1
O75534,black,7,CSDE1
O75569,black,7,PRKRA
O75608,turquoise,1,LYPLA1
O75663,blue,2,TIPRL
O75688,grey,0,PPM1B
O75746,green,5,SLC25A12
O75764,grey,0,TCEA3
O75821,magenta,9,EIF3G
O75822,blue,2,EIF3J
O75832,grey,0,PSMD10
O75874,brown,3,IDH1
O75880,grey,0,SCO1
O75891,grey,0,ALDH1L1
O75915,blue,2,ARL6IP5
O75923,blue,2,DYSF
O75928,grey,0,PIAS2
O75935,brown,3,DCTN3
O75947,pink,8,ATP5PD
O75955,grey,0,FLOT1
O75964,pink,8,ATP5MG
O76003,blue,2,GLRX3
O76070,grey,0,SNCG
O94760,brown,3,DDAH1
O94811,grey,0,TPPP
O94812,pink,8,BAIAP3
O94826,pink,8,TOMM70
O94874,grey,0,UFL1
O94886,blue,2,TMEM63A
O94903,red,6,PLPBP
O94905,magenta,9,ERLIN2
O94919,blue,2,ENDOD1
O94979,blue,2,SEC31A
O95139,green,5,NDUFB6
O95140,pink,8,MFN2
O95167,green,5,NDUFA3
O95168,green,5,NDUFB4
O95169,green,5,NDUFB8
O95182,green,5,NDUFA7
O95197,grey,0,RTN3
O95202,turquoise,1,LETM1
O95210,blue,2,STBD1
O95218,red,6,ZRANB2
O95278,grey,0,EPM2A
O95292,yellow,4,VAPB
O95298,green,5,NDUFC2
O95299,green,5,NDUFA10
O95336,turquoise,1,PGLS
O95359,grey,0,TACC2
O95372,grey,0,LYPLA2
O95373,brown,3,IPO7
O95376,yellow,4,ARIH2
O95394,red,6,PGM3
O95425,yellow,4,SVIL
O95433,turquoise,1,AHSA1
O95479,brown,3,H6PD
O95563,pink,8,MPC2
O95571,pink,8,ETHE1
O95573,blue,2,ACSL3
O95671,grey,0,ASMTL
O95674,grey,0,CDS2
O95721,grey,0,SNAP29
O95747,red,6,OXSR1
O95777,yellow,4,LSM8
O95782,blue,2,AP2A1
O95810,grey,0,CAVIN2
O95816,brown,3,BAG2
O95817,blue,2,BAG3
O95822,turquoise,1,MLYCD
O95831,pink,8,AIFM1
O95834,grey,0,EML2
O95861,brown,3,BPNT1
O95865,red,6,DDAH2
O95870,turquoise,1,ABHD16A
O95881,red,6,TXNDC12
O95989,turquoise,1,NUDT3
O96000,green,5,NDUFB10
O96005,grey,0,CLPTM1
O96007,brown,3,MOCS2
O96008,green,5,TOMM40
O96011,turquoise,1,PEX11B
P00167,turquoise,1,CYB5A
P00325,red,6,ADH1B
P00338,brown,3,LDHA
P00352,grey,0,ALDH1A1
P00367,turquoise,1,GLUD1
P00387,blue,2,CYB5R3
P00390,blue,2,GSR
P00395,green,5,MT-CO1
P00403,green,5,MT-CO2
P00414,green,5,MT-CO3
P00441,brown,3,SOD1
P00450,red,6,CP
P00488,grey,0,F13A1
P00492,blue,2,HPRT1
P00505,turquoise,1,GOT2
P00558,brown,3,PGK1
P00568,brown,3,AK1
P00738,red,6,HP
P00751,red,6,CFB
P00846,grey,0,MT-ATP6
P00918,brown,3,CA2
P00966,turquoise,1,ASS1
P01009,red,6,SERPINA1
P01011,red,6,SERPINA3
P01019,red,6,AGT
P01023,red,6,A2M
P01024,red,6,C3
P01034,grey,0,CST3
P01040,grey,0,CSTA
P01591,red,6,JCHAIN
P01619,red,6,IGKV3-20
P01780,red,6,IGHV3-7
P01834,red,6,IGKC
P01857,red,6,IGHG1
P01859,red,6,IGHG2
P01860,red,6,IGHG3
P01871,red,6,IGHM
P01876,red,6,IGHA1
P01889,turquoise,1,HLA-B
P01911,grey,0,HLA-DRB1
P02144,turquoise,1,MB
P02452,yellow,4,COL1A1
P02461,yellow,4,COL3A1
P02462,yellow,4,COL4A1
P02511,blue,2,CRYAB
P02533,grey,0,KRT14
P02545,yellow,4,LMNA
P02585,yellow,4,TNNC2
P02649,red,6,APOE
P02655,red,6,APOC2
P02750,turquoise,1,LRG1
P02751,grey,0,FN1
P02753,red,6,RBP4
P02763,red,6,ORM1
P02766,red,6,TTR
P02768,red,6,ALB
P02775,yellow,4,PPBP
P02786,grey,0,TFRC
P02787,red,6,TF
P02792,grey,0,FTL
P02794,green,5,FTH1
P02795,red,6,MT2A
P03886,green,5,MT-ND1
P03891,yellow,4,MT-ND2
P03897,green,5,MT-ND3
P03905,grey,0,MT-ND4
