threshold,collection,granularity,list_name,n_fg,n_sig_terms,n_themes_hit,pct_coverage,top3_themes,median_odds_ratio,training_old_viable
Pi < 0.05,GO Slim,per_contrast,Training_Young,109,NA,15,80.7,DNA & Cell Cycle; Protein Homeostasis; Transport,NA,NA
Pi < 0.05,GO Slim,per_contrast,Training_Old,18,NA,6,88.9,Amino Acid & Cofactor Metabolism; ECM & Adhesion; Transport,NA,TRUE
Pi < 0.05,GO Slim,per_contrast,Interaction,44,NA,7,52.3,Transcription & Chromatin; ECM & Adhesion; Protein Homeostasis,NA,NA
Pi < 0.05,Comprehensive,per_contrast,Training_Young,109,16,1,16.5,Scavenging By Class A Receptors; Collagen Biosynthesis And Modify...; Collagen Fibril Organization,12.46,NA
Pi < 0.05,Comprehensive,per_contrast,Training_Old,18,0,0,0,NA,NA,FALSE
Pi < 0.05,Comprehensive,per_contrast,Interaction,44,14,2,25,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.04,NA
Pi < 0.05,Comprehensive -> Consolidated,per_contrast,Training_Young,109,16,1,16.5,ECM & Adhesion,12.46,NA
Pi < 0.05,Comprehensive -> Consolidated,per_contrast,Training_Old,18,0,0,0,NA,NA,FALSE
Pi < 0.05,Comprehensive -> Consolidated,per_contrast,Interaction,44,14,2,25,ECM & Adhesion; Development,22.04,NA
Pi < 0.05,GO Slim,union,Union,120,NA,15,88.3,Transport; Protein Homeostasis; DNA & Cell Cycle,NA,NA
Pi < 0.05,Comprehensive,union,Union,120,13,1,15.8,Scavenging By Class A Receptors; Developmental Cell Lineages Of T...; Collagen Biosynthesis And Modify...,11.78,NA
Pi < 0.05,Comprehensive -> Consolidated,union,Union,120,13,1,15.8,ECM & Adhesion,11.78,NA
Pi < 0.05,GO Slim,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA
Pi < 0.05,GO Slim,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA
Pi < 0.05,GO Slim,directional,Sig Young Up,34,NA,9,79.4,Protein Homeostasis; DNA & Cell Cycle; Cytoskeleton & Motility,NA,NA
Pi < 0.05,GO Slim,directional,Sig Young Down,34,NA,9,73.5,Transport; DNA & Cell Cycle; Mitochondria & Energy,NA,NA
Pi < 0.05,GO Slim,directional,Sig Old Up,4,NA,NA,NA,NA,NA,FALSE
Pi < 0.05,GO Slim,directional,Sig Old Down,8,NA,2,62.5,Amino Acid & Cofactor Metabolism; Transport,NA,TRUE
Pi < 0.05,GO Slim,directional,Interaction,44,NA,7,52.3,Transcription & Chromatin; ECM & Adhesion; Protein Homeostasis,NA,NA
Pi < 0.05,Comprehensive,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA
Pi < 0.05,Comprehensive,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA
Pi < 0.05,Comprehensive,directional,Sig Young Up,34,0,0,0,NA,NA,NA
Pi < 0.05,Comprehensive,directional,Sig Young Down,34,0,0,0,NA,NA,NA
Pi < 0.05,Comprehensive,directional,Sig Old Up,4,NA,NA,NA,NA,NA,FALSE
Pi < 0.05,Comprehensive,directional,Sig Old Down,8,0,0,0,NA,NA,FALSE
Pi < 0.05,Comprehensive,directional,Interaction,44,14,2,25,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.04,NA
Pi < 0.05,Comprehensive -> Consolidated,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA
Pi < 0.05,Comprehensive -> Consolidated,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA
Pi < 0.05,Comprehensive -> Consolidated,directional,Sig Young Up,34,0,0,0,NA,NA,NA
Pi < 0.05,Comprehensive -> Consolidated,directional,Sig Young Down,34,0,0,0,NA,NA,NA
Pi < 0.05,Comprehensive -> Consolidated,directional,Sig Old Up,4,NA,NA,NA,NA,NA,FALSE
Pi < 0.05,Comprehensive -> Consolidated,directional,Sig Old Down,8,0,0,0,NA,NA,FALSE
Pi < 0.05,Comprehensive -> Consolidated,directional,Interaction,44,14,2,25,ECM & Adhesion; Development,22.04,NA
FDR < 0.05,GO Slim,per_contrast,Training_Young,146,NA,14,83.6,DNA & Cell Cycle; Transport; Mitochondria & Energy,NA,NA
FDR < 0.05,GO Slim,per_contrast,Training_Old,0,NA,NA,NA,NA,NA,FALSE
FDR < 0.05,GO Slim,per_contrast,Interaction,12,NA,0,0,,NA,NA
FDR < 0.05,Comprehensive,per_contrast,Training_Young,146,28,7,39.7,Formation Of Tubulin Folding Int...; Cell Cell Recognition; Reference Retrograde Axonal Tran...,8,NA
FDR < 0.05,Comprehensive,per_contrast,Training_Old,0,NA,NA,NA,NA,NA,FALSE
FDR < 0.05,Comprehensive,per_contrast,Interaction,12,0,0,0,NA,NA,NA
