database,dedup_level,granularity,list_name,n_fg,n_sig_terms,n_themes_hit,pct_coverage,n_genes_assigned,pct_genes_assigned,top3_terms,median_odds_ratio,training_old_viable
GO Slim,none,per_contrast,Training_Young,109,2,1,17.4,19,19.4,Extracellular Matrix Organization; Microtubule-Based Movement,6.72,NA
GO Slim,none,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
GO Slim,none,per_contrast,Interaction,44,1,1,18.2,8,24.2,Extracellular Matrix Organization,21.26,NA
GO Slim,none,union,Union,120,2,1,17.5,21,17.6,Extracellular Matrix Organization; Microtubule-Based Movement,6.17,NA
GO Slim,none,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,none,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,none,directional,Sig Young Up,34,2,1,29.4,10,29.4,Microtubule-Based Movement; Trna Metabolic Process,9.03,NA
GO Slim,none,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
GO Slim,none,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,none,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
GO Slim,none,directional,Interaction,44,1,1,18.2,8,24.2,Extracellular Matrix Organization,21.26,NA
GO Slim,light,per_contrast,Training_Young,109,2,1,17.4,19,19.4,Extracellular Matrix Organization; Microtubule-Based Movement,6.72,NA
GO Slim,light,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
GO Slim,light,per_contrast,Interaction,44,1,1,18.2,8,24.2,Extracellular Matrix Organization,21.26,NA
GO Slim,light,union,Union,120,2,1,17.5,21,17.6,Extracellular Matrix Organization; Microtubule-Based Movement,6.17,NA
GO Slim,light,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,light,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,light,directional,Sig Young Up,34,2,1,29.4,10,29.4,Microtubule-Based Movement; Trna Metabolic Process,9.03,NA
GO Slim,light,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
GO Slim,light,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,light,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
GO Slim,light,directional,Interaction,44,1,1,18.2,8,24.2,Extracellular Matrix Organization,21.26,NA
GO Slim,standard,per_contrast,Training_Young,109,2,1,17.4,19,19.4,Extracellular Matrix Organization; Microtubule-Based Movement,6.72,NA
GO Slim,standard,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
GO Slim,standard,per_contrast,Interaction,44,1,1,18.2,8,24.2,Extracellular Matrix Organization,21.26,NA
GO Slim,standard,union,Union,120,2,1,17.5,21,17.6,Extracellular Matrix Organization; Microtubule-Based Movement,6.17,NA
GO Slim,standard,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,standard,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,standard,directional,Sig Young Up,34,2,1,29.4,10,29.4,Microtubule-Based Movement; Trna Metabolic Process,9.03,NA
GO Slim,standard,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
GO Slim,standard,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
GO Slim,standard,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
GO Slim,standard,directional,Interaction,44,1,1,18.2,8,24.2,Extracellular Matrix Organization,21.26,NA
Comprehensive,none,per_contrast,Training_Young,109,19,1,16.5,18,18.4,Scavenging By Class A Receptors; Collagen Chain Trimerization; Collagen Biosynthesis And Modify...,13.56,NA
Comprehensive,none,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
Comprehensive,none,per_contrast,Interaction,44,17,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,24.71,NA
Comprehensive,none,union,Union,120,17,1,15.8,19,16,Scavenging By Class A Receptors; Collagen Chain Trimerization; Developmental Cell Lineages Of T...,11.78,NA
Comprehensive,none,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,none,directional,Sig Both Down,2,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,none,directional,Sig Young Up,34,0,0,0,0,0,NA,NA,NA
Comprehensive,none,directional,Sig Young Down,34,0,0,0,0,0,NA,NA,NA
Comprehensive,none,directional,Sig Old Up,4,NA,NA,NA,NA,NA,NA,NA,NA
Comprehensive,none,directional,Sig Old Down,8,0,0,0,0,0,NA,NA,NA
Comprehensive,none,directional,Interaction,44,17,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,24.71,NA
Comprehensive,light,per_contrast,Training_Young,109,13,1,16.5,18,18.4,Scavenging By Class A Receptors; Collagen Biosynthesis And Modify...; Collagen Fibril Organization,12,NA
Comprehensive,light,per_contrast,Training_Old,18,0,0,0,0,0,NA,NA,NA
Comprehensive,light,per_contrast,Interaction,44,12,2,25,11,33.3,Scavenging By Class A Receptors; Basement Membrane Organization; Collagen Chain Trimerization,22.04,NA
Comprehensive,light,union,Union,120,11,1,15.8,19,16,Scavenging By Class A Receptors; Developmental Cell Lineages Of T...; Collagen Biosynthesis And Modify...,10.38,NA
Comprehensive,light,directional,Sig Both Up,4,NA,NA,NA,NA,NA,NA,NA,NA
