figure,n_total,n_mapped,pct_mapped,n_categories,largest_cat,largest_pct,smallest_cat_n
F2,131,66,50.4,29,OXIDATIVE PHOSPHORYLATION,6.1,2
F3,246,144,58.5,57,CELLULAR RESPONSES TO STIMULI,5.7,2
