gene,go_slim_category,reactome_category,kappa_category
IDI1,Metabolism,Metabolism,EXERCISEINDUCED CIRCADIAN REGULATION
IGHG2,Immune & Inflammation,Other,Other
KLHL40,Protein Homeostasis,Other,Other
LAMTOR1,Transport,Other,Other
LMOD2,Muscle & Contractile,Other,Other
LONP1,Mitochondria & Energy,Cellular responses to stimuli,Other
LRBA,Protein Homeostasis,Other,Other
LRG1,ECM & Adhesion,Immune System,Other
LRMDA,Development,Other,Other
LRPAP1,Transport,Other,Other
MAOB,Development,Metabolism,ALPHA SYNUCLEIN PATHWAY
MAPK13,Immune & Inflammation,ST: Signaling by Receptor Tyrosine Kinases,Other
MARCHF5,Mitochondria & Energy,Other,DISORDERS OF MITOCHONDRIAL HOMEOSTATIS DYNAMICS PR
MAVS,Mitochondria & Energy,Immune System,Other
MCCC1,Metabolism,Disease,BIOTIN TRANSPORT AND METABOLISM
MCEE,Metabolism,Metabolism,BIOTIN TRANSPORT AND METABOLISM
MDP1,Gene Expression,Other,Other
MGST2,Metabolism,Metabolism,AFLATOXIN ACTIVATION AND DETOXIFICATION
MICOS10,Transport,Organelle biogenesis and maintenance,SLC25A46 PATHWAY
MICU1,Transport,Transport of small molecules,DISORDERS OF MITOCHONDRIAL HOMEOSTATIS DYNAMICS PR
MIEN1,Cytoskeleton & Motility,Other,17Q12 COPY NUMBER VARIATION SYNDROME
MPST,Metabolism,Metabolism,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE
MSN,Cytoskeleton & Motility,Developmental Biology,SENSORY PERCEPTION
MT-CO1,Transport,Gene expression (Transcription),MITOCHONDRIAL PROTEIN DEGRADATION
MT-ND2,Mitochondria & Energy,Metabolism of proteins,MITOCHONDRIAL PROTEIN DEGRADATION
MT-ND4,Mitochondria & Energy,Metabolism,AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANS
MT2A,Metabolism,Cellular responses to stimuli,RESPONSE TO METAL IONS
MUSTN1,Protein Homeostasis,Other,Other
MYBPC2,ECM & Adhesion,Muscle contraction,MUSCLE CONTRACTION
MYBPH,ECM & Adhesion,Other,G13 SIGNALING
MYH1,Muscle & Contractile,Other,TIGHT JUNCTION
