figure,method,n_total,n_mapped,pct_mapped,n_categories,largest_category,largest_pct,smallest_cat_n,cats_under_5
F2,GO Slim (B),131,119,90.8,12,Metabolism,16.8,3,2
F2,Reactome (A),131,99,75.6,23,Metabolism,14.5,2,17
F2,Kappa Multi-DB (C),131,66,50.4,29,OXIDATIVE PHOSPHORYLATION,6.1,2,28
F3,GO Slim (B),246,223,90.7,11,Metabolism,22.8,5,0
F3,Reactome (A),246,171,69.5,25,Metabolism,15.9,2,14
F3,Kappa Multi-DB (C),246,144,58.5,57,CELLULAR RESPONSES TO STIMULI,5.7,2,54
