set_name,cluster_id,representative_term,cluster_label,n_member_terms,n_genes,member_terms_list
SP_001_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,TOLL LIKE RECEPTOR SIGNALING PATHWAY,35,269,BIOCARTA_41BB_PATHWAY; BIOCARTA_CD40_PATHWAY; BIOCARTA_IL1R_PATHWAY; BIOCARTA_NFKB_PATHWAY; BIOCARTA_NTHI_PATHWAY; BIOCARTA_RELA_PATHWAY; BIOCARTA_RNA_PATHWAY; BIOCARTA_STRESS_PATHWAY; BIOCARTA_TNFR2_PATHWAY; BIOCARTA_TOLL_PATHWAY
SP_002_CROSSLINKING_OF_COLLAGEN_FIBRILS,2,REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,CROSSLINKING OF COLLAGEN FIBRILS,6,46,BIOCARTA_ACE2_PATHWAY; BIOCARTA_NPP1_PATHWAY; BIOCARTA_PLATELETAPP_PATHWAY; BIOCARTA_VITCB_PATHWAY; REACTOME_ANCHORING_FIBRIL_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS
SP_003_AKT_PATHWAY,3,BIOCARTA_AKT_PATHWAY,AKT PATHWAY,4,46,BIOCARTA_ACH_PATHWAY; BIOCARTA_AKT_PATHWAY; BIOCARTA_GCR_PATHWAY; BIOCARTA_LONGEVITY_PATHWAY
SP_004_ACTINY_PATHWAY,4,BIOCARTA_ACTINY_PATHWAY,ACTINY PATHWAY,1,12,BIOCARTA_ACTINY_PATHWAY
SP_005_NO1_PATHWAY,5,BIOCARTA_NO1_PATHWAY,NO1 PATHWAY,20,167,BIOCARTA_AGPCR_PATHWAY; BIOCARTA_AKAP13_PATHWAY; BIOCARTA_AKAP95_PATHWAY; BIOCARTA_AKAPCENTROSOME_PATHWAY; BIOCARTA_BAD_PATHWAY; BIOCARTA_CARM1_PATHWAY; BIOCARTA_CFTR_PATHWAY; BIOCARTA_CK1_PATHWAY; BIOCARTA_CREB_PATHWAY; BIOCARTA_DREAM_PATHWAY
SP_006_AGR_PATHWAY,6,BIOCARTA_AGR_PATHWAY,AGR PATHWAY,1,33,BIOCARTA_AGR_PATHWAY
SP_007_METABOLISM_OF_PORPHYRINS,7,REACTOME_METABOLISM_OF_PORPHYRINS,METABOLISM OF PORPHYRINS,4,32,BIOCARTA_AHSP_PATHWAY; REACTOME_HEME_BIOSYNTHESIS; REACTOME_HEME_DEGRADATION; REACTOME_METABOLISM_OF_PORPHYRINS
SP_008_BMP_PATHWAY,8,PID_BMP_PATHWAY,BMP PATHWAY,8,95,BIOCARTA_ALK_PATHWAY; KEGG_MEDICUS_REFERENCE_BMP_HAMP_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY; PID_ALK1_PATHWAY; PID_ALK2_PATHWAY; PID_BMP_PATHWAY; REACTOME_SIGNALING_BY_BMP; WP_BONE_MORPHOGENIC_PROTEIN_SIGNALING_AND_REGULATION
SP_009_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,9,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,GLYCOSPHINGOLIPID BIOSYNTHESIS LACTO AND NEOLACTO SERIES,4,41,BIOCARTA_AMAN_PATHWAY; KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES; REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS; WP_NEOLACTO_SERIES_SPHINGOLIPID_METABOLISM
SP_010_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,10,REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,FORMATION OF FIBRIN CLOT CLOTTING CASCADE,12,66,BIOCARTA_AMI_PATHWAY; BIOCARTA_EXTRINSIC_PATHWAY; BIOCARTA_FIBRINOLYSIS_PATHWAY; BIOCARTA_INTRINSIC_PATHWAY; REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION; REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS; REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE; REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS; REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION; REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS
