gs_name,cluster_id,n_fg_genes,cluster_label,figure
REACTOME_ANCHORING_FIBRIL_FORMATION,1,4,ANCHORING FIBRIL FORMATION,F2
BIOCARTA_RHO_PATHWAY,2,3,RHO PATHWAY,F2
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,3,5,SYSTEMIC LUPUS ERYTHEMATOSUS,F2
BIOCARTA_NO1_PATHWAY,4,3,NO1 PATHWAY,F2
BIOCARTA_HSP27_PATHWAY,5,2,HSP27 PATHWAY,F2
KEGG_FOCAL_ADHESION,6,16,FOCAL ADHESION,F2
BIOCARTA_MCALPAIN_PATHWAY,7,4,MCALPAIN PATHWAY,F2
BIOCARTA_RAB_PATHWAY,8,2,RAB PATHWAY,F2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,9,8,REGULATION OF ACTIN CYTOSKELETON,F2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,10,2,ALANINE ASPARTATE AND GLUTAMATE METABOLISM,F2
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,11,3,AMINOACYL TRNA BIOSYNTHESIS,F2
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12,2,ANTIGEN PROCESSING AND PRESENTATION,F2
KEGG_ARACHIDONIC_ACID_METABOLISM,13,2,ARACHIDONIC ACID METABOLISM,F2
KEGG_ARGININE_AND_PROLINE_METABOLISM,14,4,ARGININE AND PROLINE METABOLISM,F2
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,15,8,NON INTEGRIN MEMBRANE ECM INTERACTIONS,F2
KEGG_CALCIUM_SIGNALING_PATHWAY,16,4,CALCIUM SIGNALING PATHWAY,F2
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,17,11,RNA POLYMERASE II TRANSCRIPTION,F2
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,18,4,DRUG METABOLISM CYTOCHROME P450,F2
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,19,14,EXTRACELLULAR MATRIX ORGANIZATION,F2
KEGG_FATTY_ACID_METABOLISM,20,2,FATTY ACID METABOLISM,F2
REACTOME_L1CAM_INTERACTIONS,21,4,L1CAM INTERACTIONS,F2
