uniprot_id,module_color,module_num,gene
A0A0U1RRL7,red,6,MMP24OS
A0FGR8,brown,3,ESYT2
A1L0T0,grey,0,ILVBL
A1L4K1,turquoise,1,FSD2
A2RTX5,magenta,9,TARS3
A3KMH1,blue,2,VWA8
A5YM72,brown,3,CARNS1
A6NCE7,black,7,MAP1LC3B2
A6NDG6,grey,0,PGP
A6NNS2,grey,0,DHRS7C
A8MU46,yellow,4,SMTNL1
A8MXV4,turquoise,1,NUDT19
E9PAV3,brown,3,NACA
L0R6Q1,turquoise,1,SLC35A4
O00151,red,6,PDLIM1
O00159,blue,2,MYO1C
O00168,turquoise,1,FXYD1
O00186,grey,0,STXBP3
O00217,red,6,NDUFS8
O00231,yellow,4,PSMD11
O00232,yellow,4,PSMD12
O00233,grey,0,PSMD9
O00264,turquoise,1,PGRMC1
O00299,brown,3,CLIC1
O00303,black,7,EIF3F
O00330,magenta,9,PDHX
O00399,brown,3,DCTN6
O00410,brown,3,IPO5
O00418,turquoise,1,EEF2K
O00423,green,5,EML1
O00429,blue,2,DNM1L
O00442,blue,2,RTCA
O00483,magenta,9,NDUFA4
O00487,brown,3,PSMD14
O00499,brown,3,BIN1
O00505,turquoise,1,KPNA3
O00571,black,7,DDX3X
O00629,brown,3,KPNA4
O00748,blue,2,CES2
O00757,yellow,4,FBP2
O00764,turquoise,1,PDXK
O14521,magenta,9,SDHD
O14548,red,6,COX7A2L
O14556,grey,0,GAPDHS
O14558,brown,3,HSPB6
O14561,red,6,NDUFAB1
O14732,yellow,4,IMPA2
O14737,grey,0,PDCD5
O14744,brown,3,PRMT5
O14818,brown,3,PSMA7
O14841,blue,2,OPLAH
O14880,red,6,MGST3
O14924,turquoise,1,RGS12
O14929,brown,3,HAT1
O14949,red,6,UQCRQ
O14950,red,6,MYL12B
O14957,red,6,UQCR11
O14958,grey,0,CASQ2
O14964,black,7,HGS
O14979,turquoise,1,HNRNPDL
O14980,yellow,4,XPO1
O14983,yellow,4,ATP2A1
O15056,pink,8,SYNJ2
O15061,green,5,SYNM
O15143,brown,3,ARPC1B
O15144,blue,2,ARPC2
O15173,grey,0,PGRMC2
O15212,yellow,4,PFDN6
O15239,red,6,NDUFA1
O15260,brown,3,SURF4
O15264,turquoise,1,MAPK13
O15273,green,5,TCAP
O15305,grey,0,PMM2
O15371,black,7,EIF3D
O15372,black,7,EIF3H
O15382,blue,2,BCAT2
O15400,brown,3,STX7
O15427,grey,0,SLC16A3
O15498,grey,0,YKT6
O15511,turquoise,1,ARPC5
O15533,grey,0,TAPBP
O43143,grey,0,DHX15
O43169,yellow,4,CYB5B
O43181,red,6,NDUFS4
O43237,turquoise,1,DYNC1LI2
O43242,brown,3,PSMD3
O43374,blue,2,RASA4
O43390,brown,3,HNRNPR
O43396,turquoise,1,TXNL1
O43399,grey,0,TPD52L2
O43414,grey,0,ERI3
O43488,blue,2,AKR7A2
O43561,yellow,4,LAT
O43583,yellow,4,DENR
O43598,turquoise,1,DNPH1
O43615,blue,2,TIMM44
O43617,turquoise,1,TRAPPC3
O43633,grey,0,CHMP2A
O43674,red,6,NDUFB5
O43676,red,6,NDUFB3
O43678,red,6,NDUFA2
O43684,grey,0,BUB3
O43707,green,5,ACTN4
O43708,grey,0,GSTZ1
O43741,yellow,4,PRKAB2
O43747,grey,0,AP1G1
O43760,green,5,SYNGR2
O43765,blue,2,SGTA
O43768,grey,0,ENSA
O43772,blue,2,SLC25A20
O43776,turquoise,1,NARS1
O43813,grey,0,LANCL1
