pathway,contrast,NES,padj,size,database,sig,pathway_label,pattern,sort_key,leading_edge
REACTOME_TRANSLATION,Training_Young,1.69,0.001305,176,Reactome,TRUE,Translation,Shared,1.690010776484434,VARS1;RPS11;FARSB;EEF1D;EPRS1;EEF1G;QARS1;DARS1;FARSA;TARS1;TUFM;EIF2S3;AIMP1;RPS6;EEF1B2;HARS1;RPL3;EEF1A1;AIMP2;RPS27;EIF2B1;RPS2;MRPS15;SARS1;APEH;EIF3J;ETF1;AARS1;RPL13A;MTIF2;RPS14;MARS1;EIF3C;RPL15;MRPS35;EIF2S1;SEC61A1;RPS8;EIF3I;RPS28;EIF1AX;RPS15A;PTCD3;MRPS18A;MRPL36;RPL13;RPS3;LARS1;RARS1;EIF3F;RPL14;RPL7;EEF1A2;RPL34;RPN2;SPCS1;RPL6;RPL28;RPS24;GSPT1;SARS2;GARS1;RPS27A;RPL29;MRPS21;EIF2B4;RPL10;SRPRB;RPL36;RPL37A;RPS13;MRPS25;RPL26;RPS16;EIF3L;MRPS18B;RPL36AL;MRPL19;RPS4X;CARS1;RPL30;WARS1;PPA1;RPL18;RPL17;RPL10A
HALLMARK_MYC_TARGETS_V1,Interaction,-1,0.6864,128,Hallmark,FALSE,MYC Targets V1,Shared,1.6812190378334453,TOMM70;EPRS1;KPNB1;HDDC2;AIMP2;DHX15;HNRNPU;PSMD3;CANX;ABCE1;KARS1;SLC25A3;CCT2;PSMD1;RAN;YWHAE;RPL34;CCT7;EIF3J;VBP1;XPO1;SYNCRIP;EEF1B2;UBE2L3;EIF4G2;RAD23B;CUL1;SSBP1;TCP1;TARDBP;CCT5;RUVBL2;HSP90AB1;PSMB3
HALLMARK_MYC_TARGETS_V1,Training_Old,1.699,0.01602,128,Hallmark,TRUE,MYC Targets V1,Shared,1.6812190378334453,HPRT1;RPS6;RPL22;TUFM;CCT5;RPL18;CCT4;HSPE1;RPS2;PRDX3;SET;CCT3;PSMD7;RACK1;SNRPD3;RPS10;NME1;PA2G4;FAM120A;ABCE1;MRPS18B;CCT2;G3BP1;RPL6;RPS3;IMPDH2;CCT7;TCP1;RPS5;SRSF3;PRDX4;ETF1;MRPL9;HNRNPR;RPLP0;SSBP1;EIF2S1;PSMA4;C1QBP;PSMC6;SLC25A3;PSMC4;HNRNPA3;HSP90AB1;APEX1;EEF1B2;EIF2S2;LDHA;PSMA7;PSMD14;CYC1;PGK1;ERH;SNRPA;PHB2;RUVBL2;NAP1L1;CANX;UBA2
HALLMARK_MYC_TARGETS_V1,Training_Young,1.681,0.006987,128,Hallmark,TRUE,MYC Targets V1,Shared,1.6812190378334453,CCT5;EPRS1;ABCE1;KPNB1;HPRT1;TOMM70;CCT2;CCT7;CCT4;SLC25A3;CANX;TCP1;CCT3;PRDX3;TUFM;RPS6;SSBP1;EEF1B2;AIMP2;HSP90AB1;RPS2;NME1;EIF3J;PSMD1;ETF1;RUVBL2;PSMD3;PSMC6;PSMA7;HDDC2;TARDBP;HSPE1;PSMA6;DHX15;FAM120A;PSMC4;RAN;EIF2S1;PPIA;EIF1AX;PSMB3;RPS3;SRM;YWHAQ;HSPD1;RPL14;PSMA1;RPL34;RAD23B;PSMD14;PSMD8;YWHAE;RPL6;SYNCRIP;GSPT1
REACTOME_MITOTIC_G2_G2_M_PHASES,Interaction,-2.2,2.356e-5,64,Reactome,TRUE,Mitotic G2 G2 M Phases,Blunted,2.626477222422758,DYNC1H1;DYNC1I2;PPP1R12B;DCTN1;PPP2R1A;YWHAG;PSMB5;PSMD3;DYNLL1;RPS27A;DCTN2;TUBB2A;PSMD6;PAFAH1B1;PPP2R2A;PSMA3;PSMD1;TUBB4B;YWHAE;XPO1;TUBB6;PSMB6;PSMD13;PSMC1;CUL1;TUBA1B;PSMC2;HSP90AB1;PSMB3;PSMD12;OPTN;PSMB7;PSMA6;PSMA5;PSMA1;PSMD8;TUBB;PSMB2;PSMA7;PSMD11
REACTOME_MITOTIC_G2_G2_M_PHASES,Training_Old,1.677,0.06316,64,Reactome,FALSE,Mitotic G2 G2 M Phases,Blunted,2.626477222422758,TUBB;PSMD7;DCTN3;DCTN2;TUBA1B;ACTR1A;TUBB6;TUBA4A;DYNC1H1;TUBB2A;PPP1CB;PSMC3;MAPRE1;TUBA8;DYNC1I2;DCTN1;PSMD11;PSMA4;PSMC2;PSMC6;PSMD2;PSMC4;HSP90AB1;PPME1;LCMT1;PSMA7;PSMC1;PSMD14
REACTOME_MITOTIC_G2_G2_M_PHASES,Training_Young,2.626,2.443e-10,64,Reactome,TRUE,Mitotic G2 G2 M Phases,Blunted,2.626477222422758,DYNC1H1;DYNC1I2;DCTN2;TUBB;DCTN1;TUBB6;TUBB2A;TUBA1B;PPP2R1A;PPP1R12B;ACTR1A;PSMC2;PSMC1;HSP90AB1;PSMD1;TUBB4B;PSMA3;PSMD11;YWHAG;PSMD3;PSMC6;PPP2R2A;PSMA7;PSMA5;PSMB7;PSMA6;PSMC4;PAFAH1B1;PSMD13;PSMB5;PSMB3;PSMD6;PSMD2;PRKACA;PSMC3;PSMA1;PSMD14;PSMD8;HSP90AA1;MAPRE1;YWHAE;PPME1;PSMB6;PPP2CA;RPS27A;PSMB4;TUBA4A;PSMB2;XPO1;PSMA2;CUL1;PSMA4
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,Interaction,-1.808,1,24,KEGG,FALSE,Reference Rab7 Regulated Microtubule Minus End Direc...,Blunted,2.419987937614809,DCTN5;DYNC1LI1;DYNC1H1;DYNC1I2;DCTN1;DYNC1LI2;DYNLL1;DYNLT1;DCTN2;TUBB2A;TUBB4B;TUBB6
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,Training_Old,2.022,1,24,KEGG,FALSE,Reference Rab7 Regulated Microtubule Minus End Direc...,Blunted,2.419987937614809,DYNLT1;TUBB;DCTN3;DYNLRB1;DCTN2;TUBA1B;ACTR1A;TUBB6;TUBA4A;DYNC1H1;TUBB2A;OSBPL1A;TUBA8;DYNC1I2;DCTN1
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,Training_Young,2.42,6.331e-6,24,KEGG,TRUE,Reference Rab7 Regulated Microtubule Minus End Direc...,Blunted,2.419987937614809,DYNC1H1;DYNLT1;DYNC1LI1;DYNC1I2;DCTN2;TUBB;DCTN1;TUBB6;DCTN5;TUBB2A;TUBA1B;ACTR1A;TUBB4B;DYNC1LI2;DCTN6;DCTN4
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Interaction,-2.17,2.631e-4,48,Reactome,TRUE,Intra Golgi And Retrograde Golgi To Er Traffic,Blunted,2.4195756637852894,DCTN5;DYNC1LI1;DYNC1H1;SNAP29;DYNC1I2;SEC22B;RAB6A;DCTN1;DYNC1LI2;RAB18;PLIN3;ARCN1;DYNLL1;SURF4;RAB1B;DCTN2;TUBB2A;PAFAH1B1;YKT6;TUBB4B;TUBB6
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Training_Old,1.517,0.1727,48,Reactome,FALSE,Intra Golgi And Retrograde Golgi To Er Traffic,Blunted,2.4195756637852894,KIF5B;DCTN3;DCTN2;TUBA1B;ACTR1A;TUBB6;TUBA4A;DYNC1H1;TUBB2A;COPB2;NSF;KLC1;TUBA8;DYNC1I2;PAFAH1B2;DCTN1;COPG1;DCTN6;DYNC1LI1;ARF5;DCTN4;RAB6A;CAPZA1;PLIN3;CAPZB
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Training_Young,2.42,6.83e-7,48,Reactome,TRUE,Intra Golgi And Retrograde Golgi To Er Traffic,Blunted,2.4195756637852894,DYNC1H1;DYNC1LI1;DYNC1I2;DCTN2;DCTN1;RAB6A;TUBB6;DCTN5;TUBB2A;TUBA1B;PLIN3;KIF5B;ACTR1A;SNAP29;SEC22B;TUBB4B;DYNC1LI2;ARCN1;DCTN6;YKT6;DCTN4;RAB18;TMED9;SURF4;PAFAH1B1
REACTOME_PCP_CE_PATHWAY,Interaction,-2.137,4.872e-4,40,Reactome,TRUE,Pcp Ce Pathway,Blunted,2.4063617467043263,CLTB;PSMB5;PSMD3;AP2M1;RPS27A;PSMD6;PSMA3;PSMD1;PFN1;CLTC;PSMB6;PSMD13;PSMC1;PSMC2;PSMB3;PSMD12;PSMB7;PSMA6;PSMA5;RAC1;PSMA1;PSMD8;PSMB2;PSMA7;PSMD11;PSMC6;ADRM1
REACTOME_PCP_CE_PATHWAY,Training_Old,1.195,0.5194,40,Reactome,FALSE,Pcp Ce Pathway,Blunted,2.4063617467043263,PSMD7;AP2A1;AP2B1;PSMC3;PSMD11;PSMA4;PSMC2;PSMC6;PSMD2;PSMC4;CLTC;PSMA7;AP2M1;PSMC1;PSMD14
REACTOME_PCP_CE_PATHWAY,Training_Young,2.406,2.924e-6,40,Reactome,TRUE,Pcp Ce Pathway,Blunted,2.4063617467043263,CLTB;AP2M1;CLTC;PSMC2;PSMC1;PSMD1;AP2A1;PSMA3;PSMD11;PFN1;PSMD3;PSMC6;PSMA7;PSMA5;PSMB7;PSMA6;PSMC4;AP2B1;PSMD13;PSMB5;PSMB3;PSMD6;PSMD2;PSMC3;PSMA1;PSMD14;PSMD8;PSMB6;RPS27A;PSMB4;PSMB2;PSMA2;PSMA4;PSMD12
GOBP_PROTEIN_FOLDING,Interaction,-1.864,0.001509,90,GO:BP,TRUE,Protein Folding,Blunted,2.3638771535859964,CALR;CCT6A;SH3GLB1;HSPA4;TBCB;HSPA8;CANX;DNAJA1;HSPB6;NUDC;FKBP4;CLU;AHSA1;CCT8;PFDN2;CCT2;CCT7;VBP1;HSPA2;HSPBP1;ERP44;TBCE;BAG2;P4HB;TCP1;PDCD5;CCT5;RUVBL2;HSP90AB1;HYOU1;PDIA3;DNAJA2;LMAN1;HSP90B1;HSPA5;PFDN4;PPIL3;PPIA;DNAJA4;HSPA1A;HSPB1;ST13;CSNK2A1;VAPA;AIFM1;BAG3;CCT3;HSPB2;HSPD1;FKBP1A;TRAP1;TBCA;CHCHD4;CCT4;TXNDC5
GOBP_PROTEIN_FOLDING,Training_Old,1.741,1,91,GO:BP,FALSE,Protein Folding,Blunted,2.3638771535859964,TXNDC5;CCT5;CRYAB;HSPB1;NGLY1;CCT4;HSPE1;PPIB;UNC45B;HSPA9;HSPB2;ERO1A;CCT3;PDIA4;CCT6A;DNAJA4;CCT8;PDIA3;HSPB6;HYOU1;DNAJA2;HSPA14;CCT2;HSP90B1;CCT7;TCP1;BAG3;CCDC47
GOBP_PROTEIN_FOLDING,Training_Young,2.364,2.306e-7,90,GO:BP,TRUE,Protein Folding,Blunted,2.3638771535859964,CCT6A;CCT5;CCT8;HSPB6;HSPB1;CCT2;TXNDC5;PDIA3;CCT7;CCT4;DNAJA2;HYOU1;CANX;TCP1;HSPB2;CCT3;HSPA4;DNAJA4;HSP90B1;HSPA8;UNC45B;TBCB;CRYAB;HSPA5;HSP90AB1;DNAJA1;BAG3;AHSA1;ERO1A;RUVBL2;CALR;PDCD5;PDIA4;HSPE1;P4HB;LMAN1;CSNK2A1;CLU;PPIA;HSPA2;VAPA;PPIB;CHCHD4;HSPD1;BAG2;NGLY1;FKBP4;SH3GLB1;HSPA9
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Interaction,-2.003,0.003023,34,Reactome,TRUE,Hsp90 Chaperone Cycle For Steroid Hormone Receptors ...,Blunted,2.3606179065380637,DCTN5;DYNC1LI1;DYNC1H1;DYNC1I2;DCTN1;DYNC1LI2;HSPA8;DNAJA1;DYNLL1;FKBP4;DCTN2;TUBB2A;TUBB4B;STIP1;TUBB6;HSPA2;TUBA1B;HSP90AB1;DCTN6;DNAJA2
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Training_Old,1.459,0.2359,34,Reactome,FALSE,Hsp90 Chaperone Cycle For Steroid Hormone Receptors ...,Blunted,2.3606179065380637,DCTN3;DNAJA4;DCTN2;TUBA1B;ACTR1A;TUBB6;DNAJA2;TUBA4A;DYNC1H1;TUBB2A;TUBA8;DYNC1I2;DCTN1;HSP90AB1;DCTN6;DYNC1LI1;DCTN4;CAPZA1;CAPZB;DNAJA1
