gene,n_miss,pct_miss,mean_intensity,classification,group_miss_pval
MMP24OS,25,40.32258064516129,16.321770897340123,MNAR,4.997501249375312e-4
ESYT2,18,29.03225806451613,17.098650595362855,MNAR,4.997501249375312e-4
ILVBL,17,27.419354838709676,17.002504397661998,MNAR,0.079960019990005
FSD2,6,9.67741935483871,17.97814975810267,MAR,NA
TARS3,22,35.483870967741936,15.48939782587272,MNAR,4.997501249375312e-4
VWA8,34,54.83870967741935,21.47818511719537,MNAR,4.997501249375312e-4
CARNS1,9,14.516129032258066,20.23353769295833,MAR,NA
MAP1LC3B2,31,50,20.717490739315913,MNAR,4.997501249375312e-4
PGP,0,0,23.020117452198345,Complete,NA
DHRS7C,0,0,21.641342562227027,Complete,NA
SMTNL1,0,0,23.41462142695677,Complete,NA
NUDT19,19,30.64516129032258,17.111583042032816,MNAR,0.3613193403298351
NACA,0,0,23.684780525636413,Complete,NA
SLC35A4,11,17.741935483870968,18.62197126387633,MAR,NA
PDLIM1,0,0,22.347141213884665,Complete,NA
MYO1C,12,19.35483870967742,18.5207959037453,MAR,NA
FXYD1,6,9.67741935483871,19.844452967574366,MAR,NA
STXBP3,9,14.516129032258066,18.29387534037128,MAR,NA
NDUFS8,0,0,22.64451350364609,Complete,NA
PSMD11,0,0,21.83261232871907,Complete,NA
PSMD12,0,0,20.5520090426159,Complete,NA
PSMD9,0,0,18.078684053184734,Complete,NA
PGRMC1,30,48.38709677419355,18.945299243914537,MNAR,0.24087956021989004
CLIC1,1,1.6129032258064515,19.374852083696865,MAR,NA
EIF3F,0,0,19.653754068548995,Complete,NA
PDHX,0,0,23.416767717035135,Complete,NA
DCTN6,33,53.2258064516129,15.850289511233024,MNAR,0.04997501249375312
IPO5,0,0,21.672215997050895,Complete,NA
EEF2K,12,19.35483870967742,16.354049658869478,MNAR,0.014492753623188406
EML1,0,0,20.48896541039036,Complete,NA
DNM1L,0,0,20.244950247832413,Complete,NA
RTCA,0,0,20.840617685962084,Complete,NA
NDUFA4,0,0,26.111192477359143,Complete,NA
PSMD14,0,0,20.67642448925529,Complete,NA
BIN1,0,0,26.344461960250005,Complete,NA
KPNA3,1,1.6129032258064515,21.023140149856378,MAR,NA
DDX3X,0,0,19.596587337985405,Complete,NA
KPNA4,0,0,22.958610078088306,Complete,NA
CES2,11,17.741935483870968,20.520099562750566,MAR,NA
FBP2,0,0,26.001692314334438,Complete,NA
PDXK,0,0,19.2753351058978,Complete,NA
SDHD,0,0,23.23884205159438,Complete,NA
COX7A2L,29,46.774193548387096,16.51417325676416,MNAR,0.00399800099950025
GAPDHS,24,38.70967741935484,19.65657842077361,MNAR,0.05647176411794103
HSPB6,0,0,27.08194341913435,Complete,NA
NDUFAB1,0,0,23.429368407319327,Complete,NA
IMPA2,0,0,22.356024831765286,Complete,NA
PDCD5,0,0,20.864244213374338,Complete,NA
PRMT5,1,1.6129032258064515,20.04597993688854,MAR,NA
PSMA7,0,0,23.6552137323145,Complete,NA
OPLAH,5,8.064516129032258,18.9451083577061,MAR,NA
MGST3,0,0,24.536769202835565,Complete,NA
RGS12,3,4.838709677419355,20.555208734623204,MAR,NA
HAT1,18,29.03225806451613,18.910061328294688,MAR,NA
UQCRQ,0,0,25.01447083329647,Complete,NA
MYL12B,0,0,21.002867479101024,Complete,NA
UQCR11,1,1.6129032258064515,21.527125100455184,MAR,NA
CASQ2,0,0,25.64672964483922,Complete,NA
HGS,16,25.806451612903224,16.349315748130763,MNAR,0.013993003498250875
HNRNPDL,0,0,18.6473750902593,Complete,NA
XPO1,1,1.6129032258064515,18.79397998408404,MAR,NA
ATP2A1,0,0,28.306311430351034,Complete,NA
SYNJ2,0,0,22.902158846414668,Complete,NA
SYNM,0,0,21.165489251146624,Complete,NA
ARPC1B,13,20.967741935483872,17.155336255502114,MNAR,0.02948525737131434
ARPC2,39,62.903225806451616,16.832559662518516,MNAR,4.997501249375312e-4
PGRMC2,0,0,21.233548682383745,Complete,NA
PFDN6,0,0,20.45926989645674,Complete,NA
NDUFA1,15,24.193548387096776,20.913622378562724,MAR,NA
SURF4,2,3.225806451612903,24.39673575555504,MAR,NA
MAPK13,40,64.51612903225806,19.485997867759963,MNAR,4.997501249375312e-4
TCAP,0,0,20.986827139719928,Complete,NA
PMM2,4,6.451612903225806,17.939662507025375,MAR,NA
EIF3D,4,6.451612903225806,18.86763768161993,MAR,NA
EIF3H,14,22.58064516129032,15.828943928671224,MNAR,0.0069965017491254375
BCAT2,1,1.6129032258064515,20.954590434315563,MAR,NA
STX7,7,11.29032258064516,17.039613990439868,MAR,NA
SLC16A3,3,4.838709677419355,20.293807482779993,MAR,NA
YKT6,4,6.451612903225806,19.021722925454366,MAR,NA
ARPC5,24,38.70967741935484,17.792340120630172,MNAR,0.0944527736131934
TAPBP,34,54.83870967741935,15.366010895466669,MNAR,9.995002498750624e-4
DHX15,19,30.64516129032258,16.62317283978454,MNAR,0.037481259370314844
CYB5B,4,6.451612903225806,21.284902960456865,MAR,NA
NDUFS4,0,0,24.695432705640936,Complete,NA
DYNC1LI2,9,14.516129032258066,16.669732358600413,MNAR,0.02048975512243878
PSMD3,0,0,19.989198444221564,Complete,NA
RASA4,18,29.03225806451613,19.744009704530473,MAR,NA
HNRNPR,1,1.6129032258064515,19.251803387793245,MAR,NA
TXNL1,0,0,21.097390184085643,Complete,NA
TPD52L2,1,1.6129032258064515,19.98749402315243,MAR,NA
ERI3,8,12.903225806451612,18.918959888197787,MAR,NA
AKR7A2,0,0,21.108419448140868,Complete,NA
LAT,0,0,24.530033905444096,Complete,NA
DENR,0,0,20.954403944488845,Complete,NA
DNPH1,1,1.6129032258064515,21.723303545509342,MAR,NA
TIMM44,0,0,20.845785400974865,Complete,NA
TRAPPC3,43,69.35483870967742,16.108324941399367,MNAR,0.006496751624187906
CHMP2A,1,1.6129032258064515,19.420413682910834,MAR,NA
NDUFB5,0,0,23.458916660178602,Complete,NA
NDUFB3,0,0,23.911759498629664,Complete,NA
NDUFA2,0,0,24.5529791193806,Complete,NA
BUB3,28,45.16129032258064,16.0520710312294,MNAR,4.997501249375312e-4
ACTN4,0,0,24.39697576505684,Complete,NA
GSTZ1,12,19.35483870967742,19.946673206288807,MAR,NA
PRKAB2,0,0,19.8986649738771,Complete,NA
AP1G1,30,48.38709677419355,16.55654909712602,MNAR,4.997501249375312e-4
SYNGR2,11,17.741935483870968,20.204464998002695,MAR,NA
SGTA,0,0,22.270347645569803,Complete,NA
ENSA,3,4.838709677419355,21.59603273188457,MAR,NA
SLC25A20,0,0,20.90547483067009,Complete,NA
NARS1,5,8.064516129032258,20.29787220421072,MAR,NA
LANCL1,0,0,21.536497402218483,Complete,NA
SLC37A4,2,3.225806451612903,18.56179341710113,MAR,NA
IDH3B,0,0,22.761633592011677,Complete,NA
CALU,0,0,21.563567808245065,Complete,NA
AHCYL1,0,0,19.536637140637318,Complete,NA
NDUFS5,0,0,22.68659721060378,Complete,NA
TIMM8A,14,22.58064516129032,19.694832366711356,MAR,NA
PPP1R12B,29,46.774193548387096,15.585999479324407,MNAR,0.24037981009495252
PRPSAP2,4,6.451612903225806,22.9581706367914,MAR,NA
SPAG9,9,14.516129032258066,15.833734336869869,MNAR,0.11794102948525736
OPA1,0,0,21.039779047567645,Complete,NA
TBC1D4,17,27.419354838709676,17.52292327253825,MNAR,0.0029985007496251873
SNX3,0,0,20.76773889125087,Complete,NA
SYNCRIP,11,17.741935483870968,18.608920300695296,MAR,NA
SELENOF,42,67.74193548387096,13.632429676724438,MNAR,9.995002498750624e-4
KLHL41,0,0,25.34062689264519,Complete,NA
PLIN3,0,0,23.653682170907352,Complete,NA
KPNA6,17,27.419354838709676,19.994000827565827,MAR,NA
SNX2,4,6.451612903225806,19.084794657088597,MAR,NA
USO1,0,0,22.558281828957746,Complete,NA
TOM1,0,0,22.498798583324724,Complete,NA
PFKFB2,7,11.29032258064516,20.00053943686073,MAR,NA
EDF1,0,0,20.02199902110298,Complete,NA
DNAJA2,0,0,22.855391747453638,Complete,NA
CUTA,0,0,21.95093380316781,Complete,NA
PFDN1,4,6.451612903225806,19.51127205905644,MAR,NA
NOL3,0,0,21.62926879580469,Complete,NA
WDR1,0,0,23.684079456428645,Complete,NA
LDB3,0,0,27.057603167223956,Complete,NA
CLASP2,20,32.25806451612903,17.039157856226137,MNAR,4.997501249375312e-4
COBL,32,51.61290322580645,17.822993331423174,MNAR,0.031984007996002
CPNE3,1,1.6129032258064515,19.02537075243746,MAR,NA
CLUH,34,54.83870967741935,17.21690434260342,MNAR,0.013493253373313344
CAND2,0,0,22.95106668900291,Complete,NA
COQ9,0,0,25.040792699881745,Complete,NA
GGCT,0,0,20.969724189857754,Complete,NA
NDUFS7,0,0,22.692088954946474,Complete,NA
RTN2,0,0,25.93743208639116,Complete,NA
NDUFS2,0,0,24.603951355881325,Complete,NA
NIPSNAP2,0,0,25.824202710823048,Complete,NA
CILP,36,58.06451612903226,17.966301205212403,MNAR,4.997501249375312e-4
TBCA,0,0,21.553034684722252,Complete,NA
ATP6V1G1,9,14.516129032258066,16.8831008177337,MAR,NA
VPS4B,25,40.32258064516129,18.866901373471535,MNAR,0.0024987506246876563
SH3BGRL,7,11.29032258064516,17.089184252074066,MAR,NA
FLNB,0,0,25.565636808887433,Complete,NA
NDUFS6,0,0,24.38084217534695,Complete,NA
CS,0,0,26.51225378355643,Complete,NA
SEC22B,0,0,18.326618473276014,Complete,NA
MTX2,0,0,21.491386905721654,Complete,NA
VPS26A,5,8.064516129032258,18.690602449948866,MAR,NA
NDUFB1,4,6.451612903225806,23.13539043091336,MAR,NA
PMPCB,10,16.129032258064516,20.031275569169892,MAR,NA
NDUFS3,0,0,24.00583250197628,Complete,NA
ECI2,0,0,23.712928248964566,Complete,NA
BANF1,0,0,22.836226233391464,Complete,NA
CSDE1,0,0,19.5785946202732,Complete,NA
PRKRA,12,19.35483870967742,18.339649251389503,MAR,NA
LYPLA1,0,0,21.834412566730858,Complete,NA
TIPRL,4,6.451612903225806,19.90543169821267,MAR,NA
PPM1B,5,8.064516129032258,17.82046553890236,MAR,NA
SLC25A12,0,0,25.128094026679864,Complete,NA
TCEA3,26,41.935483870967744,17.482383008635157,MNAR,4.997501249375312e-4
EIF3G,0,0,19.875816085478654,Complete,NA
EIF3J,0,0,22.850389797427077,Complete,NA
PSMD10,6,9.67741935483871,20.66905928538577,MAR,NA
IDH1,0,0,22.6089509463041,Complete,NA
SCO1,20,32.25806451612903,22.878369218960504,MAR,NA
ALDH1L1,0,0,21.302569139133308,Complete,NA
ARL6IP5,0,0,24.28517616846086,Complete,NA
DYSF,0,0,23.22547632678095,Complete,NA
PIAS2,0,0,23.96550521845034,Complete,NA
DCTN3,28,45.16129032258064,17.20430054076372,MNAR,0.01249375312343828
ATP5PD,0,0,26.126183904742465,Complete,NA
FLOT1,5,8.064516129032258,18.98897766915705,MAR,NA
ATP5MG,0,0,26.00324250857913,Complete,NA
GLRX3,0,0,18.917943866032836,Complete,NA
SNCG,40,64.51612903225806,16.026780191182763,MNAR,4.997501249375312e-4
DDAH1,0,0,22.32109177914105,Complete,NA
TPPP,40,64.51612903225806,16.034725313088174,MNAR,4.997501249375312e-4
BAIAP3,2,3.225806451612903,23.087398337045,MAR,NA
