gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
PLIN4,-0.2877,1.833,0.296865,0.39822,NS
MSN,0.2478,2.1157,0.299026,0.341558,NS
NGLY1,0.2799,1.8481,0.303893,0.396954,NS
RPS3A,0.2682,1.9188,0.305805,0.384224,NS
ATPAF2,-0.3245,1.5851,0.305952,0.447459,NS
ADK,0.2996,1.6901,0.311601,0.447459,NS
MVP,0.434,1.1645,0.312319,0.576037,NS
MMAB,-0.2853,1.766,0.313442,0.411563,NS
NUDT2,0.467,1.0751,0.314702,0.609348,NS
TGFBI,-0.4506,1.1101,0.316063,0.59869000000000006,NS
TAGLN2,0.2321,2.1527,0.316466,0.341558,NS
MYH9,0.3291,1.513,0.317719,0.463446,NS
SYPL2,-0.2931,1.6916,0.319255,0.447459,NS
CRELD1,0.414,1.1957,0.319848,0.558081,NS
C6orf136,-0.553,0.889,0.322384,0.683065,NS
TSN,-0.2715,1.8046,0.323587,0.400177,NS
PPIB,0.3002,1.6232,0.325632,0.447459,NS
XIRP1,0.4334,1.1143,0.328903,0.59869000000000006,NS
CARM1,0.4086,1.1731,0.331639,0.571499,NS
GSTO1,-0.2647,1.8067,0.332504,0.400177,NS
ACADS,-0.34,1.3888,0.337125,0.514645,NS
DMAC2L,-0.2981,1.5785,0.338361,0.447459,NS
SNCG,0.3808,1.2202,0.343057,0.555842,NS
MYH2,0.4831,0.9428,0.350342,0.661154,NS
UBAP2L,0.4472,1.0098,0.353524,0.635411,NS
CTTN,0.4012,1.1236,0.354146,0.597597,NS
GPC1,-0.2842,1.5729,0.35723,0.447459,NS
RPS2,0.2704,1.6431,0.359435,0.447459,NS
PPBP,0.41,1.0829,0.35981,0.60643,NS
SND1,0.2764,1.5918,0.363104,0.447459,NS
DTNA,-0.2116,2.0738,0.36415,0.353617,NS
PMPCA,0.3118,1.4029,0.365225,0.514521,NS
PLIN5,-0.3912,1.1164,0.365852,0.59869000000000006,NS
AGK,0.3102,1.4068,0.366074,0.513876,NS
SLC25A24,0.2292,1.9011,0.366699,0.384224,NS
MYH11,0.4532,0.9599,0.36723,0.654846,NS
VPS29,0.3634,1.1875,0.370208,0.559573,NS
RPS13,0.3072,1.3965,0.372382,0.514645,NS
TUBB,0.2123,2.0007,0.376115,0.37428,NS
SEC61B,-0.4881,0.867,0.377446,0.683065,NS
RPS17,0.2656,1.5839,0.379654,0.447459,NS
MAPK1,0.2027,2.0647,0.381449,0.353617,NS
IGKC,0.3679,1.1202,0.38713,0.59869000000000006,NS
ARIH1,-0.2853,1.4409,0.388006,0.493164,NS
SMPX,0.2926,1.4009,0.38907,0.514521,NS
AAMDC,-0.2754,1.485,0.38991,0.475815,NS
SET,0.2999,1.3405,0.396266,0.530201,NS
IDH3A,0.2249,1.7861,0.396569,0.406654,NS
SELENBP1,-0.2524,1.5847,0.398185,0.447459,NS
ECHDC3,-0.3501,1.141,0.398626,0.582805,NS
PRKG1,-0.2853,1.3742,0.405416,0.517433,NS
CAV2,0.3582,1.0929,0.406001,0.603062,NS
ALDH1B1,0.4062,0.9565,0.408722,0.654846,NS
CAP1,0.2859,1.3583,0.408941,0.52026,NS
SHMT2,0.2956,1.3095,0.410075,0.542523,NS
RAD23A,-0.1873,2.0524,0.412695,0.353617,NS
AP1B1,0.2495,1.5387,0.413196,0.459417,NS
PDIA4,0.3013,1.2726,0.413645,0.551119,NS
CPNE1,-0.2628,1.4476,0.416407,0.493164,NS
PPP1R14B,0.2869,1.3204,0.418028,0.537797,NS
PSME2,0.2855,1.3265,0.418107,0.534839,NS
CUTA,-0.2911,1.294,0.42005,0.543852,NS
CBR1,0.2351,1.601,0.420306,0.447459,NS
PHKA1,0.227,1.6512,0.421868,0.447459,NS
ERI3,-0.2739,1.3655,0.422657,0.517433,NS
DNAJA4,0.3052,1.2245,0.422973,0.554022,NS
RPS16,0.2516,1.4598,0.42919,0.493164,NS
BCO2,-0.3848,0.9529,0.429866,0.654846,NS
IGHV3-7,0.3637,1.005,0.431028,0.640094,NS
RBKS,-0.282,1.2933,0.431812,0.543852,NS
RTCA,-0.2196,1.6592,0.432144,0.447459,NS
AKAP12,0.2728,1.3251,0.435044,0.534839,NS
HSPB2,0.2619,1.3749,0.436364,0.517433,NS
PVALB,-0.6518,0.5509,0.437413,0.835626,NS
HSPE1,0.2146,1.6633,0.439574,0.447459,NS
PHKB,0.2262,1.5689,0.441609,0.447459,NS
ATP2A2,-0.2192,1.6193,0.441623,0.447459,NS
DCTN3,0.287,1.2344,0.442362,0.553678,NS
FBN1,-0.3804,0.9301,0.442766,0.661154,NS
CD99,0.3004,1.1748,0.443696,0.571499,NS
S100A16,0.4431,0.7931,0.445182,0.71432,NS
KIF5B,0.2132,1.6466,0.445522,0.447459,NS
BDH1,-0.32,1.096,0.445892,0.603062,NS
SGCD,-0.2075,1.6904,0.445931,0.447459,NS
RPS19,0.2207,1.5869,0.446399,0.447459,NS
GFM1,-0.2279,1.5132,0.451985,0.463446,NS
USP24,-0.2504,1.3432,0.460991,0.529851,NS
GSTM1,0.5979,0.5617,0.461486,0.835626,NS
MYL1,0.4079,0.8202,0.462897,0.702857,NS
OXCT1,-0.3408,0.9782,0.464131,0.651779,NS
VWA8,-0.2898,1.1449,0.465873,0.581404,NS
NME2,0.1971,1.6785,0.466896,0.447459,NS
RPSA,0.2104,1.5651,0.468446,0.447459,NS
GSTP1,-0.1995,1.6241,0.474183,0.447459,NS
GBE1,0.2462,1.3066,0.476769,0.542523,NS
CCT5,0.1614,1.9781,0.479487,0.380906,NS
CAPN2,0.2027,1.5656,0.481617,0.447459,NS
ARMT1,-0.2616,1.2123,0.481865,0.557793,NS
EEF1G,0.1647,1.9224,0.48247,0.384224,NS
UNC45B,0.2082,1.5101,0.484811,0.463446,NS
FAM185A,-0.3236,0.9704,0.485238,0.654574,NS
TES,0.3648,0.8595,0.485823,0.684804,NS
UBE2V2,-0.1639,1.8921,0.489681,0.384224,NS
RPL23A,0.2541,1.2161,0.490829,0.555842,NS
AKT2,0.2566,1.1946,0.493754,0.558081,NS
ANKRD2,0.3283,0.9333,0.493883,0.661154,NS
ATXN10,0.2193,1.3955,0.494288,0.514645,NS
RNPEP,-0.2226,1.3718,0.495004,0.517433,NS
CPA3,-0.3088,0.9848,0.496511,0.64815,NS
FUNDC2,-0.202,1.4963,0.498582,0.470026,NS
CPT1B,-0.2378,1.269,0.499168,0.551674,NS
PDLIM5,-0.2512,1.2,0.499459,0.558081,NS
TWF2,0.2642,1.137,0.500714,0.585981,NS
MRPS18A,0.3147,0.9545,0.500755,0.654846,NS
MYL9,0.4222,0.706,0.503427,0.756765,NS
CCT4,0.1721,1.7264,0.504611,0.431443,NS
SH3BGRL3,0.2348,1.262,0.505418,0.552906,NS
ALDH1A1,-0.2491,1.1881,0.50595,0.559573,NS
HNRNPU,-0.2248,1.3054,0.508877,0.542523,NS
DBI,-0.2358,1.2357,0.511268,0.553678,NS
RPS7,0.2797,1.041,0.51147,0.625216,NS
RPS18,0.2146,1.3545,0.512023,0.521969,NS
DYNLRB1,0.2366,1.2274,0.512411,0.554022,NS
PTCD3,0.2386,1.2161,0.512695,0.555842,NS
ERP44,-0.3605,0.8046,0.512812,0.71225,NS
CAVIN2,-0.2025,1.4292,0.513632,0.494108,NS
CLIC4,0.2517,1.1494,0.513692,0.581404,NS
RAB35,0.2499,1.1566,0.514005,0.581404,NS
PEBP1,-0.1801,1.6005,0.514857,0.447459,NS
HSPB6,0.2803,1.0212,0.517303,0.635411,NS
IDH3G,0.238,1.2021,0.517535,0.558081,NS
SCO1,0.2707,1.0565,0.517683,0.623419,NS
TSG101,-0.1975,1.4441,0.518569,0.493164,NS
HAGH,-0.183,1.552,0.519959,0.456439,NS
MYO6,0.2643,1.0728,0.520532,0.61049,NS
PPP1R7,-0.2036,1.3878,0.521642,0.514645,NS
RNF114,-0.2053,1.3687,0.523663,0.517433,NS
EIF4H,-0.1916,1.4598,0.525151,0.493164,NS
NRAP,0.3334,0.8382,0.525478,0.69598,NS
CRIP2,0.2814,0.992,0.525884,0.64815,NS
RPL12,0.3218,0.8667,0.526105,0.683065,NS
CAMK2B,0.2178,1.2782,0.526785,0.547798,NS
