gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
IFT81,-1.4638,4.5735,0,0.004056,Down
ALDH1B1,1.2088,4.9275,1e-6,0.003312,Up
CCDC137,-1.6349,3.7297,1e-6,0.013989,Down
SSU72,-0.9348,6.3406,1e-6,7.19e-4,Down
FLT1,-1.6629,3.2158,4e-6,0.021566,Down
S100A13,1.1115,4.6963,6e-6,0.003312,Up
COL4A1,-1.3968,3.5153,1.2e-5,0.015637,Down
S100A4,1.015,4.7299,1.6e-5,0.003312,Up
S100A6,1.174,3.3747,1.09e-4,0.017598,Up
NECTIN1,2.5396,1.5054,1.5e-4,0.173882,Up
PLEKHF1,-0.8074,4.465,2.48e-4,0.004288,Down
XIRP1,-0.9143,3.6002,5.11e-4,0.015388,Down
GPT2,1.8669,1.7548,5.3e-4,0.12675,Up
SLC25A46,0.8788,3.6913,5.7e-4,0.014429,Up
VARS1,0.525,5.9177,7.82e-4,7.19e-4,Up
ART3,-0.7703,4.0266,7.92e-4,0.009094,Down
UCHL1,0.8543,3.5469,9.33e-4,0.015637,Up
FARSB,0.6058,4.8553,0.001145,0.003312,Up
DYNC1LI1,0.6381,4.5137,0.001317,0.004288,Up
CTSG,-2.0981,1.365,0.001368,0.213964,Down
GLRX3,0.5413,5.2816,0.001384,0.001965,Up
H1-0,-0.6743,4.1961,0.001481,0.00677,Down
MSN,0.4705,5.8831,0.001705,7.19e-4,Up
RPA2,-0.9608,2.8592,0.00179,0.032672,Down
FSCN1,0.7074,3.7886,0.002088,0.013309,Up
TOMM22,-0.747,3.5715,0.002147,0.015418,Down
COL4A2,-0.9791,2.7237,0.002154,0.039011,Down
UTP15,-1.1285,2.3517,0.002219,0.061051,Down
COL3A1,-1.1307,2.3259,0.002345,0.063973,Down
RPS11,0.4916,5.2561,0.002607,0.001965,Up
CARNS1,0.7759,3.3297,0.002609,0.018435,Up
COL1A2,-1.2317,2.0312,0.003149,0.08683,Down
MYH3,-1.2199,2.0229,0.003406,0.087388,Down
FBN1,-0.8338,2.9196,0.003677,0.03011,Down
DYNC1H1,0.408,5.869,0.004029,7.19e-4,Up
MSRB3,-1.2055,1.9693,0.004227,0.093947,Down
MYLK,-0.7665,3.0504,0.004589,0.025944,Down
COL1A1,-1.0776,2.1649,0.004646,0.079073,Down
JPT2,0.9004,2.5882,0.004673,0.044638,Up
GNAS,-0.4809,4.7356,0.005278,0.003312,Down
CD81,-0.8205,2.7605,0.005432,0.037297,Down
LAMC1,-0.8156,2.7328,0.005905,0.038582,Down
PSME2,0.6117,3.5965,0.006311,0.015388,Up
ADH1B,-0.8158,2.6797,0.006515,0.041564,Down
HSPB6,0.619,3.5213,0.006613,0.015637,Up
NDUFA3,-0.6028,3.572,0.007026,0.015418,Down
MYBPH,1.1059,1.9135,0.007654,0.100455,Up
SNU13,-0.5089,4.1092,0.008102,0.007876,Down
DYNLT1,0.4339,4.6938,0.009194,0.003312,Up
AKR1C3,0.6494,3.1344,0.009213,0.024015,Up
MYL2,-0.8502,2.3105,0.010853,0.064886,Down
EZR,0.6414,2.9675,0.012496,0.028653,Up
CCT6A,0.3878,4.7371,0.014546,0.003312,Up
SLC20A2,-1.0441,1.7092,0.01642,0.136222,Down
MAOA,-0.5057,3.4829,0.017322,0.0159,Down
USP9X,0.416,4.2001,0.017888,0.00677,Up
S100A11,0.5494,3.1045,0.019694,0.024535,Up
SERPINH1,0.907,1.8485,0.021063,0.10934,Up
PSME1,0.3726,4.4744,0.021515,0.004288,Up
NID1,-0.7482,2.2224,0.021734,0.073674,Down
HSPB1,0.524,3.0699,0.024629,0.025234,Up
UBE2B,-0.6203,2.5674,0.02555,0.044643,Down
DYNC1I2,0.3643,4.3021,0.027081,0.005894,Up
ABCE1,0.4528,3.4169,0.028358,0.016638,Up
NDUFA6,-0.5088,3.0403,0.028377,0.026195,Down
HPRT1,0.5118,3.0228,0.028383,0.026255,Up
MYL3,-0.8047,1.9125,0.028902,0.100455,Down
EMD,-0.4257,3.613,0.028974,0.015388,Down
NDUFS7,-0.5399,2.8193,0.030042,0.034671,Down
NDUFV2,-0.4516,3.3616,0.030325,0.017788000000000002,Down
DCTN5,0.544,2.7894,0.030388,0.036364,Up
FAM185A,-0.8719,1.7397,0.030424,0.129982,Down
F13A1,0.7356,2.0591,0.030564,0.084933,Up
CBR1,0.4004,3.771,0.030897,0.013348,Up
MAOB,-0.4089,3.6772,0.031355,0.014429,Down
UBE2I,-0.5001,3.0045,0.031438,0.026989,Down
WBP2,-0.382,3.8518,0.033764,0.012466,Down
FTH1,-0.6764,2.1521,0.03501,0.079263,Down
COX7B,-0.5736,2.524,0.035657,0.047492,Down
MICU2,-0.5505,2.6146,0.036368,0.044166,Down
UBN2,-0.8972,1.6022,0.036521,0.153037,Down
TMEM143,-0.4931,2.8546,0.039111,0.032672,Down
ANXA1,0.5767,2.4343,0.039463,0.055109,Up
COPS7B,0.8259,1.6959,0.039744,0.136827,Up
MT-CO3,-0.5278,2.6336,0.040729,0.043002,Down
TUBB6,0.4764,2.9092,0.041123,0.03013,Up
TOR1AIP1,-0.6167,2.2461,0.0412,0.071844,Down
ACP1,-0.3586,3.8201,0.04267,0.012876,Down
FARSA,0.4429,3.0918,0.04272,0.024599,Up
PEBP4,-0.6077,2.251,0.042873,0.071462,Down
COL6A1,-0.7339,1.8465,0.044137,0.10934,Down
HSPB7,0.4577,2.9524,0.044546,0.02888,Up
NFIC,-0.5049,2.666,0.045076,0.042107,Down
MGST3,-0.4094,3.2695,0.045878,0.019715,Down
MT-ND4,-0.5116,2.6108,0.046171,0.044166,Down
CALU,0.3894,3.4165,0.046739,0.016638,Up
SORBS1,-0.8092,1.6218,0.048709,0.150398,Down
TARS1,0.4435,2.9528,0.049039,0.02888,Up
RBM3,-0.6177,2.1194,0.049079,0.081191,Down
NDUFB6,-0.5078,2.5556,0.050384,0.045528,NS
TGFBI,-0.7861,1.6482,0.050628,0.146142,NS
CAPN2,0.3472,3.7196,0.051104,0.013989,NS
NDUFB7,-0.4705,2.7151,0.052796,0.039416,NS
PREX1,-0.5886,2.1664,0.053062,0.079073,NS
TMX2,-0.4978,2.5358,0.054649,0.046569,NS
LGALS3,0.4615,2.6915,0.057267,0.040824,NS
MT-ND1,-0.4476,2.7632,0.057971,0.037297,NS
FLNA,0.4815,2.5426,0.059666,0.046199,NS
G3BP2,-0.6095,2.0039,0.060063,0.089326,NS
FLNC,0.5072,2.4036,0.060382,0.057914,NS
VDAC3,-0.4031,3.0221,0.060518,0.026255,NS
JPH2,-0.354,3.4202,0.061542,0.016638,NS
GBE1,0.4098,2.9481,0.061938,0.02888,NS
RAB6A,0.4157,2.8928,0.062724,0.03094,NS
AP1M1,0.4423,2.6961,0.064189,0.040781,NS
NDUFB4,-0.4469,2.6358,0.066371,0.043002,NS
TPM4,0.4581,2.5713,0.06639,0.044643,NS
ACOT1,-0.576,2.0387,0.066945,0.085711,NS
GLUD1,0.3573,3.2734,0.067675,0.019715,NS
LMNB2,-0.5459,2.1361,0.068203,0.080031,NS
NDUFS6,-0.4203,2.735,0.070889,0.038582,NS
YBX1,0.3705,3.0991,0.071075,0.024535,NS
NIBAN1,-0.4421,2.5939,0.071327,0.044547,NS
LSM8,-0.5003,2.2822,0.072146,0.067715,NS
MT-ND3,-0.4787,2.3806,0.07251,0.059831,NS
ACTN3,-1.0077,1.1205,0.074278,0.30237000000000003,NS
WARS2,-1.1207,1.0038,0.074997,0.344531,NS
AKR1C1,0.4508,2.4877,0.0756,0.050619,NS
TOMM70,0.3697,3.0267,0.076016,0.026255,NS
HMOX1,-0.7257,1.5387,0.076441,0.16847,NS
MARCKS,0.4241,2.5977,0.079114,0.044547,NS
LRRC20,-0.3335,3.2965,0.079576,0.019475,NS
CAV2,-0.9511,1.1513,0.080358,0.288176,NS
DARS1,0.3467,3.148,0.081029,0.023669,NS
SLC16A3,-0.5302,2.0582,0.081062,0.084933,NS
H3-3A,-0.6609,1.6436,0.081981,0.146142,NS
ISOC1,-0.4887,2.1491,0.089069,0.079263,NS
HRC,0.302,3.4663,0.089804,0.016153,NS
TNNC1,-0.6412,1.6187,0.091657,0.150965,NS
BST2,-0.3728,2.7683,0.0929,0.037297,NS
VDAC1,-0.3131,3.2901,0.093275,0.019475,NS
MYLK2,-0.5077,2.0285,0.093359,0.086976,NS
PVALB,-0.8463,1.2106,0.094489,0.265631,NS
UBE3C,0.6492,1.5617,0.096881,0.162111,NS
NDUFB9,-0.392,2.5684,0.098434,0.044643,NS
LAMB2,-0.6624,1.5167,0.09892,0.171669,NS
PPP1R12B,0.5801,1.7285,0.099384,0.132058,NS
NDUFB10,-0.4031,2.484,0.099699,0.050619,NS
EHBP1L1,0.3423,2.921,0.099999,0.03011,NS
ME2,0.3904,2.5517,0.100907,0.045579,NS
CSRP3,0.4827,2.0401,0.103548,0.085711,NS
ANKRD2,0.5178,1.9003,0.103746,0.102134,NS
TRMT112,-0.6782,1.4418,0.105239,0.190846,NS
NDUFC2,-0.4636,2.1051,0.105677,0.08225,NS
DNAJA4,0.4581,2.1136,0.107581,0.081875,NS
