pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast,database,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,3.9046289251355897e-25,3.8941380613647777e-22,1.303093150865724,-0.7701330391753296,0,76,UQCRFS1;MT-CO1;CHCHD2;MT-ND5;COX5B;COX7A2;NDUFA1;NDUFA6;NDUFS2;COX6A2;NDUFA10;UQCRB;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;UQCRQ;NDUFV3;GHITM;CYC1;COX6C;UQCRH,Training_Young,GO:BP,1,90,123,106.5,1.5707963267948966,2.1467549799530254,1.858775653373961,ATP Synthesis Coupled Electron Transport
GOBP_ELECTRON_TRANSPORT_CHAIN,6.420672813462124e-25,3.8941380613647777e-22,1.2951230874100392,-0.7454722659282019,0,84,UQCRFS1;MT-CO1;CHCHD2;MT-ND5;COX5B;COX7A2;NDUFA1;NDUFA6;NDUFS2;COX6A2;NDUFA10;UQCRB;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;UQCRQ;NDUFV3;GHITM;CYC1;COX6C;UQCRH,Training_Young,GO:BP,2,126,159,142.5,2.199114857512855,2.775073510670984,2.48709418409192,Electron Transport Chain
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,2.7411597196542656e-24,1.1083422466468746e-21,1.2790339772504933,-0.8753301515004659,0,42,COQ9;PARK7;MT-ND4;NDUFA11;MT-ND3;NDUFAB1;NDUFA2;DLD;NDUFA3;NDUFS3;NDUFB7;NDUFS4;NDUFA9;NDUFA5;NDUFB1;NDUFB10;NDUFA8;NDUFV1;NDUFB4;NDUFS8;NDUFB3;NDUFA4;NDUFS1;NDUFB6;MT-ND1;NDUFS5;NDUFV2;NDUFS7;NDUFS6;NDUFB9;NDUFB8;SNCA;NDUFA7;NDUFC2;NDUFV3;MT-ND2;NDUFB5;NDUFA10;NDUFS2;NDUFA6;NDUFA1;MT-ND5,Training_Young,GO:BP,3,162,195,178.5,2.827433388230814,3.4033920413889422,3.115412714809878,Mitochondrial Electron Transport NADH To U...
GOCC_NADH_DEHYDROGENASE_COMPLEX,1.262343327515522e-21,2.8276490536347686e-19,1.2039752407526414,-0.8542535059235701,0,42,MT-ND4;NDUFA11;MT-ND3;NDUFAB1;NDUFA2;NDUFA3;NDUFS3;NDUFB7;NDUFS4;NDUFA9;NDUFA5;NDUFB1;NDUFB10;NDUFA8;NDUFV1;NDUFB4;NDUFS8;NDUFAF2;NDUFB3;NDUFA4;NDUFS1;NDUFB6;MT-ND1;NDUFA12;NDUFA13;NDUFS5;NDUFV2;NDUFS7;NDUFS6;NDUFB11;NDUFB9;NDUFB8;NDUFA7;NDUFC2;NDUFV3;MT-ND2;NDUFB5;NDUFA10;NDUFS2;NDUFA6;NDUFA1;MT-ND5,Training_Young,GO:CC,4,198,231,214.5,3.455751918948773,4.031710572106902,3.743731245527837,NADH Dehydrogenase Complex
GOCC_RESPIRATORY_CHAIN_COMPLEX,9.193807723167999e-21,1.0297064649948159e-18,1.1778932614941966,-0.7029731155767652,0,87,UQCRFS1;MT-CO1;MT-ND5;COX5B;ATP5F1B;COX7A2;NDUFA1;ATP5PF;NDUFA6;NDUFS2;COX6A2;NDUFA10;UQCRB;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;UQCRQ;NDUFV3;CYC1;NNT;COX6C;UQCRH;NDUFC2;MT-ATP8;COX8A;NDUFA7,Training_Young,GO:CC,5,234,267,250.5,4.084070449666731,4.6600291028248595,4.372049776245795,Respiratory Chain Complex
GOCC_OXIDOREDUCTASE_COMPLEX,4.656019762748707e-20,3.4764947561857016e-18,1.1601795718302144,-0.6744574209101248,0,100,IDH3B;IDH3A;IDH3G;UQCRFS1;MT-CO1;MT-ND5;COX5B;COX7A2;NDUFA1;NDUFA6;NDUFS2;COX6A2;NDUFA10;UQCRB;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;LDHA;UQCRQ;NDUFV3;CYC1;COX6C;UQCRH,Training_Young,GO:CC,6,270,303,286.5,4.71238898038469,5.288347633542818,5.000368306963754,Oxidoreductase Complex
GOBP_OXIDATIVE_PHOSPHORYLATION,1.5799718535536232e-20,4.791264645901362e-18,1.1690699667610949,-0.6713003208518885,0,104,SHMT2;UQCRFS1;MT-CO1;CHCHD2;STOML2;MT-ND5;COX5B;ATP5F1B;COX7A2;NDUFA1;ATP5PF;NDUFA6;NDUFS2;COX6A2;NDUFA10;UQCRB;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;UQCRQ;NDUFV3;GHITM;CYC1;COX6C;UQCRH;ATP5IF1;NDUFC2;MT-ATP8;COX8A;NDUFA7,Training_Young,GO:BP,7,306,339,322.5,5.340707511102648,5.916666164260777,5.6286868376817125,OXPHOS
GOBP_AEROBIC_RESPIRATION,4.73248436200559e-19,1.1481007062225562e-16,1.1239149637448316,-0.6147637075149137,0,129,IDH3B;IDH3A;SHMT2;IDH3G;FH;UQCRFS1;MT-CO1;CHCHD2;STOML2;MT-ND5;COX5B;ATP5F1B;COX7A2;IDE;NDUFA1;ATP5PF;NDUFA6;NDUFS2;COX6A2;NDUFA10;UQCRB;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;UQCRQ;NDUFV3;GHITM;CYC1;NNT;COX6C;UQCRH,Training_Young,GO:BP,8,342,375,358.5,5.969026041820607,6.544984694978735,6.257005368399671,Aerobic Respiration
GOBP_CELLULAR_RESPIRATION,2.507043778405431e-18,5.068406838676313e-16,1.1053365773140096,-0.5892524175358216,0,142,IDH3B;IDH3A;SHMT2;IDH3G;FH;UQCRFS1;MT-CO1;CHCHD2;STOML2;MT-ND5;COX5B;ATP5F1B;COX7A2;IDE;NDUFA1;ATP5PF;NDUFA6;NDUFS2;SLC25A13;COX6A2;CISD1;NDUFA10;UQCRB;COQ10A;COX6B1;UQCRC2;NDUFB5;MT-ND2;UQCRC1;UQCRQ;NDUFV3;GHITM;CYC1;NNT;COX6C;UQCRH,Training_Young,GO:BP,9,378,411,394.5,6.5973445725385655,7.173303225696695,6.885323899117631,Cellular Respiration
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,2.2742016820580773e-16,3.940866629052067e-14,1.0376961554875836,-0.7252957223406548,0,60,ATP5MF;MT-ND4;MT-ATP6;NDUFA11;ATP5PB;MT-ND3;SDHB;ATP5MG;SDHC;NDUFAB1;NDUFA2;NDUFA3;SDHD;ATP5F1D;ATP5PD;NDUFS3;ATP5F1E;NDUFB7;NDUFS4;NDUFA9;NDUFA5;NDUFB1;ATP5ME;SDHA;NDUFB10;NDUFA8;NDUFV1;NDUFB4;NDUFS8;NDUFB3;NDUFS1;NDUFB6;MT-ND1;ATP5PO;ATP5F1A;NDUFA12;NDUFA13;NDUFS5;NDUFV2;NDUFS7;NDUFS6;NDUFB11;ATP5F1C;NDUFB9;NDUFB8;NDUFA7;MT-ATP8;NDUFC2;ATP5IF1;NDUFV3;MT-ND2;NDUFB5;NDUFA10;NDUFS2;NDUFA6;ATP5PF;NDUFA1;ATP5F1B;MT-ND5;STOML2,Training_Young,GO:BP,10,414,447,430.5,7.225663103256523,7.801621756414653,7.513642429835588,Proton Motive Force Driven ATP Synthesis
