module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
brown,P35998,PSMC2,0.7791,0.6573,0.8613,8.825599098566603e-14,Training,0.2405,-0.0098,0.4625,0.059687056869792754,62
brown,P11142,HSPA8,0.7772,0.6545,0.86,1.1053868858605118e-13,Training,0.2145,-0.0373,0.4407,0.09409748410616622,62
brown,P45974,USP5,0.7755,0.652,0.8589,1.3642202938503255e-13,Training,0.325,0.0819,0.5316,0.009954516622717567,62
brown,P68104,EEF1A1,0.7741,0.6501,0.858,1.5955470578939136e-13,Training,0.198,-0.0545,0.4266,0.12298113086922308,62
brown,P48681,NES,0.7695,0.6434,0.855,2.727085457210311e-13,Training,0.2049,-0.0473,0.4326,0.11009120683805435,62
brown,P07437,TUBB,0.7692,0.643,0.8548,2.8154711508452415e-13,Training,0.4563,0.2331,0.6338,1.9372065004838625e-4,62
brown,Q99584,S100A13,0.7685,0.6419,0.8543,3.068629527699843e-13,Training,0.4768,0.2577,0.6492,8.942468271037127e-5,62
brown,Q9Y3A3,MOB4,0.7674,0.6404,0.8536,3.445273465965025e-13,Training,0.0784,-0.1748,0.3219,0.5445904268545674,62
brown,Q99832,CCT7,0.7658,0.6381,0.8525,4.1329274347880595e-13,Training,0.3447,0.1038,0.5473,0.006085311092736754,62
brown,Q00610,CLTC,0.7646,0.6363,0.8517,4.767617974548049e-13,Training,0.2773,0.0295,0.4929,0.02913696100102853,62
brown,P21333,FLNA,0.7593,0.6287,0.8482,8.558608458340869e-13,Training,0.2935,0.0472,0.5062,0.020580865404479447,62
brown,P06703,S100A6,0.7584,0.6274,0.8476,9.426468254706359e-13,Training,0.3915,0.1571,0.5841,0.0016538062880981001,62
brown,Q92616,GCN1,0.7576,0.6264,0.8471,1.0227922651391581e-12,Training,0.309,0.0642,0.5188,0.014524434945251142,62
brown,P09936,UCHL1,0.7544,0.6218,0.845,1.4405732723232838e-12,Training,0.2601,0.011,0.4787,0.04121318377120021,62
