module,gap_pre,gap_post,closure_pct,gap_closure_wilcox_p,gap_closure_pseudomedian,gap_closure_ci_lo,gap_closure_ci_hi
red,0.005,0.1368,-2616.5,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
brown,0.0872,0.1769,-102.9,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
turquoise,0.1306,0.1009,22.8,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
magenta,0.0043,0.0154,-259.6,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
blue,0.1813,0.1859,-2.6,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
black,0.1063,0.0715,32.8,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
yellow,7e-4,0.0349,-4654.1,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
green,0.1443,0.0394,72.7,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
pink,0.1063,0.0858,19.3,0.91015625,-0.004600000000000021,-0.06820000000000001,0.04690000000000001
