ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,contrast,database,pathway_label
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,9/20,103/1024,0.08737864077669903,4.47378640776699,5.244183346857517,4.9160450379684444e-5,8.357276564546355e-4,6.727219525641028e-4,COL1A1/COL3A1/TPM3/COL4A2/MYL3/MYL2/MYH7/ACTN2/ACTA1,9,Interaction,Hallmark,Myogenesis
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6/20,48/1024,0.125,6.4,5.40599236451879,1.8205002274038846e-4,0.0012171391976486489,9.797405306150113e-4,COL1A1/COL3A1/COL4A1/COL1A2/COL4A2/LAMC1,6,Interaction,Hallmark,Epithelial Mesenchymal Transition
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,4/20,17/1024,0.23529411764705882,12.047058823529412,6.479512771887301,2.1478927017329095e-4,0.0012171391976486489,9.797405306150113e-4,COL1A1/COL3A1/COL1A2/LAMC1,4,Interaction,Hallmark,UV Response Dn
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,9/41,42/2049,0.21428571428571427,10.709059233449477,9.082453015498073,5.655889553013912e-8,4.191014158783309e-5,3.893633439653788e-5,COL1A1/COL3A1/COL4A1/COL1A2/CTSG/COL4A2/LAMC1/NID1/CAV2,9,Interaction,GO:BP,Extracellular Matrix Organization
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,GOBP_BASEMENT_MEMBRANE_ORGANIZATION,5/41,13/2049,0.38461538461538464,19.22138836772983,9.415411472227083,2.8609760447824528e-6,0.0010599916245918987,9.847780701514337e-4,COL3A1/COL4A1/LAMC1/NID1/CAV2,5,Interaction,GO:BP,Basement Membrane Organization
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,13/41,159/2049,0.08176100628930817,4.086056143580303,5.788240039760971,5.932400697106627e-6,0.0014653029721853367,0.0013613298441781522,ACTN4/COL3A1/MYL3/UCHL1/MYL2/LAMC1/ACTN1/MYH7/NID1/ACTN2/CAV2/ACTA1/XIRP1,13,Interaction,GO:BP,Muscle Structure Development
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,8/38,34/1938,0.23529411764705882,12,9.149102219812141,1.269597662804563e-7,1.752044774670297e-5,1.6170664968352855e-5,CILP/COL1A1/COL3A1/COL4A1/COL1A2/COL4A2/LAMC1/NID1,8,Interaction,GO:MF,Extracellular Matrix Structural Constituent
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,5/38,12/1938,0.4166666666666667,21.25,9.948722502877057,1.5866089737386426e-6,1.0947601918796634e-4,1.0104193990651356e-4,COL1A1/COL3A1/COL4A1/COL1A2/COL4A2,5,Interaction,GO:MF,Extracellular Matrix Structural Constituen...
GOMF_GROWTH_FACTOR_BINDING,GOMF_GROWTH_FACTOR_BINDING,5/38,16/1938,0.3125,15.9375,8.482835127798433,8.262867672359673e-6,3.800919129285449e-4,3.508094695984282e-4,COL1A1/COL3A1/COL4A1/COL1A2/FLT1,5,Interaction,GO:MF,Growth Factor Binding
GOCC_COLLAGEN_TRIMER,GOCC_COLLAGEN_TRIMER,5/40,14/1879,0.35714285714285715,16.776785714285715,8.73635054278609,5.891743249138146e-6,8.012770818827879e-4,7.132110248956703e-4,COL1A1/COL3A1/COL4A1/COL1A2/COL4A2,5,Interaction,GO:CC,Collagen Trimer
