gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
COX5B,0.4303,1.777,0.171958,0.639482,NS
NDUFB5,0.4249,1.7879,0.173871,0.639482,NS
P3H4,0.6075,1.2441,0.175452,0.67699,NS
TNNT1,0.7556,0.9995,0.175695,0.728864,NS
MOB4,-0.4344,1.7357,0.176181,0.639482,NS
COX7B,0.5436,1.3659,0.180909,0.648533,NS
VARS1,-0.3707,1.9964,0.181949,0.604397,NS
USP24,-0.4858,1.5189,0.182863,0.639482,NS
MYH2,0.7145,1.0223,0.186041,0.728864,NS
F13A1,-0.6107,1.1848,0.188979,0.712371,NS
WBP2,0.3476,2.0807,0.189124,0.604397,NS
PPP1R12B,-0.6053,1.1879,0.190959,0.711058,NS
AP1M1,-0.4285,1.6703,0.19243,0.639482,NS
WARS2,0.9507,0.7515,0.19300899999999999,0.778541,NS
CRELD1,0.608,1.1703,0.194277,0.715825,NS
TNNI1,0.7096,0.9957,0.196521,0.73039,NS
LMNB2,0.5459,1.2877,0.198196,0.662623,NS
MICU2,0.4673,1.5036,0.198281,0.639482,NS
ACTB,0.6329,1.1036,0.200222,0.728181,NS
TAGLN,0.6456,1.0677,0.204473,0.728864,NS
EFEMP1,0.6231,1.1045,0.204989,0.728181,NS
TBC1D24,-0.5273,1.2813,0.211047,0.662623,NS
CSE1L,-0.2978,2.2607,0.212211,0.604397,NS
MRRF,0.4655,1.4345,0.214925,0.64413,NS
S100A4,-0.5772,1.1545,0.215574,0.717279,NS
MYBPC1,0.6747,0.983,0.217121,0.73039,NS
NDUFB4,0.4406,1.4902,0.220497,0.639482,NS
CLPTM1,-0.6441,0.9898,0.230355,0.73039,NS
ACTN3,0.9909,0.6426,0.230792,0.79774,NS
NDUFA10,0.4039,1.5636,0.233628,0.639482,NS
ISOC1,0.4518,1.3951,0.234271,0.648533,NS
FBLN2,0.7382,0.8534,0.234434,0.750334,NS
COX6C,0.4495,1.3932,0.236438,0.648533,NS
LAMTOR1,-0.3913,1.597,0.237174,0.639482,NS
CLTB,-0.3159,1.9665,0.239226,0.604397,NS
MACROH2A1,0.6536,0.9431,0.241903,0.73165,NS
THBS4,0.5501,1.119,0.242346,0.7249,NS
RPL32,0.6041,1.0118,0.244773,0.728864,NS
FARSA,-0.3981,1.5324,0.245461,0.639482,NS
NDUFV3,0.485,1.2538,0.246539,0.676924,NS
RPL22,0.4055,1.4939,0.247831,0.639482,NS
COX6A2,0.5593,1.0698,0.252173,0.728864,NS
H2BC4,0.631,0.9389,0.255579,0.73165,NS
PLIN2,-0.5758,1.0289,0.255616,0.728864,NS
NDUFA7,0.432,1.3711,0.255683,0.648533,NS
MT-CO3,0.4545,1.3003,0.256441,0.662623,NS
ABHD16A,-0.5789,1.0129,0.259169,0.728864,NS
SNRPA,0.3845,1.5223,0.259801,0.639482,NS
SND1,0.3922,1.4902,0.260366,0.639482,NS
EIF2S3,-0.3655,1.5636,0.268176,0.639482,NS
DYNC1H1,-0.2883,1.9815,0.268332,0.604397,NS
NDUFS5,0.4206,1.3552,0.269128,0.648533,NS
MYL12B,0.4138,1.3725,0.270437,0.648533,NS
REEP5,-0.3328,1.702,0.271382,0.639482,NS
HSPH1,1.3191,0.4283,0.272285,0.871825,NS
TMEM11,0.3125,1.799,0.274074,0.639482,NS
HNRNPL,0.3417,1.6371,0.275788,0.639482,NS
DCTN3,0.4832,1.1538,0.276983,0.717279,NS
DRG2,0.522,1.0679,0.277061,0.728864,NS
NOMO2,0.36,1.5474,0.277304,0.639482,NS
NUDT2,0.62,0.893,0.279466,0.73165,NS
NDUFB3,0.3978,1.387,0.280697,0.648533,NS
H1-0,0.438,1.2515,0.283042,0.676924,NS
RPS21,0.3545,1.5337,0.285936,0.639482,NS
MYH3,0.8119,0.6693,0.286149,0.789258,NS
TCEA3,0.4739,1.1457,0.286433,0.717279,NS
ECPAS,-0.2532,2.1418,0.28688,0.604397,NS
COL15A1,0.5211,1.0397,0.287235,0.728864,NS
MIEN1,0.4181,1.2918,0.288319,0.662623,NS
H3-3A,0.6162,0.876,0.288502,0.736786,NS
TPM1,0.647,0.8342,0.288576,0.750334,NS
NDUFB7,0.4148,1.2976,0.289594,0.662623,NS
UBAP2L,0.5682,0.9464,0.289907,0.73165,NS
G3BP2,0.5108,1.0447,0.292676,0.728864,NS
NDUFA12,0.4074,1.2984,0.295828,0.662623,NS
USP9X,-0.2968,1.7789,0.296478,0.639482,NS
RPS12,0.3437,1.5355,0.296671,0.639482,NS
NDUFS1,0.3533,1.4912,0.297238,0.639482,NS
GANAB,-0.2669,1.9737,0.297332,0.604397,NS
S100A6,-0.6423,0.8181,0.29821,0.751627,NS
TMLHE,0.534,0.9819,0.299023,0.73039,NS
SCO1,0.4394,1.1899,0.300002,0.711058,NS
LMNA,0.446,1.1686,0.30116,0.715825,NS
BANF1,0.4236,1.2219,0.303693,0.685979,NS
NDUFB10,0.3833,1.3333,0.308297,0.661092,NS
RPL31,0.3806,1.3361,0.310074,0.661092,NS
COX7A2,0.3855,1.3144,0.311334,0.661092,NS
TPM2,0.6245,0.8095,0.312228,0.752617,NS
MRPS36,-0.4459,1.1336,0.31226,0.717279,NS
PCYT2,-0.3927,1.2846,0.312964,0.662623,NS
LCP1,0.3423,1.4698,0.313969,0.640834,NS
CAP2,0.3354,1.4993,0.31416,0.639482,NS
PLEC,-0.3938,1.2672,0.316916,0.668141,NS
TFRC,-0.6229,0.7947,0.319924,0.756364,NS
PFKFB1,0.4847,1.0123,0.323076,0.728864,NS
DDAH2,-0.3378,1.4489,0.324007,0.640834,NS
CLEC3B,-0.4578,1.0686,0.324202,0.728864,NS
MAN2C1,-0.3975,1.2289,0.324767,0.682164,NS
BCO2,-0.5996,0.8012,0.330798,0.752617,NS
HEBP1,0.3236,1.4791,0.332202,0.640834,NS
UQCR11,0.4226,1.1295,0.333228,0.717279,NS
NDUFA8,0.365,1.2938,0.33705,0.662623,NS
MICOS10,0.4694,1.0002,0.339219,0.728864,NS
TMX2,0.4048,1.1483,0.342889,0.717279,NS
MAP1LC3B2,0.4773,0.9642,0.346523,0.73165,NS
TACC2,-0.3482,1.3167,0.347951,0.661092,NS
LAMB2,0.5734,0.7984,0.348449,0.753143,NS
PPP6R1,0.3367,1.3541,0.350029,0.648533,NS
GLRX3,-0.3253,1.3946,0.351829,0.648533,NS
PRMT5,-0.2688,1.6851,0.35245,0.639482,NS
MRPL53,0.4628,0.9711,0.355301,0.73039,NS
TOMM40,0.3135,1.4322,0.355572,0.64413,NS
NUBPL,0.4836,0.9271,0.356143,0.73165,NS
TWF2,0.3805,1.1748,0.357245,0.715825,NS
TIMM8A,0.4871,0.9163,0.357794,0.73165,NS
MRPS15,-0.5076,0.8777,0.35851,0.736786,NS
ARIH1,-0.4075,1.0867,0.360746,0.728864,NS
DYNC1I2,-0.275,1.6051,0.361881,0.639482,NS
NHLRC2,-0.3236,1.3643,0.361894,0.648533,NS
EZR,-0.4443,0.993,0.362074,0.73039,NS
ATP6V1G1,-0.2683,1.6416,0.362702,0.639482,NS
HRC,-0.2665,1.6455,0.364327,0.639482,NS
COQ10A,0.39,1.1233,0.364679,0.724212,NS
MPST,-0.2945,1.4814,0.366168,0.640834,NS
KPNB1,-0.2364,1.8449,0.366285,0.639482,NS
TNNT3,0.5735,0.7602,0.366434,0.775734,NS
PHKA2,0.3279,1.326,0.367407,0.661092,NS
RPS11,-0.3,1.4396,0.369885,0.643886,NS
MYO1C,-0.3579,1.2044,0.370607,0.70265,NS
GRB2,0.3043,1.4129,0.371648,0.648533,NS
EPM2A,0.4053,1.0576,0.372736,0.728864,NS
LAMA2,0.4586,0.9298,0.374622,0.73165,NS
PARP1,0.2891,1.4646,0.37726,0.640834,NS
MPP1,0.439,0.9568,0.380195,0.73165,NS
NFIC,0.3759,1.1155,0.380755,0.72742,NS
RPL23,0.3103,1.3512,0.380796,0.648533,NS
NDUFV1,0.3298,1.2682,0.381757,0.668141,NS
PYURF,0.4827,0.8577,0.385432,0.750334,NS
RAB6A,-0.3346,1.2362,0.385783,0.678161,NS
MT-ND5,0.4793,0.8615,0.38639,0.750334,NS
NIPSNAP3A,-0.5202,0.7895,0.388435,0.760802,NS
SNU13,0.3232,1.2695,0.388773,0.668141,NS
CCDC47,0.3016,1.358,0.38937,0.648533,NS
FAM185A,0.5483,0.7421,0.391869,0.778541,NS
DARS1,-0.2915,1.3941,0.392252,0.648533,NS
UBE2F,-0.4829,0.8414,0.392322,0.750334,NS
HDDC2,-0.3166,1.281,0.393044,0.662623,NS
HMOX1,0.5445,0.7414,0.394735,0.778541,NS
JPT2,-0.4868,0.8288,0.3949,0.750334,NS
PDPR,0.3943,1.0084,0.400347,0.728864,NS
ARHGDIB,-0.3571,1.1062,0.402644,0.728181,NS
EPRS1,-0.1977,1.9942,0.40333,0.604397,NS
TMOD4,0.5595,0.6944,0.408785,0.785124,NS
NDUFB11,0.3323,1.1565,0.412758,0.717279,NS
MRPL37,0.4114,0.9314,0.413823,0.73165,NS
NID2,0.5346,0.711,0.416764,0.785124,NS
NDUFAF4,0.4142,0.9157,0.417559,0.73165,NS
SLC27A1,-0.3717,1.0166,0.418954,0.728864,NS
AKR1C1,-0.3618,1.0416,0.419882,0.728864,NS
PLAA,-0.2458,1.5328,0.420028,0.639482,NS
PSME1,-0.2565,1.4521,0.424141,0.640834,NS
NDUFB8,0.3075,1.1959,0.428758,0.70895300000000006,NS
NDUFS8,0.3405,1.0789,0.429123,0.728864,NS
TOR1AIP1,0.4065,0.903,0.42945,0.73165,NS
STUB1,-0.2687,1.3483,0.434211,0.648533,NS
CYB5A,-0.3527,1.0093,0.440575,0.728864,NS
UBL4A,-0.3528,1.0068,0.441359,0.728864,NS
PAK1,-0.5394,0.6574,0.44193,0.791172,NS
TNNI2,0.517,0.6835,0.443236,0.785124,NS
RPL23A,0.327,1.0774,0.444268,0.728864,NS
COX7A1,0.344,1.0205,0.445627,0.728864,NS
YBX1,-0.2876,1.2194,0.445978,0.685979,NS
MRPS35,-0.3761,0.931,0.446545,0.73165,NS
MRPL9,0.4927,0.7104,0.446676,0.785124,NS
EEF1D,-0.217,1.6087,0.447546,0.639482,NS
TNNC2,0.4859,0.7149,0.449361,0.785124,NS
KRT18,0.4955,0.7009,0.44946,0.785124,NS
S100A11,-0.3569,0.9686,0.451131,0.73039,NS
SYPL1,0.2981,1.1579,0.451727,0.717279,NS
PMPCA,0.411,0.8364,0.453141,0.750334,NS
SORBS1,0.5091,0.6736,0.453986,0.788394,NS
ALDH1L1,-0.3066,1.1121,0.45608,0.728181,NS
PTER,-0.6134,0.55,0.459845,0.828364,NS
MYL6,0.4521,0.7429,0.461428,0.778541,NS
MT-CO2,0.3111,1.0749,0.463049,0.728864,NS
HSPG2,0.391,0.8534,0.463813,0.750334,NS
DBNL,-0.441,0.7562,0.464036,0.778541,NS
NIBAN1,0.3299,1.0005,0.467648,0.728864,NS
TLN2,-0.2746,1.2014,0.467866,0.703671,NS
JPH2,0.2626,1.2523,0.468988,0.676924,NS
KTN1,-0.3364,0.973,0.470651,0.73039,NS
FBN1,0.4534,0.7195,0.471828,0.783735,NS
U2AF2,0.3018,1.0785,0.472562,0.728864,NS
BIN1,-0.2005,1.6219,0.472965,0.639482,NS
COX7C,0.3456,0.9353,0.475071,0.73165,NS
S100A13,-0.4507,0.7084,0.479453,0.785124,NS
G3BP1,0.3969,0.803,0.480091,0.752617,NS
NDUFA9,0.3049,1.0453,0.480106,0.728864,NS
ADIPOQ,-0.2788,1.1428,0.48017,0.717279,NS
DHX15,-0.2912,1.0931,0.480445,0.728864,NS
MYL9,0.6518,0.4877,0.480982,0.853896,NS
CELF1,0.3354,0.9429,0.48274,0.73165,NS
VDAC2,0.2481,1.2746,0.4828,0.668141,NS
BROX,0.3564,0.8866,0.483046,0.73165,NS
VCAN,-0.275,1.1453,0.48426,0.717279,NS
SYNPO2L,0.4908,0.6402,0.485042,0.79774,NS
SEPTIN9,-0.3229,0.9685,0.486759,0.73039,NS
TIGAR,-0.4756,0.6571,0.486981,0.791172,NS
COPS7A,-0.2395,1.3023,0.487622,0.662623,NS
IL18,-0.4891,0.6323,0.490617,0.799609,NS
RNF123,-0.249,1.2402,0.491154,0.678161,NS
RPS5,0.27,1.1382,0.492807,0.717279,NS
NDUFS3,0.2845,1.0775,0.493732,0.728864,NS
CHCHD2,0.3766,0.813,0.494152,0.752617,NS
DNAJA1,-0.3595,0.8505,0.494571,0.750334,NS
COX5A,0.3032,1.003,0.496423,0.728864,NS
AHCY,-0.2137,1.4218,0.496753,0.648533,NS
MYH1,0.543,0.5585,0.497432,0.82757,NS
MAOA,0.3116,0.9723,0.497731,0.73039,NS
PPP1CC,0.4593,0.6515,0.502015,0.791172,NS
TARS1,-0.2902,1.031,0.502177,0.728864,NS
SEC61B,-0.5979,0.4961,0.505117,0.850937,NS
ACSL3,-0.2375,1.2487,0.505169,0.67699,NS
DYNC1LI2,-0.2793,1.0554,0.50729,0.728864,NS
PGAM5,-0.3344,0.8803,0.50769,0.736786,NS
RPL34,-0.4483,0.6543,0.508919,0.791172,NS
CAV1,0.2584,1.1346,0.509095,0.717279,NS
