gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
RPS7,1.4874,5.283,0,0.004411,Up
MYBPH,3.9953,4.1921,0,0.012431,Up
IDI1,-1.2222,5.2063,0,0.004411,Down
MUSTN1,2.1243,3.3213,0,0.026724,Up
SYNPO2L,1.9626,3.401,0,0.026006,Up
LRG1,-1.4966,3.8553,2e-6,0.019797,Down
ALDH6A1,-1.2966,4.4072,2e-6,0.010444,Down
LMOD2,2.5066,2.2657,2e-6,0.093869,Up
GPT2,-2.2703,2.5033,2e-6,0.073464,Down
ACTN2,2.4857,2.1278,5e-6,0.102487,Up
MICOS10,1.4851,3.5541,5e-6,0.024458,Up
TTN,1.754,2.971,6e-6,0.040529,Up
PLIN2,-1.5482,3.372,6e-6,0.026006,Down
HAT1,2.4458,2.1169,7e-6,0.102888,Up
DES,1.747,2.9643,7e-6,0.040529,Up
ACTN1,2.4584,2.0098,1.1e-5,0.116967,Up
ARHGAP1,1.0707,4.4952,1.5e-5,0.010444,Up
ACTN4,2.1593,2.2262,1.6e-5,0.098707,Up
THRB,1.9569,2.2939,3.2e-5,0.090124,Up
RPL24,1.0399,4.2281,4e-5,0.012431,Up
PTRH2,1.7388,2.5314,4e-5,0.071139,Up
PREX1,1.2946,3.3688,4.4e-5,0.026006,Up
HMGB2,-0.955,4.4139,6.1e-5,0.010444,Down
CTSZ,-1.0549,3.872,8.2e-5,0.019797,Down
PSMD7,0.8026,5.0799,8.4e-5,0.004426,Up
MT2A,-1.2488,3.2174,9.6e-5,0.030714,Down
CAMK2D,1.0634,3.7406,1.05e-4,0.022763,Up
OBSCN,1.1034,3.5328,1.26e-4,0.024458,Up
PLIN4,-0.9076,4.2579,1.37e-4,0.012431,Down
KLHL40,1.3892,2.6274,2.24e-4,0.063531,Up
OTUB1,-0.6406,5.6704,2.33e-4,0.004411,Down
MAOA,-0.9742,3.6429,2.82e-4,0.024458,Down
NEB,1.47,2.3887,3.08e-4,0.082449,Up
RPL22,0.9508,3.6674,3.26e-4,0.024458,Up
CARM1,1.2673,2.7445,3.33e-4,0.054743,Up
TPM1,1.6031,2.1511,3.56e-4,0.102487,Up
SELENBP1,-0.8478,4.048,3.7e-4,0.014656,Down
RPS10,1.0267,3.3355,3.76e-4,0.026562,Up
PDLIM1,-1.1272,3.019,3.95e-4,0.039271,Down
FLNB,1.0767,3.0179,5.63e-4,0.039271,Up
MYH2,1.5241,2.127,5.73e-4,0.102487,Up
COPS7B,-1.4686,2.2007,5.86e-4,0.100782,Down
TNNI2,1.4791,2.1531,6.54e-4,0.102487,Up
NRAP,1.2503,2.4442,8.79e-4,0.078077,Up
PSAP,-0.8336,3.5878,0.001021,0.024458,Down
SLC25A46,-0.9947,2.9476,0.00117,0.040877,Down
NAXD,-0.8135,3.5486,0.0012979999999999999,0.024458,Down
SQSTM1,0.8056,3.5593,0.001357,0.024458,Up
MYOF,0.9627,2.9784,0.001357,0.040529,Up
TNNT3,1.421,1.943,0.001734,0.123689,Up
DCXR,-0.8567,3.2207,0.001741,0.030714,Down
CLIC4,0.8902,3.0987,0.001744,0.037023,Up
PHKA2,0.7967,3.4238,0.001872,0.026006,Up
ACTN3,2.1087,1.2907,0.001898,0.257339,Up
