cluster,theme,n_proteins
C1,Other,220
C1,Metabolic & Redox Regulation,76
C1,Immune & Complement,62
C1,Intracellular Transport & Signaling,23
C2,Mitochondrial & Energy Metabolism,216
C2,Metabolic & Redox Regulation,78
C2,Other,54
C2,Intracellular Transport & Signaling,29
C3,Other,149
C3,Cytoskeletal & Cell Division,80
C3,Proteostasis & Stress Response,72
C3,Intracellular Transport & Signaling,58
C3,Metabolic & Redox Regulation,25
C4,Other,115
C4,Muscle Structure & Myogenesis,59
C4,ECM & Tissue Remodeling,46
C4,Cytoskeletal & Cell Division,28
C4,Metabolic & Redox Regulation,16
C4,Intracellular Transport & Signaling,8
