ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,database,cluster
GO:0006081,aldehyde metabolic process,17/552,28/2061,0.6071428571428571,2.2668866459627326,4.081376070650713,1.4960386585391813e-4,0.01788597329542399,0.016211459849550313,PDXK/IDH1/ALDH1A1/ALDH2/ESD/ADH5/TKT/TALDO1/ALDH9A1/ALDH3A2/TPI1/GLO1/HAGH/RDH11/PARK7/PNPO/GRHPR,17,GO:BP,C1
GO:0007030,Golgi organization,17/552,28/2061,0.6071428571428571,2.2668866459627326,4.081376070650713,1.4960386585391813e-4,0.01788597329542399,0.016211459849550313,USO1/MAP2K2/LMAN1/TMED10/CDC42/RAB2A/RAB1A/YWHAZ/TMED2/HIKESHI/PDE4DIP/HUWE1/ATL2/NPLOC4/TMED9/NSFL1C/SEC23IP,17,GO:BP,C1
GO:0002437,inflammatory response to antigenic stimulus,10/552,13/2061,0.7692307692307693,2.8720735785953178,4.094379961901059,2.2481272272761085e-4,0.021034651274339934,0.019065353556716836,A2M/C3/IGHG1/HLA-DRB1/GPX1/HMGB1/PSMA1/KARS1/GNAS/PARK7,10,GO:BP,C1
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19/552,34/2061,0.5588235294117647,2.086476982097187,3.8627059023314136,2.8115105219617066e-4,0.023270656320236897,0.021092020231558876,C3/IGHV3-7/IGKC/IGHG1/IGHG2/IGHG3/IGHA1/HLA-DRB1/HLA-A/SERPING1/HMGB1/IGLC2/IGLC3/CLU/PPP3CB/AZGP1/STAT3/PCYT1A/YWHAG,19,GO:BP,C1
GO:0009605,response to external stimulus,103/552,292/2061,0.3527397260273973,1.3170227814175106,3.5357089705660036,3.468581633709916e-4,0.02651506727312962,0.024032684238460767,MAPK13/DHX15/FLOT1/OXSR1/SOD1/HP/CFB/AGT/A2M/C3/JCHAIN/IGKV3-20/IGHG1/IGHG2/IGHG3/IGHM/IGHA1/HLA-DRB1/APOE/LRG1/TF/KRT1/GAPDH/HLA-A/S100A8/SERPING1/KRT8/S100A9/ENO1/GPI/GPX1/BPGM/CFH/SERPINF2/GSTP1/HMGB1/CLU/ADH5/ANXA3/XRCC5/IFITM1/LAMP2/KRT5/TPT1/ALAD/TSPAN8/TYMP/COMT/CFL1/PSMA1/PSMA2/EPHA2/DDT/GDI1/PRDX2/MAP2K2/GPX4/SNCA/STAT3/ST13/MECP2/STAT5B/USP14/CDH13/MTPN/DEFA3/PSMA6/CDC42/UBE2N/RAB14/RHOA/RAB1A/RAC1/YWHAZ/EIF5A/PPP2CA/DCD/ARF1/MPP1/PRDX1/CD47/STX4/ILF3/PAK1/FKBP5/SQSTM1/PRKG1/DAG1/KARS1/CDC37/GNAS/ELMOD2/JAGN1/NPLOC4/NEK7/DDX17/VPS35/PARK7/LXN/NT5C3A/PARVA/PLAA/USP15,103,GO:BP,C1
GO:0019730,antimicrobial humoral response,13/552,20/2061,0.65,2.4269021739130436,3.8774501605826073,3.616238242349492e-4,0.02651506727312962,0.024032684238460767,JCHAIN/IGKV3-20/IGHG1/IGHG2/IGHG3/IGHM/IGHA1/TF/GAPDH/HLA-A/S100A9/DEFA3/DCD,13,GO:BP,C1
GO:0002449,lymphocyte mediated immunity,20/552,38/2061,0.5263157894736842,1.9651029748283753,3.630998256481528,5.635247914557555e-4,0.031095009005456045,0.02818384449574939,C3/IGHV3-7/IGKC/IGHG1/IGHG2/IGHG3/IGHA1/HLA-DRB1/HLA-A/SERPING1/HMGB1/IGLC2/IGLC3/CLU/PPP3CB/AZGP1/PCYT1A/STAT5B/YWHAG/PRDX1,20,GO:BP,C1
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,31/279,64/1024,0.484375,1.7777777777777777,3.930716150478196,1.5127684132180413e-4,0.006353627335515774,0.004936402190500977,FBP2/GAPDHS/SLC16A3/SLC37A4/IDH1/BPNT1/CYB5A/LDHA/SOD1/PGK1/ALDOA/ENO1/DCN/ENO2/TXN/VCAN/PKM/PGAM2/PGAM1/MPI/GPC1/AGL/GLRX/TALDO1/MDH1/ME1/ALDH9A1/TPI1/PRPS1/FKBP4/GMPPB,31,Hallmark,C1
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,28/279,59/1024,0.4745762711864407,1.7418139845695888,3.5902041747989553,5.013897999786652e-4,0.01052918579955197,0.008180570420704539,IDH1/CYB5A/CFB/CA2/APOE/RBP4/MT2A/CAT/ALDH2/FBP1/HMOX1/ADH5/FAH/COMT/FBLN1/ACP1/EPHA2/BLVRB/DDT/ALDH9A1/PGD/AKR1C2/ITIH4/KARS1/PTGES3/CNDP2/NDRG2/SAR1B,28,Hallmark,C1
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,21/279,42/1024,0.5,1.8351254480286738,3.3805113715374,0.001132133339343378,0.01572495718801933,0.012217385283924794,CP/CFB/CA2/SERPINA1/C3/SERPING1/S100A9/CTSD/CFH/LTA4H/CLU/LAMP2/CD59/GPD2/PREP/ME1/USP14/CDH13/GNB2/STX4/USP15,21,Hallmark,C1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,13/279,22/1024,0.5909090909090909,2.1687846203975236,3.3897974605804118,0.0014976149702875551,0.01572495718801933,0.012217385283924794,OXSR1/SOD1/CAT/TXN/GPX3/PRDX6/PRDX2/GLRX/GPX4/GCLM/PRDX1/PTPA/TXNRD1,13,Hallmark,C1
