go_id,go_term,consolidated
GO:0003013,circulatory system process,Circulatory System
GO:0007010,cytoskeleton organization,Cytoskeleton & Motility
GO:0007018,microtubule-based movement,Cytoskeleton & Motility
GO:0007163,establishment or maintenance of cell polarity,Cytoskeleton & Motility
GO:0044782,cilium organization,Cytoskeleton & Motility
GO:0048870,cell motility,Cytoskeleton & Motility
GO:0000278,mitotic cell cycle,DNA & Cell Cycle
GO:0000910,cytokinesis,DNA & Cell Cycle
GO:0006260,DNA replication,DNA & Cell Cycle
GO:0006281,DNA repair,DNA & Cell Cycle
GO:0006310,DNA recombination,DNA & Cell Cycle
GO:0007059,chromosome segregation,DNA & Cell Cycle
GO:0007126,NA,DNA & Cell Cycle
GO:0032200,telomere organization,DNA & Cell Cycle
GO:0140014,mitotic nuclear division,DNA & Cell Cycle
GO:0003014,renal system process,Development
GO:0003016,respiratory system process,Development
GO:0012501,programmed cell death,Development
GO:0030154,cell differentiation,Development
GO:0048856,anatomical structure development,Development
GO:0007155,cell adhesion,ECM & Adhesion
GO:0030198,extracellular matrix organization,ECM & Adhesion
GO:0034330,cell junction organization,ECM & Adhesion
GO:0042060,wound healing,ECM & Adhesion
GO:0002181,cytoplasmic translation,Gene Expression
GO:0006325,chromatin organization,Gene Expression
GO:0006351,DNA-templated transcription,Gene Expression
GO:0006355,regulation of DNA-templated transcription,Gene Expression
GO:0006399,tRNA metabolic process,Gene Expression
GO:0016071,mRNA metabolic process,Gene Expression
GO:0042254,ribosome biogenesis,Gene Expression
GO:0002376,immune system process,Immune & Inflammation
GO:0006954,inflammatory response,Immune & Inflammation
GO:0098542,defense response to other organism,Immune & Inflammation
GO:0005975,carbohydrate metabolic process,Metabolism
GO:0006091,generation of precursor metabolites and energy,Metabolism
GO:0006520,amino acid metabolic process,Metabolism
GO:0006629,lipid metabolic process,Metabolism
GO:0006766,vitamin metabolic process,Metabolism
GO:0007586,digestion,Metabolism
GO:0042180,ketone metabolic process,Metabolism
GO:0055086,nucleobase-containing small molecule metabolic process,Metabolism
GO:0071941,nitrogen cycle metabolic process,Metabolism
GO:0098754,detoxification,Metabolism
GO:1901135,carbohydrate derivative metabolic process,Metabolism
GO:0007005,mitochondrion organization,Mitochondria & Energy
GO:0007031,peroxisome organization,Mitochondria & Energy
GO:0003012,muscle system process,Muscle & Contractile
GO:0006457,protein folding,Protein Homeostasis
GO:0006914,autophagy,Protein Homeostasis
GO:0009100,glycoprotein metabolic process,Protein Homeostasis
GO:0030163,protein catabolic process,Protein Homeostasis
GO:0051604,protein maturation,Protein Homeostasis
GO:0065003,protein-containing complex assembly,Protein Homeostasis
GO:0006886,intracellular protein transport,Transport
GO:0006913,nucleocytoplasmic transport,Transport
GO:0016192,vesicle-mediated transport,Transport
GO:0055085,transmembrane transport,Transport
GO:0061024,membrane organization,Transport
GO:0072659,protein localization to plasma membrane,Transport
GO:0023052,signaling,NA
GO:0050877,nervous system process,NA
