consolidated,n_genes
Metabolism,22
Gene Expression,15
Protein Homeostasis,13
Transport,13
Other,12
DNA & Cell Cycle,10
Cytoskeleton & Motility,9
ECM & Adhesion,8
Circulatory System,8
Mitochondria & Energy,7
Immune & Inflammation,7
Muscle & Contractile,4
Development,3
