module,age_num,time_num,interaction
MEpink,0.3780331710535069,0.03580635175896686,0.21729304252041576
MEred,0.27907456347630977,-0.22366821893454586,0.1877378890257363
MEblue,0.722402053127237,-0.057592615771509134,0.39430595060995544
MEmagenta,-0.02184881734105807,0.10307996738587086,0.02291778847491911
MEyellow,-0.06723908534044613,0.05783461310599613,-0.0474758492393504
MEblack,-0.3498729096343048,0.17539148779024047,-0.06505829775991599
MEbrown,-0.5195913657099626,0.40168128434870576,-0.1792424347713239
MEgreen,-0.36152339576827053,-0.17328665883859068,-0.18845705181039585
MEturquoise,-0.45534733731235216,-0.1783836352578869,-0.33234481606858046
MEgrey,0.6004688852764436,-0.18868966788323174,0.23932401990515556
