"contrast","med_abs_lfc","ci_lo","ci_hi","n_above_05"
"Aging",0.18173983011215,0.174090444036331,0.191890532097097,250
"Training_Young",0.138854863906534,0.132471763215218,0.146976201521202,140
"Training_Old",0.0919838867236766,0.0872469535739882,0.0979304711289455,29
