"contrast","database","n_sig","n_up","n_down","median_NES","mean_NES","sd_NES","min_padj","median_padj"
"Aging","GO:BP",73,34,39,-1.7255449562671,-0.128141255139999,2.14641474677315,8.53547505874408e-17,0.000636329680608999
"Aging","GO:CC",55,13,42,-1.80088109363535,-1.1299217940335,1.70837077197547,1.18403812849054e-19,0.00476202648032243
"Aging","GO:MF",27,14,13,1.57821718936426,-0.000126856262613863,2.0502616784887,9.26838209595111e-23,0.00781623902488377
"Aging","Hallmark",6,5,1,1.92677764622112,1.33748353696015,1.58327777456483,2.85127850010753e-06,0.000513521844929872
"Interaction","GO:BP",131,52,79,-1.57643932941573,-0.191824999951273,1.98828435353092,2.43273399279433e-24,0.00878574853461471
"Interaction","GO:CC",83,34,49,-1.595104063571,-0.233995219197821,1.93707578446431,1.01903014506503e-23,0.0070471313567888
"Interaction","GO:MF",42,22,20,1.64958112333891,0.38484159116428,2.19003737096975,2.69061306117613e-23,0.000392335400240811
"Interaction","Hallmark",4,3,1,1.93437012346964,1.1133492121314,1.84408053941137,1.69764716169771e-08,0.00276026870227972
"Training_Old","GO:BP",37,22,15,1.73109469154439,0.435185419141757,1.91581624100983,2.95869843841284e-11,0.0176913861866652
"Training_Old","GO:CC",33,30,3,1.85904606405375,1.68729250994511,1.19585338569598,4.98688000589185e-14,0.00155205186029121
"Training_Old","GO:MF",17,15,2,1.86946814909774,1.48543481551784,1.31786263910945,1.01925272264752e-15,0.0116913508123097
"Training_Old","Hallmark",5,3,2,1.71509948069463,0.430913006466087,2.00948777184498,0.0047022980766363,0.0047022980766363
"Training_Young","GO:BP",132,84,48,1.71337003748126,0.404501530678261,1.99483016712797,4.803584723693e-22,0.00166812364235684
"Training_Young","GO:CC",86,68,18,1.79809022861007,1.01964153969348,1.70374299752662,2.75260243221775e-18,0.00767773767500107
"Training_Young","GO:MF",43,25,18,1.68467065036761,0.0411531790316408,2.28206392768803,7.0211199595417e-21,8.96917818304732e-05
"Training_Young","Hallmark",10,5,5,0.0863070768432593,-0.0320687723603388,1.92048625594966,3.09876256257837e-09,0.00517887023687626
