"comparison","p_raw","p_bh","cliffs_d"
"Young_Pre vs Young_Post",9.6562712024582e-05,0.000128750282699443,-0.0695470960678064
"Old_Pre vs Old_Post",2.11971911682894e-06,4.23943823365788e-06,0.0840156085416068
"Young_Pre vs Old_Pre",0.238093604017073,0.238093604017073,-0.0210015038816404
"Young_Post vs Old_Post",2.79048434935213e-13,1.11619373974085e-12,0.129679831464842
