pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.607638029533307e-10,1e-10,0.826657301178302,0.491293691733376,2.225203578778847,155,TOMM22;NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;COX6B1;NDUFB6;NDUFS6;COX6C;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB8;COX7B;COX7A2;NDUFS3;NDUFA7;NDUFV1;VDAC2;NDUFB3;NDUFB4;NDUFS8;NDUFA5;UQCR11;NDUFA9;UQCRC2;MGST3;NDUFA1;UQCRQ;UQCRFS1;MTX2;COX7C;CYC1;COX4I1;MAOB;NDUFS4;PMPCA;UQCRC1;NDUFAB1;ECI1;UQCRH;VDAC1;TIMM9;NDUFA2;UQCRB;NDUFB1;VDAC3;SLC25A12;PDP1,Hallmark,Interaction,1,4,30.166666666666668,17.083333333333336,0.06981317007977318,0.5265076576849561,0.29816041388236464,OXPHOS
HALLMARK_MYOGENESIS,4.354488333373582e-6,2e-10,0.610526878385931,0.46653889506169366,1.9913232119992037,103,MYL2;COL3A1;COL4A2;COL1A1;MYH7;ACTA1;MYL3;TPM3;TNNC1;MYL1;COL15A1;ACTN2;COX7A1;TNNT1;TNNI1;COL6A3;MYH2;COL6A2;TPM2;LAMA2;TNNC2;TNNI2;COX6A2;TNNT3;MYOM1;TAGLN;PDLIM7;SORBS1;EIF4A2;DES;ENO3;ACTN3;MYH3;MYOZ1;GABARAPL2;MYBPH;MYH1;MAPK12;MYH9;AKT2;LDB3;MYH4;CAMK2B;CASQ1;PGAM2,Hallmark,Interaction,2,33.16666666666667,59.333333333333336,46.25,0.5788675352447861,1.035562022849969,0.8072147790473774,Myogenesis
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.991739379148872e-4,3e-10,0.49849310876659025,0.5049024721153795,1.8789042680788732,48,COL3A1;COL4A1;LAMC1;COL4A2;CAP2;COL1A1;TGM2;COL1A2;COL6A3;TPM1;COL6A2;TPM2;LAMA2;BGN;FBLN2;TAGLN;LUM;FBN1;ENO2;DCN;NID2,Hallmark,Interaction,3,62.333333333333336,88.5,75.41666666666667,1.0879219004097986,1.5446163880149817,1.3162691442123902,EMT
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,2.3464050061032662e-27,4e-10,1.3575740855908005,0.7990227732875805,3.2479720609621605,76,NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;NDUFB9;COX6B1;NDUFB6;MT-CO1;NDUFS6;COX6C;NDUFA10;MT-ND1;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB10;NDUFB8;COX7B;NDUFS5;MT-ND2;COX7A2;NDUFS3;NDUFA7;NDUFV1;NDUFA12;NDUFB3;NDUFV3;MT-CO3;NDUFB4;COX7A1;NDUFS8;NDUFA5;UQCR11;MT-CO2;NDUFA9;UQCRC2;NDUFA1;UQCRQ;UQCRFS1;COX7C;CYC1;COX4I1;CHCHD2;COA6;NDUFS4;COX6A2;MT-ND5;UQCRC1;NDUFAB1;UQCRH;MT-ND3;NDUFA2;UQCRB;MT-ND4;NDUFB1,GO:BP,Interaction,4,91.5,117.66666666666667,104.58333333333334,1.5969762655748114,2.0536707531799943,1.8253235093774032,"ATP Synth.-Coupled
ETC"
GOBP_ELECTRON_TRANSPORT_CHAIN,1.5549911270000842e-26,5e-10,1.334497490816582,0.7689570166027069,3.1732326736397556,84,NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;NDUFB9;COX6B1;NDUFB6;MT-CO1;NDUFS6;COX6C;NDUFA10;MT-ND1;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB10;NDUFB8;COX7B;NDUFS5;MT-ND2;COX7A2;NDUFS3;NDUFA7;NDUFV1;NDUFA12;NDUFB3;NDUFV3;MT-CO3;NDUFB4;COX7A1;NDUFS8;NDUFA5;UQCR11;MT-CO2;NDUFA9;UQCRC2;NDUFA1;UQCRQ;UQCRFS1;COX7C;CYC1;COX4I1;CHCHD2;COA6;NDUFS4;COX6A2;MT-ND5;UQCRC1;NDUFAB1;UQCRH;MT-ND3;NDUFA2;UQCRB;MT-ND4;NDUFB1,GO:BP,Interaction,5,120.66666666666667,146.83333333333334,133.75,2.1060306307398244,2.562725118345007,2.3343778745424157,ETC Chain
GOBP_OXIDATIVE_PHOSPHORYLATION,7.804775513932573e-23,6e-10,1.237896673195293,0.7010951090160817,2.998329152034746,104,NDUFA6;NDUFV2;NDUFB5;NDUFS7;NDUFS2;COX5B;NDUFA3;NDUFB9;COX6B1;NDUFB6;MT-CO1;NDUFS6;COX6C;NDUFA10;MT-ND1;NDUFC2;NDUFS1;NDUFB7;NDUFA8;COX5A;NDUFB10;NDUFB8;COX7B;NDUFS5;MT-ND2;COX7A2;NDUFS3;NDUFA7;NDUFV1;NDUFA12;NDUFB3;NDUFV3;MT-CO3;NDUFB4;COX7A1;NDUFS8;NDUFA5;UQCR11;MT-CO2;NDUFA9;NDUFB11;UQCRC2;NDUFA1;UQCRQ;UQCRFS1;COX7C;CYC1;COX4I1;CHCHD2;COA6;NDUFS4;SIRT3;COX6A2;MT-ND5;UQCRC1;NDUFAB1;NDUFA13;UQCRH;MT-ND3;NDUFA2;UQCRB;MT-ND4;NDUFB1,GO:BP,Interaction,6,149.83333333333334,176,162.91666666666669,2.6150849959048372,3.07177948351002,2.843432239707429,OXPHOS
HALLMARK_MTORC1_SIGNALING,0.00256261223013567,7.000000000000001e-10,0.4317076958033464,-0.3697239554094028,-1.6382737238070495,86,EPRS1;ACSL3;CCT6A;CALR;HSPA4;UFM1;ACACA;ATP2A2;PSMB5;PSMA3;TFRC;WARS1;STIP1;YKT6;PSMD13;CANX;IDI1;PSMC2;GBE1;CYB5B;GSR;PSMD12;PRDX1;PPIA;HSP90B1;PSMC4;PDAP1;TXNRD1;PPA1;ME1;HSPA5;CACYBP;SLC37A4;ACTR2,Hallmark,Interaction,7,184,210.16666666666666,197.08333333333331,3.211405823669566,3.668100311274749,3.4397530674721573,mTORC1 Signaling
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,1.680279224584517e-5,8e-10,0.5756102610711286,-0.756825762775878,-2.217158678470792,15,DYNC1H1;KPNB1;EZR;MAPT;TBCB;CLIP1;PAFAH1B1,GO:BP,Interaction,8,213.16666666666666,239.33333333333331,226.25,3.720460188834579,4.177154676439762,3.94880743263717,"Cytoplasmic MT
Org."
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,1.9011203478752343e-5,9e-10,0.5756102610711286,-0.4218806930731194,-1.9218571892318048,98,USP9X;UCHL1;STUB1;PLAA;USP5;RAD23A;PSMD4;DDB1;PSMD3;PSMB5;PSMA3;CUL3;UBE2D1;PSMD13;PSMD1;PSMD11;CLU;RAD23B;PSMC1;PSMC2;PSMF1;PSMA1;HSP90AB1;HSPBP1;XPO1;KLHL41;PSMB6;PSMD12;CUL1;BAG2;VCP;UBR4;PSMD8;BAG6;PSMA7;PSMA5;PSMC4;EIF3H;PARK7;PSMD6;PSMB3;HSPA1A;NSFL1C;GSK3A;PSMC6;TF;CUL2;UBE2K;NPLOC4;PSMB7;PSMA6,GO:BP,Interaction,9,242.33333333333331,268.5,255.41666666666666,4.229514553999592,4.686209041604775,4.457861797802183,"Proteasome
Mediated Ubiquitin
Dependent Protein
Catabolism"
GOBP_PROTEIN_FOLDING,9.808404372903408e-5,1e-9,0.5384340963099162,-0.41985878224014744,-1.8804654886953789,90,CCT6A;CALR;HSPA4;NUDC;TBCB;SH3GLB1;HSPA8;CCT8;DNAJA1;CCT7;HSPB6;FKBP4;PFDN2;CANX;VBP1;CCT5;TCP1;CLU;ERP44;HSPA2;AHSA1;HSP90AB1;HSPBP1;CCT2;P4HB;TBCE;BAG2;PPIA;RUVBL2;HSP90B1;PDIA3;DNAJA2;HYOU1;NUDCD2;HSPA5;LMAN1;HSPA1A;TBCA;PPIL3;HSP90AA1;ST13,GO:BP,Interaction,10,271.5,297.6666666666667,284.58333333333337,4.738568919164605,5.195263406769788,4.9669161629671965,Protein Folding
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,1.0549374656338064e-4,1.1000000000000001e-9,0.5384340963099162,-0.416962180555285,-1.8479901292365932,84,DYNC1H1;TSG101;SNAP29;KPNB1;UCHL1;RAB6A;TACC2;EZR;MAPT;MYO1C;NUDC;DCTN1;PREB;YWHAZ;HNRNPU;DCTN2;S100A13;PAFAH1B1;CUL3;DYNLT1;TRAPPC3;MAP4;RAN;YKT6;SAR1A;FYCO1;XPO1;TMED9,GO:BP,Interaction,11,300.6666666666667,326.83333333333337,313.75,5.2476232843296176,5.704317771934801,5.475970528132208,"Establishment
Of Organelle
Localization"
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS,2.6854675568706104e-4,1.2e-9,0.49849310876659025,-0.542173051513532,-2.0230516293688656,37,DYNC1H1;KPNB1;TACC2;NUDC;DCTN1;HNRNPU;DCTN2;CLTC;PAFAH1B1;DYNLT1;MAP4;RAN;TBCE;VCP;FLNA;DCTN6;ITGB1;HSPA1A;NSFL1C;CHMP2A,GO:BP,Interaction,12,329.83333333333337,356.00000000000006,342.91666666666674,5.756677649494631,6.213372137099814,5.985024893297222,"MT Cytoskel.
Org. Involved In
Mitosis"
