set,setSize,pMANOVA,s.Aging,s.Training_Old,p.Aging,p.Training_Old,s.dist,SD,p.adjustMANOVA,padj_A,padj_TO,sig_A,sig_TO,reversal_quadrant,sig_joint,sig_cat,pathway_clean,database
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,30,3.330541573125077e-10,-0.5638049560351719,0.5767865707434052,1.0076542669800737e-7,5.070797734879436e-8,0.8065722389468655,0.8065200031490495,3.412825541402285e-8,5.485417915872777e-6,1.7666659308319955e-5,TRUE,TRUE,TRUE,TRUE,Interaction,Ribosomal Small Subunit Biogenesis,GO:BP
GOBP_FATTY_ACID_BETA_OXIDATION,32,5.522599474297899e-11,0.6893903024483918,-0.36227796447431587,1.6352203855938773e-11,4.2232037185073446e-4,0.7787838677409407,0.7436417630997508,8.016973570189117e-9,2.373794926420445e-9,0.019833149451966577,TRUE,TRUE,TRUE,TRUE,Interaction,Fatty Acid Beta Oxidation,GO:BP
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS,10,4.185748951603167e-4,0.7199049881235154,-0.278479809976247,8.194335948686736e-5,0.12820873880539085,0.7718900157985759,0.7059646609699042,0.009988458457113311,0.0030117796655826086,0.4475743947875569,TRUE,FALSE,TRUE,TRUE,Interaction,Short Chain Fatty Acid Metabolic Process,GO:BP
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,10,0.0012746479149340082,-0.4350593824228028,0.6227078384798099,0.017432206251509184,6.609252148427405e-4,0.7596326206386266,0.7479543748170863,0.021350352575144636,0.11955473736271259,0.028081261567220826,FALSE,TRUE,TRUE,TRUE,Interaction,Ribosomal Small Subunit Assembly,GO:BP
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,19,4.173957893640896e-7,0.717808356769787,-0.198272398553636,6.287071413903539e-8,0.13630439517474038,0.7446883785025478,0.6477669142036868,2.138539603153659e-5,3.6506928010066552e-6,0.4637544070203081,TRUE,FALSE,TRUE,TRUE,Interaction,Branched Chain Amino Acid Metabolic Process,GO:BP
GOBP_LIPID_OXIDATION,37,1.283659413462774e-10,0.6150664620347007,-0.3832687355305257,1.1108440182903436e-10,6.129970473066358e-5,0.7247079938534223,0.7059295880955831,1.490756465501435e-8,1.2094314249136115e-8,0.004271363425632639,TRUE,TRUE,TRUE,TRUE,Interaction,Lipid Oxidation,GO:BP
GOBP_FATTY_ACID_CATABOLIC_PROCESS,37,6.400659107490028e-11,0.6398043857139141,-0.3367062924329527,1.903578179193588e-11,4.326404587685017e-4,0.7229943148757838,0.6904973224187236,8.576883204036639e-9,2.550794760119408e-9,0.019833149451966577,TRUE,TRUE,TRUE,TRUE,Interaction,Fatty Acid Catabolic Process,GO:BP
GOBP_CYTOPLASMIC_TRANSLATION,116,8.982224706116848e-30,-0.5602025150506288,0.45526211381552845,8.575032837981477e-25,8.839201418070246e-17,0.7218659502600417,0.7180419251263406,1.564703543805555e-26,1.4937707203763734e-21,1.539788887027837e-13,TRUE,TRUE,TRUE,TRUE,Interaction,Cytoplasmic Translation,GO:BP
GOBP_UBIQUINONE_METABOLIC_PROCESS,10,0.002119438946722364,0.621187648456057,-0.35942992874109264,6.813907345967277e-4,0.04955860067739594,0.7176795721414905,0.6934013385868273,0.03105244094555829,0.015659177855385047,0.29893805362195425,TRUE,FALSE,TRUE,TRUE,Interaction,Ubiquinone Metabolic Process,GO:BP
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA,10,5.33607505317679e-4,-0.11534441805225654,0.6985273159144894,0.5287409490445178,1.327639546714306e-4,0.7079864023090517,0.5754942221039397,0.011475855237819715,0.7593295410021023,0.00825981460848686,FALSE,TRUE,TRUE,TRUE,Interaction,Binding Of Sperm To Zona Pellucida,GO:BP
GOBP_SPERM_EGG_RECOGNITION,10,5.33607505317679e-4,-0.11534441805225654,0.6985273159144894,0.5287409490445178,1.327639546714306e-4,0.7079864023090517,0.5754942221039397,0.011475855237819715,0.7593295410021023,0.00825981460848686,FALSE,TRUE,TRUE,TRUE,Interaction,Sperm Egg Recognition,GO:BP
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,12,9.687129473885373e-4,-0.5847994927880805,0.39554604533206533,4.6206265640711384e-4,0.017947317107998306,0.7060078758364049,0.6932089779107301,0.017763136361587707,0.011836958050899887,0.19013034963564687,TRUE,FALSE,TRUE,TRUE,Interaction,Ribosomal Large Subunit Biogenesis,GO:BP
GOBP_RIBOSOME_ASSEMBLY,22,4.7999526663953465e-6,-0.49246405768144896,0.505624809972636,6.746302371137972e-5,4.2771341759513844e-5,0.7058167584918495,0.7057554065450061,1.9908375106811175e-4,0.0025547953762005103,0.0034969953326702222,TRUE,TRUE,TRUE,TRUE,Interaction,Ribosome Assembly,GO:BP
GOBP_SARCOMERE_ORGANIZATION,31,6.062578897147738e-10,-0.6763667884341527,0.18658287412544114,7.860062330506182e-11,0.07414416160622625,0.7016303880346404,0.6101975582185317,5.558427599384926e-8,9.78016327124412e-9,0.3562458911523998,TRUE,FALSE,TRUE,TRUE,Interaction,Sarcomere Organization,GO:BP
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX,14,3.5957943249396323e-4,-0.5992384578772013,0.3343305908750935,1.0652673116052094e-4,0.030815923793918995,0.6861950694911292,0.6601330050786222,0.008948391020064056,0.003436473438548657,0.24872474193353314,TRUE,FALSE,TRUE,TRUE,Interaction,Formation Of Cytoplasmic Translation Initi...,GO:BP
