uniprot_id,gene,logFC_Aging,logFC_Training_Old,sig_pi_Aging,sig_pi_Training_Old,sig_cat,quadrant,pct_observed,evidence_ok,anti_diag_dist
A0A0U1RRL7,MMP24OS,0.425523780719779,-0.218027611049674,0,0,NS,Reversal,0.5967741935483871,FALSE,0.14672194864396565
A0FGR8,ESYT2,-0.235506392094074,0.102540595579853,0,0,NS,Rejuvenation,0.7096774193548387,TRUE,0.09402101638107628
A1L0T0,ILVBL,-0.256153676816922,-0.125783947489904,0,0,NS,Non-restored (-/-),0.7258064516129032,TRUE,0.27007068413763663
A1L4K1,FSD2,-0.618192073375447,0.130964047157995,-1,0,Sig Aging only,Rejuvenation,0.9032258064516129,TRUE,0.34452224132249726
A2RTX5,TARS3,0.0618477197098244,-0.0371183152361443,0,0,NS,Reversal,0.6451612903225806,FALSE,0.017486329598044147
A3KMH1,VWA8,0.664118898192683,-0.290348576474081,0,0,NS,Reversal,0.45161290322580644,FALSE,0.26429552909350096
A5YM72,CARNS1,-0.380568342580787,0.453286878754561,0,0,NS,Rejuvenation,0.8548387096774194,TRUE,0.051419770046434846
A6NCE7,MAP1LC3B2,-0.484816850216248,0.0329575746668134,0,0,NS,Rejuvenation,0.5,FALSE,0.31951275788304595
A6NDG6,PGP,0.115105951969291,-0.00769294695505707,0,0,NS,Reversal,1,TRUE,0.07595246423318945
A6NNS2,DHRS7C,-0.274391878983199,-0.131660275139286,0,0,NS,Non-restored (-/-),1,TRUE,0.28712223169541423
A8MU46,SMTNL1,-0.189592673265537,-0.149094543388589,0,0,NS,Non-restored (-/-),1,TRUE,0.23948802759732987
A8MXV4,NUDT19,-0.442342548451975,0.0787906772121651,0,0,NS,Rejuvenation,0.6935483870967742,FALSE,0.25706999346672815
E9PAV3,NACA,-0.264442452428877,0.0767862426160768,0,0,NS,Rejuvenation,1,TRUE,0.13269297849039655
L0R6Q1,SLC35A4,-0.188403105996866,0.125755803316594,0,0,NS,Rejuvenation,0.8225806451612904,TRUE,0.0442983325482665
O00151,PDLIM1,1.01929504614024,-0.129854902449171,1,0,Sig Aging only,Reversal,1,TRUE,0.6289291570634921
O00159,MYO1C,0.281616866739441,-0.137534083356918,0,0,NS,Reversal,0.8064516129032258,TRUE,0.1018819131820144
O00168,FXYD1,-0.560860439336484,0.0584303385781979,0,0,NS,Rejuvenation,0.9032258064516129,TRUE,0.3552717313184244
O00186,STXBP3,-0.0935765745442687,0.141561867078227,0,0,NS,Rejuvenation,0.8548387096774194,TRUE,0.033930725747982116
O00217,NDUFS8,-0.0120117351621936,-0.00477755456470774,0,0,NS,Non-restored (-/-),1,TRUE,0.011871820617197576
O00231,PSMD11,-0.0925046741055766,0.0638433995976122,0,0,NS,Rejuvenation,1,TRUE,0.02026658156203075
