pathway,pval,padj,log2err,ES,NES,size,leadingEdge,Description,direction,neg_log10_padj
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5.568982458067335e-10,2.3389726323882805e-8,0.8012155746177786,0.49129369173323745,2.2181905879279786,155,,OXPHOS,Young-biased,7.630974859709568
HALLMARK_MYOGENESIS,2.7765359474797354e-6,5.8307254897074445e-5,0.6272567397185284,0.4665388950615136,1.995783720181001,103,,Myogenesis,Young-biased,4.23427740466224
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6.877192466314141e-4,0.009628069452839798,0.47727081536286214,0.5049024721152602,1.8935475735609986,48,,Epithelial Mesenchymal Transition,Young-biased,2.0164607855681456
HALLMARK_MTORC1_SIGNALING,0.0019308044276504753,0.020273446490329992,0.45505986738722953,-0.3697239554095811,-1.6000049424290592,86,,mTORC1 Signaling,Old-biased,1.6930724148739584
HALLMARK_UV_RESPONSE_DN,0.013277398561467013,0.11153014791632292,0.3807304007227924,0.5912724241561175,1.716964802355551,17,,UV Response Dn,Young-biased,0.9526077218182042
HALLMARK_G2M_CHECKPOINT,0.02778923227608362,0.1914023009777316,0.35248785758361917,-0.43677053059988874,-1.5892865103324778,33,,G2m Checkpoint,Old-biased,0.7180528455773302
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.03645758113861554,0.1914023009777316,0.3217759180753611,-0.5567424208418894,-1.6282631288639593,14,,Interferon Alpha Response,Old-biased,0.7180528455773302
HALLMARK_XENOBIOTIC_METABOLISM,0.03582403796829636,0.1914023009777316,0.3217759180753611,-0.3422693753810073,-1.4119185178052414,58,,Xenobiotic Metabolism,Old-biased,0.7180528455773302
