pathway,database,NES_aging,padj_aging,NES_old_tr,padj_old_tr,sig_cat
GOBP_AMINO_ACID_CATABOLIC_PROCESS,GO:BP,2.3177990525334695,4.68891669109277e-5,-1.7172705483962891,0.14622057001239158,Sig Aging
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,GO:BP,2.3752991586575463,3.0509176807207325e-5,-1.2054918148870444,0.5683282961805964,Sig Aging
GOBP_CARDIAC_CELL_DEVELOPMENT,GO:BP,-2.044765373206075,0.00434366072249407,-1.348620376293187,0.44166363122707286,Sig Aging
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,GO:BP,-2.532866071333831,6.0831411163786e-8,1.1127571977397968,0.6420769026980282,Sig Aging
GOBP_CYTOPLASMIC_TRANSLATION,GO:BP,-2.91758174941369,5.894278989134986e-17,2.5806989689749957,3.934129069212556e-11,Sig in Both
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,GO:BP,-1.8995723882834712,0.02372097657638913,1.2627007117779407,0.505056182204141,Sig Aging
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,GO:BP,-1.9230899637727852,0.01173210473761041,-1.13863740686749,0.6066046951594153,Sig Aging
GOBP_FATTY_ACID_BETA_OXIDATION,GO:BP,2.6857976189122352,1.75146711765691e-8,-1.8278443877423247,0.0663706840961965,Sig Aging
GOBP_FATTY_ACID_CATABOLIC_PROCESS,GO:BP,2.731088175267971,6.076001250735031e-9,-1.7035114927328268,0.14995982486922585,Sig Aging
GOBP_FATTY_ACID_TRANSPORT,GO:BP,1.8879554969492875,0.03610493723687112,-1.5756357447282836,0.22413350168626228,Sig Aging
GOBP_LIPID_MODIFICATION,GO:BP,2.6375536823403647,3.659547308402362e-8,-1.72730461298022,0.11183439173241856,Sig Aging
GOBP_LIPID_OXIDATION,GO:BP,2.6886776474092327,1.75146711765691e-8,-1.927025629641636,0.05878532699876324,Sig Aging
GOBP_MITOCHONDRIAL_TRANSPORT,GO:BP,2.0075692059752224,0.00178223046874172,-0.7561961241463325,0.9851638288077998,Sig Aging
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,GO:BP,2.6749058401713732,4.892342552456605e-9,-1.647572991892894,0.14995982486922585,Sig Aging
GOBP_MYOFIBRIL_ASSEMBLY,GO:BP,-2.5945370735512183,3.936218460111453e-8,1.453176623988536,0.2782186241235083,Sig Aging
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,GO:BP,1.8787609217212309,0.04356789679743921,-1.1182499629365728,0.6574825858127683,Sig Aging
GOBP_REGULATION_OF_LIPID_LOCALIZATION,GO:BP,1.8944973251491268,0.02689019308408118,-1.2618723490468082,0.5016199989777613,Sig Aging
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO:BP,-2.225050865755202,3.7419816564384707e-4,2.335461824025532,1.2871363904312094e-4,Sig in Both
GOBP_RIBOSOME_ASSEMBLY,GO:BP,-1.9341424950256312,0.02689019308408118,1.9576404771910536,0.05878532699876324,Sig Aging
GOBP_SARCOMERE_ORGANIZATION,GO:BP,-2.4877083813806053,1.858379020255494e-6,1.252419706502598,0.513731558856907,Sig Aging
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,GO:BP,-1.9467339016447536,0.00469197688541909,-0.9763544471525746,0.8120229241832952,Sig Aging
GOBP_TRANSLATIONAL_INITIATION,GO:BP,-1.9788618262629132,0.00200929898695561,1.4725005199151904,0.22413350168626228,Sig Aging
GOBP_TRICARBOXYLIC_ACID_CYCLE,GO:BP,1.922851351947404,0.03423496318817302,1.3301481522669958,0.44166363122707286,Sig Aging
